# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 26
232 RADIAL 1140 760 920.4670991922034 570.0 380.0 -0.0971859082438091 -0.0030235393828023063
33 RADIAL 760 1140 1406.37060055862 380.0 570.0 -0.005561128997470488 0.025967704643608636
207 RADIAL 760 943 1019.0914423968705 380.0 471.7241379310345 -0.05026563403962695 0.033430904987398924
465 RADIAL 760 1013 1064.8634078985594 380.00000000000006 506.49999999999994 0.07469281607123028 -0.24994969707940184
238 RADIAL 1013 760 753.597464188609 506.5 380.0 0.07035470732685538 -0.08381774391798827
137 RADIAL 1140 760 978.2538154338579 570.0 380.0 -0.02274847205929475 -0.02517455748151208
524 RADIAL 1013 767 969.8789924741982 506.5 383.2972972972973 0.1520251702196316 -0.4367738582552792
239 RADIAL 1013 760 754.0655178773186 506.5 380.0 0.05350532499107318 -0.09193352963941061
209 RADIAL 1143 762 1392.0181476001771 571.5 381.0 0.017111248785430643 0.0017663141834420497
300 RADIAL 1140 760 1154.990126494854 570.0 380.0 -0.043555847912025124 -0.08649145600338828
183 RADIAL 1140 760 873.2997291014618 570.0 380.0 -0.04099330187739104 0.042184072528835936
412 RADIAL 760 915 1011.846670971741 380.0 457.5 -0.04231024991401606 -0.01929019529865865
450 RADIAL 760 1013 1208.2788809813735 380.0 506.5 -0.0007844839119972675 -0.011310531164031374
2 RADIAL 760 1140 1338.7734576703765 380.0 570.0 0.030396661026328976 0.0012609697101776845
86 RADIAL 760 1013 1214.2260122128152 380.0 506.50000000000006 0.03358677269563734 -0.03761193100810007
504 RADIAL 760 1013 1220.156472861749 380.0 506.50000000000006 -0.0230831998812417 -0.0017795781268411053
509 RADIAL 760 1013 1212.0320255474662 380.0 506.5 0.08617537871086002 0.0531427232345838
508 RADIAL 760 1013 1078.0719011339297 380.0 506.5 -0.0632514634885747 -0.008111949795692708
102 RADIAL 1140 760 2440.513228726976 570.0 380.0 0.49973950657036015 2.272127919273764
235 RADIAL 1013 760 752.3044242281036 506.5 380.0 0.12425535246788325 -0.11291057296204408
491 RADIAL 760 1199 1439.4520689815565 380.0 599.5 0.032665520025273995 0.0012768705902829827
255 RADIAL 760 1140 814.7587851398771 380.0 570.0 0.033608004631994294 0.00349498335551748
40 RADIAL 760 1013 405.33333333333337 380.00000000000006 506.49999999999994 0.0 0.0
41 RADIAL 760 1348 1925.0253292806485 380.0 674.0 0.0 0.0
79 RADIAL 760 1013 1216.0 380.0 506.50000000000006 0.0 0.0
407 RADIAL 760 1144 490.1962504111391 380.0 572.0 0.0 0.0
