# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 33
156 RADIAL 1144 760 876.2613053588277 572.0 380.0 -0.051521185378354956 0.05959880381258269
292 RADIAL 1107 760 853.0470490394667 553.5 380.0 -0.00924355553295868 -0.07448528088051996
279 RADIAL 760 1013 762.4643367476203 380.00000000000006 506.49999999999994 0.04801202181974071 -0.030087004711507374
332 RADIAL 1144 760 886.8632163925088 572.0 380.0 -0.16282281739840745 0.130992993007446
31 RADIAL 1149 760 875.4022851538525 574.5 380.0 -0.08829270059288205 0.022325343873432605
395 RADIAL 1013 760 809.9733340556996 506.5 380.0 0.042165035250892165 -0.008406666297295523
470 RADIAL 1140 760 1152.4118991439332 570.0 380.0 -0.0412100245334075 -0.01869440694585785
88 RADIAL 1013 760 1021.1113760164224 506.5 380.0 -0.18201504760353865 -0.011061135203691268
180 RADIAL 1013 767 886.1879660564565 506.5 383.2972972972973 0.00831839323900791 -0.038602753058625754
458 RADIAL 1140 760 929.2416358461485 570.0 380.0 -0.12428793826160683 0.016488732284933475
495 RADIAL 1351 754 1055.1799977559797 675.5 377.0232558139535 0.1108801405009384 -0.537958749159093
459 RADIAL 1147 760 882.4269906208759 573.5 380.0 -0.09528615930490121 0.005131382392331631
505 RADIAL 1013 760 735.2430196687853 506.5 380.0 -0.013496946133881029 -0.004372753095001874
157 RADIAL 1144 760 879.6245560670034 572.0 380.0 0.008000360337352248 -0.058980179798024564
233 RADIAL 1140 760 924.1795009244021 570.0 380.0 -0.11566732812841377 -0.019529040818191835
54 RADIAL 1329 759 876.1190430092671 664.5 379.7142857142857 -0.7969221444374952 1.5494040323699487
167 RADIAL 1664 760 1283.5977566198626 832.0 380.0 -0.0037703294166323053 -3.873844930193187e-05
385 RADIAL 1013 760 884.2704633227868 506.5 380.0 -0.07249209404260852 0.0880016544699343
489 RADIAL 1144 760 875.6684615541849 572.0 380.0 -0.043081887308368594 0.054433042779439195
290 RADIAL 1140 760 945.8529068862317 570.0 380.0 -0.14997579247147858 0.3017423448925402
206 RADIAL 760 1108 1329.705441594093 380.0 554.0 0.02856176661379675 0.0007532845800805249
410 RADIAL 1013 767 863.9073902043663 506.5 383.2972972972973 -0.1483148808498389 -0.011316451107357984
27 RADIAL 1375 767 637.8952257323704 687.5 383.72093023255815 -0.08779736021373755 0.3649957298426342
82 RADIAL 1348 752 618.4154141253551 674.0 376.18604651162786 0.03747178172306316 0.06047277806653553
9 RADIAL 1140 760 892.8750675430093 570.0 380.0 -0.08716337989429589 -0.03450404466324782
28 RADIAL 1140 760 944.9668645657302 570.0 380.0 -0.2032339518247459 0.21212343713986642
139 RADIAL 1013 760 814.875787789218 506.5 380.0 0.047518820684965664 -0.0355963244262306
101 RADIAL 1013 760 986.3965702933751 506.5 380.0 -0.094227357373793 -0.02863081011422463
453 RADIAL 1140 760 920.5472850210159 570.0 380.0 -0.09541357773735437 -0.016489948833261922
172 RADIAL 760 1016 539.3060609074836 380.0 508.0 -1.2079112035466784 15.269629241743381
270 RADIAL 1013 767 979.3214617217618 506.5 383.2972972972973 -2.802329410066083 22.247826288328614
24 RADIAL 1013 760 860.0633116883118 506.50000000000006 380.0 0.0 0.0
104 RADIAL 760 1025 1230.030769230769 380.0 512.5 0.0 0.0
