# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 60
9 RADIAL 1140 760 901.5888707017308 570.0 380.0 -0.027913634701215825 -0.41034335688227663
292 RADIAL 1107 760 857.8193493741168 553.5 380.0 0.6837908049614225 -0.6491315985095013
157 RADIAL 1144 760 881.1715194793129 572.0 380.0 -0.02098757131132401 0.007530777447958063
344 RADIAL 1013 767 1035.7138889809694 506.5 383.2972972972973 -0.29312248351766385 1.3225470904588945
169 RADIAL 1013 760 791.4709304277039 506.50000000000006 380.0 -0.016512388142696583 0.029790150715887982
171 RADIAL 760 1013 786.4629419466218 380.0 506.50000000000006 -0.0401477832633493 0.05487226696680203
180 RADIAL 1013 767 912.4889391049288 506.5 383.2972972972973 -0.09259827447834129 0.6212579469616686
88 RADIAL 1013 760 1024.0975032687525 506.5 380.0 -0.1904149602196802 0.13235616065141437
64 RADIAL 1140 760 927.2441125558844 570.0 380.0 0.02711206375144899 -0.4987845784340047
458 RADIAL 1140 760 942.2592658605687 570.0 380.0 -0.15182644032332773 0.09098760510974867
453 RADIAL 1140 760 928.1235676970238 570.0 380.0 -0.1418797655305455 0.1285754516098695
505 RADIAL 1013 760 740.4758888162172 506.5 380.0 0.0024718740062184582 -0.02661590120700999
28 RADIAL 1140 760 929.4479577162759 570.0 380.0 -0.04019171833358979 -0.3300995011402687
385 RADIAL 1013 760 900.2968593193923 506.5 380.0 -0.06180691856018803 0.09411869023252935
388 RADIAL 1013 760 993.387923016748 506.50000000000006 380.0 -0.19080384085815863 0.24584796834559824
238 RADIAL 1013 760 760.4022259169055 506.5 380.0 0.05161723625978433 -0.08529404295471257
15 RADIAL 1140 760 933.5256652477569 570.0 380.0 -0.10151310614568526 0.02865134457957325
398 RADIAL 760 1013 1139.5607290232508 380.0 506.5 -0.13462682231796697 0.0045036832404095496
209 RADIAL 1143 762 1354.8638946529175 571.5 381.0 -0.17824805784742348 1.0765970752464549
116 RADIAL 1140 760 1007.2645760479002 570.0 380.0 0.10681052175461 -0.8921646638898123
282 RADIAL 1013 760 1030.4299742040132 506.5 380.0 -0.1456702283287362 0.04230686371136723
27 RADIAL 1375 767 628.9265095990568 687.5 383.72093023255815 -0.2714065904241889 0.4618532568189324
349 RADIAL 760 1351 1089.253102909911 380.00000000000006 675.5 -0.01622565002384347 0.005056708874941574
31 RADIAL 1149 760 880.7276053469789 574.5 380.0 -0.0711284224203568 0.012343900524319966
332 RADIAL 1144 760 893.3916467843261 572.0 380.0 -0.14783382928971447 0.09988096432439396
206 RADIAL 760 1108 1324.428913260158 380.0 554.0 -0.03321624610964149 -0.004397615627767788
403 RADIAL 760 1013 2220.355445151608 380.00000000000006 506.49999999999994 -0.019519329929482465 -0.0012834724272535276
290 RADIAL 1140 760 945.3021384905047 570.0 380.0 -0.1553907743944239 0.1106020030303044
395 RADIAL 1013 760 811.6005979191165 506.5 380.0 0.06607663370499653 -0.05236954946450682
489 RADIAL 1144 760 881.3050666541982 572.0 380.0 -0.022228112645975073 0.008135521263361081
517 RADIAL 760 1013 608.4852019352593 380.0 506.5 -0.12390634950010779 0.05760362245706205
139 RADIAL 1013 760 819.2312994800121 506.5 380.0 0.08938708510218749 -0.08974783423422864
470 RADIAL 1140 760 1197.9550610542503 570.0 380.0 0.002281084533282525 -0.4332682888292998
412 RADIAL 760 915 1010.557995300754 380.0 457.5 0.19158807209775594 -0.9736603985977551
410 RADIAL 1013 767 812.843513621949 506.5 383.2972972972973 -0.7230607970502374 4.659778232833729
182 RADIAL 1168 760 917.2766304481943 584.0 380.0 0.03808513049014052 -0.19075473558674202
10 RADIAL 760 1140 1338.788128567658 380.0 570.0 -0.00011754413358770298 1.3120299678697756e-06
253 RADIAL 760 1140 914.6493508569134 380.0 570.0 -0.11820859718617666 -0.018561215634742233
279 RADIAL 760 1013 774.5582058619902 380.00000000000006 506.49999999999994 0.08405892865576384 -0.1703887878803782
104 RADIAL 760 1025 1229.1209202345265 380.0 512.5 -0.003815521939074317 8.33270707556871e-05
101 RADIAL 1013 760 999.4568045711691 506.5 380.0 -0.11487001522374853 0.04828895044020581
226 RADIAL 760 1140 837.8305957667206 380.0 570.0 -0.1311889876349773 -0.047126245203372996
233 RADIAL 1140 760 928.2742543881888 570.0 380.0 -0.11477440061847599 -0.050411197810018835
459 RADIAL 1147 760 884.3204806318622 573.5 380.0 -0.10158343074606323 0.030720573415077116
54 RADIAL 1329 759 845.6624221445769 664.5 379.7142857142857 -1.2651877322479783 4.356792525778128
51 RADIAL 1013 760 752.8650165849059 506.5 380.0 -0.06330595250306326 0.020101649180460104
156 RADIAL 1144 760 879.1344905775949 572.0 380.0 -0.047274297673441136 0.008516261036183134
82 RADIAL 1348 752 609.4818002012048 674.0 376.18604651162786 -0.03379425483569208 0.0632048954950326
33 RADIAL 760 1140 1406.2894758504224 380.0 570.0 -0.0023840892949334616 0.0180785972733355
239 RADIAL 1013 760 765.2884957233887 506.5 380.0 0.003198152079786959 -0.019643598222426558
413 RADIAL 760 997 1116.753221029694 380.0 498.5 -0.16660964647888193 0.35024415436622836
252 RADIAL 760 1140 814.7968383697853 380.0 570.0 -0.12491985171740165 -0.013983807186193083
270 RADIAL 1013 767 984.9756958295534 506.5 383.2972972972973 -0.03110751432386232 0.010929180154225303
167 RADIAL 1664 760 1283.9706092412564 832.0 380.0 -0.005225817218009964 -5.613634650990689e-05
172 RADIAL 760 1016 497.6703063904555 380.0 508.0 -0.09149688819059784 -0.010684645327829714
236 RADIAL 1013 760 754.9206359198619 506.5 380.0 0.08647216588037787 -0.18597335794271974
237 RADIAL 1013 760 758.3394638893477 506.5 380.0 0.07245510966823092 -0.1526988646008621
414 RADIAL 1018 760 1114.6549028238423 509.0 380.0 -0.18291867385464342 0.1148272432141008
416 RADIAL 760 996 1094.2997840352366 380.0 498.0 -0.13862760710160332 -0.0023635095228933057
158 RADIAL 1275 760 890.0162337662337 637.5 380.0 0.0 0.0
