# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 6140, mean track length: 4.02
0 -0.004660113521579523 -0.2967712675301688 1.141015794574709 209 189 145 0.41
1 -0.006320782393067381 -0.2799397441542136 1.146853341944798 100 64 36 0.8
2 -0.02022195768051027 -0.2524531542876257 1.143010770719625 114 98 67 0.28
3 -0.02705019832527578 -0.2313445153454448 1.127131214674442 158 144 116 0.53
4 -0.01408931455908569 -0.2378983486660059 1.111584884922035 85 54 41 0.24
5 0.00402428906501956 -0.2531683725258563 1.110566203632463 93 70 58 0.47
6 -0.03298823798250639 -0.2165331205811439 1.127950844663263 83 69 59 0.38
7 -0.02728846311481492 -0.2064320199075525 1.108526649152639 88 64 60 0.65
8 -0.01367848440902175 -0.2193163598863821 1.093435148140157 75 54 50 0.28
9 -0.007729842526331077 -0.2111328683367583 1.085895782199528 107 76 52 0.51
10 -0.006676201187196862 -0.2086582185291754 1.084682091055636 150 126 87 0.55
11 0.008576116393972322 -0.2349190631440206 1.09001452344092 106 64 48 0.75
12 0.01259911822049531 -0.2306007814969793 1.076894139395294 145 115 79 0.34
13 -0.001278672169049477 -0.2142361665950094 1.07816677495873 137 105 74 0.61
14 -0.03138491802863452 -0.1868560828561271 1.098081192783341 68 37 45 0.34
15 -0.02972664933864932 -0.1941961587446144 1.098562884380964 204 171 106 0.34
16 -0.06463931582990307 -0.1604376421710211 1.126536061331726 78 53 45 0.29
17 -0.05194746154277952 -0.1597419046503852 1.103298306422037 160 137 84 0.27
18 -0.0269841181979415 -0.1542675959395568 1.054792978886977 143 100 59 0.54
19 -0.08976463014167885 -0.1253423984372359 1.123929913112366 200 188 183 1.16
20 -0.08086173452522699 -0.1226365737761251 1.108348817579012 151 112 75 0.45
21 -0.05729962550941553 -0.1399383550940471 1.09409227651189 148 113 66 0.52
22 -0.02623903408515871 -0.1513733284553415 1.064444886129293 96 66 47 0.66
23 -0.02175423476179161 -0.154024796598356 1.052848133205841 72 38 33 0.48
24 -0.0163350281592371 -0.1551097184074433 1.044423638393561 91 58 38 0.68
25 -0.01738656572772629 -0.1514713036425849 1.045875512969947 113 80 62 0.94
26 -0.0243650633709761 -0.1329102364705414 1.037608324300965 127 101 68 1.05
27 -0.01887562658918518 -0.1433389937811931 1.035403950464756 113 80 66 0.37
28 0.0009845836388288065 -0.1576127150302027 1.025997426173374 142 121 76 0.82
29 -0.01763957408824141 -0.160812364137255 1.189437860530612 116 77 58 2.26
30 -0.07731060985418431 -0.1142574493997456 1.094084965372882 159 136 92 0.93
31 -0.06912919112993465 -0.1139988841228479 1.112258593701193 158 128 86 0.51
32 -0.06531410650243363 -0.1221909783392177 1.091089246111629 80 58 46 0.47
33 -0.06056996862431563 -0.1132168412819745 1.095846474060326 165 135 93 1.36
34 -0.06421384878022202 -0.1082742729102446 1.072380927024241 153 111 58 0.43
35 -0.05911350381082375 -0.1102260871596481 1.073796638348434 62 32 30 0.58
36 -0.05126361327383011 -0.1263343116831203 1.067872336152591 108 66 50 0.85
37 -0.05627469003765623 -0.1132704785066538 1.056255826516419 146 118 76 0.81
38 -0.1139271078109433 -0.07559561224483163 1.004907144783815 97 63 45 1.97
39 -0.05214954191630317 -0.1129905434546166 1.054835775747829 180 146 90 0.97
40 -0.03830920037825702 -0.1110003305554317 1.036815908383988 93 50 33 0.52
41 -0.1031924317599201 -0.09258745397239915 1.118306995441144 215 230 236 0.73
42 -0.08667347248186269 -0.0922810420298194 1.090150795897111 170 153 116 0.54
43 -0.07965923790604007 -0.09641498706332335 1.097449986197269 153 138 93 0.51
44 -0.07662212011034303 -0.09865622704635435 1.082588610424423 118 79 46 0.51
45 -0.06546965515935266 -0.09817778450341891 1.063708558429935 162 135 92 0.64
46 -0.08821192095512104 -0.07963459266235953 1.011430718131687 139 102 58 0.51
47 -0.0250619244436287 -0.09357290094219572 1.001887778904349 84 53 34 1.87
48 -0.01016269804795489 -0.1101305030187358 0.9937365925069129 138 84 40 0.73
49 -0.1071718654850045 -0.06923426061687593 1.1148084488426 149 122 89 0.69
50 -0.06616167161858078 -0.079430493032359 1.028555321019527 154 116 72 0.88
51 -0.06520660321346344 -0.06962040079594728 1.028049740308234 179 159 131 0.44
52 -0.04388248416872709 -0.08930237793307477 1.025969828822225 147 119 76 0.48
53 -0.04410888851002631 -0.08667870022180618 1.023935567376642 127 74 37 0.56
54 -0.03884639802650752 -0.08273474927537441 1.006727299842696 134 97 66 0.21
55 -0.01992915943985002 -0.07733869885934494 0.9764124228493294 135 91 59 0.82
56 -0.003228517550153909 -0.09593652175938305 0.9760479406161072 168 134 85 0.51
57 -0.09345434825968646 -0.06087063006069532 1.067224843963112 143 115 78 0.6
58 -0.08054622990973159 -0.05742967939962143 1.051310147050409 121 93 73 0.4
59 -0.08502818104075455 -0.05463091606614215 1.043036975028184 115 91 74 0.27
60 -0.07682318197316568 -0.05774837803601171 1.028476247620667 205 166 112 0.7
61 -0.06569791160264776 -0.06425907757054669 1.026669188953272 77 64 55 0.2
62 -0.05256207254689121 -0.06133315777670803 0.9972996184565293 113 74 41 0.51
63 -0.05729103388435808 -0.05889589585904659 0.9905154785811394 113 77 42 0.29
64 -0.01605527032453302 -0.06908432036852319 0.9637714155077105 107 67 40 0.71
65 -0.1317047360829361 -0.0386697637114794 1.108685895126875 136 103 101 1.13
66 -0.151494506114527 -0.01986616316586112 1.06381792792028 154 127 91 1.8
67 -0.07624077364823428 -0.04607282826686684 1.09377497989209 154 119 81 0.87
68 -0.1044295315242523 -0.03403319479418063 1.058581757087778 125 94 51 0.42
69 -0.09184411116725522 -0.0409210398469218 1.052845004138458 72 44 26 0.57
70 -0.09420244085859814 -0.03974719563982312 1.050399213296807 52 30 22 0.41
71 -0.08276814933164989 -0.04453843504214813 1.057994748414228 86 42 21 0.66
72 -0.05791415977594488 -0.04677805381020897 1.001692719848434 71 40 27 0.79
73 -0.05074267018340378 -0.04499934685795035 0.990823266760539 168 122 76 0.76
74 -0.04070414805206307 -0.05229296707051237 0.9821501666326244 174 146 108 0.64
75 -0.04109791272044466 -0.04746253384587421 0.9875469057446774 151 112 75 0.47
76 -0.05092575371217251 -0.03516072046693941 0.9795787381023594 162 138 94 2.31
77 -0.09932071474062404 -0.02104981781862866 1.116691632802085 93 66 38 1.63
78 -0.1300454303550638 -0.007518689643305543 1.082456352490011 99 80 48 0.18
79 -0.1177184667159773 -0.00800272589095935 1.051374291081725 190 164 125 0.64
80 -0.09562979418767142 -0.01818977661195209 1.021734844722551 139 105 71 0.55
81 -0.0942821635511828 -0.01381893354061739 1.022450777728433 141 100 67 0.72
82 -0.09109837481001148 -0.01717424837972292 1.018540314569199 127 86 55 0.34
83 -0.09982787183591318 -0.01280565365886807 1.005078258163775 140 100 65 0.57
84 -0.09445685013929062 -0.00950700989356798 0.9950417326625149 143 106 60 1.02
85 -0.0598976408463241 -0.02253903916678246 0.9840269628431457 85 64 51 0.48
86 -0.05640114938744412 -0.02210964918343616 0.9769047098232417 125 85 53 0.62
87 -0.03735273889393548 -0.02433156263016809 0.95486332503167 127 94 62 0.6
88 -0.02817400136275805 -0.02910038309335544 0.9478606711750028 90 52 31 0.3
89 -0.01772607311665902 -0.03668422646614308 0.9358093034597323 171 147 106 0.68
90 -0.01460424142603534 -0.03182337150668346 0.9359108093965989 208 178 131 0.82
91 -0.1586901373229063 0.02325600903613831 1.084222844724066 207 223 240 1.81
92 -0.1416514563288849 0.003692935901486699 1.09173528110143 114 76 48 0.94
93 -0.1350580244818435 -0.004670103983924756 1.081312064116483 64 41 37 1.03
94 -0.04985338813908907 -0.01786751811507553 0.965673764409692 111 64 34 0.45
95 -0.1150434515779465 0.02046794338348817 0.9925907418757496 172 129 84 0.47
96 -0.0755042623796861 0.01058614991050549 0.9802415433044567 100 56 21 0.37
97 -0.05655605522472629 0.006878494594747431 0.9673811535344422 134 101 57 0.75
98 -0.1529836495170804 0.02893883714011189 1.092289250297888 132 108 75 0.74
99 -0.1244017983776786 0.02615811556421849 1.048613137908885 78 38 33 0.22
100 -0.1104241163692766 0.02349561918483753 1.029160492174726 76 55 47 0.49
101 -0.1076915965154291 0.02243821709075192 1.012134120540716 141 77 49 0.87
102 -0.1077938550381247 0.0323149448137699 0.9847158881112053 154 119 85 0.43
103 -0.1008858723600986 0.02777817107994934 0.9752945719979342 116 78 45 0.68
104 -0.08460227773187107 0.02613383982172715 0.9807073772445988 83 54 35 0.97
105 -0.07170155571953735 0.02351637450934471 0.9616233172717445 124 84 56 0.44
106 -0.05552955862562775 0.01003551759651308 0.9614739388723395 168 128 85 0.56
107 -0.05031205241065867 0.01021110382768664 0.9462660342171408 197 168 116 1.08
108 -0.1590084533979457 0.0432559803457761 1.085198682797371 117 86 57 1.06
109 -0.148090852059919 0.04316589974798198 1.077394902420491 109 70 56 0.31
110 -0.1124819785456061 0.04747722533547448 0.9731307271994254 106 61 37 0.47
111 -0.0875158537516596 0.04030399841366458 0.9534323591875988 108 60 26 0.41
112 -0.07508941035670896 0.03686197039797282 0.9521692727177102 155 130 86 0.29
113 -0.1135054555382637 0.04903697675469126 0.9243370363506651 160 101 47 0.71
114 -0.06966799745491498 0.03703627331325715 0.9322522619686315 122 74 39 0.65
115 -0.03737583454027238 0.02965655759933103 0.9214804842503266 140 98 49 0.3
116 -0.02634478542854829 0.0210546736152224 0.9174996377539471 128 84 46 0.31
117 0.04566508277463027 0.005342538496474758 0.8829420982904264 165 123 73 0.79
118 0.05150471944541418 0.0003451885604970339 0.8752958978798226 103 62 46 0.72
119 -0.14915694927262 0.05804329432279952 1.029599644989767 128 77 49 0.11
120 -0.1374921573771285 0.05682071677165043 1.034091067630084 176 127 90 0.7
121 -0.1302093942434501 0.05644663382195295 1.018054372543017 78 43 23 1.76
122 -0.07982245793293757 0.05079986415317361 0.9541745407708564 94 61 39 0.95
123 -0.02199171903494412 0.03362265184141552 0.8872223845237928 202 168 136 1.07
124 0.04353848036917701 0.01386395758934436 0.8804625313400714 143 97 60 1.69
125 0.04648605823328894 0.02366942891844426 0.8811970626615925 110 62 26 1.38
126 -0.1885335108276557 0.08046855292438224 1.08150831632665 178 138 78 0.31
127 -0.1897599097468767 0.08067891914104298 1.080592857319483 152 111 77 0.83
128 -0.156123556370157 0.0724130065620591 1.035251349896965 116 68 35 0.57
129 -0.09508718566613455 0.05962041010557845 0.9503773405052123 170 112 64 0.87
130 -0.09619413232694546 0.0668677475719182 0.9530870576533217 76 41 25 0.65
131 -0.09199849438949254 0.06555639578622886 0.9469928140774421 70 40 18 0.49
132 -0.06710511162304761 0.05374489638968705 0.9228361390542932 145 93 54 0.3
