# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 61
355 RADIAL 760 1013 942.4965133922649 380.0 506.5 -0.0656305690269191 0.05962978034732167
522 RADIAL 1013 760 913.1639634884184 506.5 380.0 -0.17343819975134872 0.08037554053086411
459 RADIAL 1147 760 894.4866714860187 573.5 380.0 -0.07571334574833108 -0.0069217470929595955
364 RADIAL 1348 752 1159.7699360817699 674.0 376.18604651162786 -0.04139123127440885 0.48468502444722805
337 RADIAL 1013 760 817.7746271586371 506.5 380.0 -0.04109550420745385 0.011387744929042409
417 RADIAL 760 1052 1161.9620424363802 380.0 526.0 -0.19131600382880376 0.3460774027206614
507 RADIAL 1140 760 1004.3228381264606 570.0 380.0 0.06661930561778837 0.07113024516296826
502 RADIAL 1013 767 808.856301043043 506.5 383.2972972972973 0.02911314949033377 -0.011908641678830422
98 RADIAL 766 766 815.6765563075605 383.0 383.0 0.12525918120142698 -0.24805411760021154
436 RADIAL 1351 754 1062.4080281608967 675.5 377.0232558139535 0.0607849830044777 -0.08305160666342401
299 RADIAL 1013 767 1164.7626418355596 506.5 383.2972972972973 -0.08596461504866568 -0.11256520943539496
196 RADIAL 1140 760 1000.6676434300209 570.0 380.0 -0.1140758475477518 0.04617091954068992
416 RADIAL 760 996 1087.6177079099857 380.0 498.0 -0.12247676054994776 0.05353414498658975
193 RADIAL 1351 760 1407.0710852908123 675.5 380.0 -0.049549689671648946 -0.369154947988899
195 RADIAL 760 1351 1417.2888235918556 380.0 675.5 -0.09026405818101205 -0.04780869373449872
118 RADIAL 760 1140 1111.4348137026716 380.0 570.0 0.07312700709826456 -0.14919112239839113
101 RADIAL 1013 760 998.1509091655877 506.5 380.0 -0.1243431049636104 0.08771597668162846
524 RADIAL 1013 767 982.1982136918439 506.5 383.2972972972973 0.06252812914401755 -0.20818063521831268
213 RADIAL 760 921 1176.8065398379108 380.0 460.5 -0.03278698005106845 -0.2994233839716134
