# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 8030, mean track length: 4.49
0 -0.001556140129726824 -0.2729069413946059 1.116529761534145 141 114 81 0.94
1 -0.03222607193106525 -0.2315143467293253 1.143199241143741 89 70 61 0.63
2 -0.0004739597374818771 -0.2534369089102796 1.122537421984467 145 113 83 0.58
3 -0.02690019700065638 -0.2118639371074019 1.109053208569307 86 54 37 0.58
4 -0.001273962419575503 -0.226435020728298 1.140235992846836 109 76 57 0.92
5 -0.0004004690299080349 -0.2179674574052285 1.079512704619996 82 54 38 0.48
6 0.007955190870435669 -0.2216960051155362 1.06893074813958 163 137 101 0.72
7 -0.00255139034995866 -0.201566942623887 1.068739091677493 171 137 90 0.61
8 -0.05476024190876955 -0.1880686429534333 1.13186254090301 116 85 61 1.06
9 -0.02343749203616302 -0.1771788144474914 1.069805708098435 179 149 107 1.06
10 0.001980577986455845 -0.1805960630822824 1.043583460246609 104 63 42 0.56
11 -0.02434442694020411 -0.1516353621914601 1.053435885127128 143 100 59 0.52
12 -0.04952766222895305 -0.145753665093609 1.092431499895835 66 35 26 0.75
13 -0.05527827977479705 -0.1445753858765202 1.098645163126069 95 62 29 0.48
14 -0.01612008530079534 -0.1411728927346387 1.034553739222659 109 77 59 0.55
15 -0.05416361990695445 -0.1107671730027188 1.054600834697605 150 126 86 0.85
16 -0.05104045089706988 -0.1101235290155708 1.052347398079422 191 159 102 0.84
17 -0.05014822305213046 -0.1086941889673327 1.049068360851109 84 50 32 0.52
18 -0.03510534808662591 -0.1092200986083284 1.036202534236377 91 51 34 0.54
19 -0.08451437682924345 -0.08999543450692643 1.088637761598857 157 141 101 0.49
20 -0.08438984070560074 -0.08776069174894979 1.086309890626312 106 75 53 0.37
21 -0.0650993155151775 -0.1035286045582454 1.078793917470728 52 28 21 0.62
22 -0.06377113045278299 -0.08781267531889642 1.036609178900832 165 116 69 0.55
23 -0.03734000888905614 -0.09057168017884837 1.017807034255119 152 122 89 0.51
24 -0.1057974082541495 -0.06625891000703721 1.099858448443083 134 102 69 0.58
25 -0.09619874384807009 -0.07581022664218098 1.093575388530805 149 102 67 0.69
26 -0.08833034685276769 -0.07505656846583567 1.087490913128447 83 53 31 0.44
27 -0.06718863280630821 -0.0741853549627764 1.032433338254405 59 33 25 0.42
28 -0.05178712057806845 -0.06715263567634916 1.015469371048113 179 144 93 0.48
29 -0.03890988979239551 -0.07352343473243594 1.00089939060471 139 106 75 0.42
30 -0.02251258904076059 -0.07938358584648825 0.983437148519082 90 55 36 0.45
31 -0.08993617514241242 -0.03946302220112885 1.026662256239859 167 116 70 0.4
32 -0.03548494590688539 -0.06796909067355272 0.9978267146969896 165 113 67 0.25
33 -0.02681988532632512 -0.06766568837002759 0.9881746042802939 101 72 51 0.63
34 -0.02176021223025915 -0.06185343603219481 0.9637666653618411 167 132 90 0.43
35 -0.1292765411193557 -0.03679896844414343 1.107627063756008 136 100 84 0.88
36 -0.1134084502908204 -0.03186295209668544 1.071162408967122 152 116 80 0.24
37 -0.1007962609942362 -0.04078661102897621 1.067318884706428 133 100 64 0.34
38 -0.08665864240927434 -0.03989764159772108 1.051045521092643 79 42 23 0.55
39 -0.07385890503289583 -0.04144948944473129 1.007277371717635 128 69 34 0.3
40 -0.03924341384416541 -0.04546341260365749 0.9865745974084965 151 112 75 0.43
41 -0.02309004555402755 -0.04239111366202686 0.955967525357666 174 135 91 0.45
42 -0.07670799724858784 -0.01836610993580987 1.001445513389823 88 48 22 0.39
43 -0.04141973791044173 -0.02188359371643581 0.9678313809297696 98 55 29 0.58
44 -0.03362109381368361 -0.02558741490835317 0.9610116241716038 75 42 22 0.33
45 -0.1353594331735979 0.001440029664287745 1.101151075033892 134 100 70 0.68
46 -0.1403496803324082 0.005685014318515036 1.092084283331848 177 139 93 0.53
47 -0.1147718744224924 0.00611566589675025 1.05633018450124 82 51 33 0.25
48 -0.06786685998075342 -0.0120094702990737 0.9859159678323567 106 51 32 0.14
49 -0.06473966653856128 -0.01260523957398021 0.9825867916564377 114 61 22 0.31
50 -0.05261608597914902 -0.008911959557208304 0.9734045501291466 123 86 55 0.57
51 -0.03237388363178484 -0.01620363437515732 0.949152453680089 117 58 26 0.44
52 -0.02862856084417809 -0.00914919747354398 0.9436379461081058 193 157 118 0.47
53 -0.01630287099966371 -0.02621941800371641 0.9432586797667559 90 49 22 0.29
54 -0.1199757364032961 0.01931317840665248 1.046496774409058 101 65 35 0.33
55 -0.108751693006691 0.02444236440330727 0.9853666479513922 182 126 71 0.36
56 -0.0738486648853775 0.01223380835011911 0.9794548121339324 98 58 27 0.42
57 -0.04356931278415616 0.004394805996980167 0.9499729335933464 138 93 56 0.4
58 -0.0241035000928338 0.002430305994896159 0.9305275284826098 90 48 26 0.3
59 -0.1425318117562843 0.02649224473104533 1.089583347508959 83 56 32 0.74
60 -0.1525920797431012 0.0359901709521373 1.083560150396094 68 33 20 0.28
61 -0.1453331222101767 0.03385729510141683 1.08645261373586 101 55 27 0.21
62 -0.1228233411147253 0.02774637893957702 1.047413554457581 78 38 33 0.27
63 -0.1211176341930047 0.03562239640891046 1.025753520378475 105 67 41 0.49
64 -0.1091720913494362 0.02512527910558957 1.027729826176665 64 44 35 0.44
65 -0.1062274302263905 0.03387193323294552 0.9838595690612055 154 119 85 0.35
66 -0.08332297149367307 0.02777470625740625 0.9798377737722753 83 54 35 0.62
67 -0.07247311486972124 0.01699346130289034 0.9685939195664989 220 173 118 0.5
68 -0.05429346095832488 0.01190410078988607 0.960424781612764 161 122 81 0.45
69 -0.02855397750708977 0.01024177238212876 0.9281378010646077 84 52 39 0.39
70 0.05486970746016917 -0.0109121364630721 0.868080427263183 169 133 112 0.45
71 -0.1589857981383987 0.04650253095852074 1.086576139977335 127 74 51 0.42
72 -0.1590483986358059 0.0478871432217443 1.08816771709918 141 96 61 0.36
73 -0.1114051262157311 0.03503099594104586 1.018337231260745 132 106 78 0.43
74 -0.1149226416196106 0.04987594107351512 0.9778138359209159 102 71 45 0.34
75 -0.03624301638193517 0.02264955153918713 0.930471503603413 144 108 73 0.31
76 -0.02020919065568416 0.01852804986911111 0.9102204208831688 141 100 62 0.35
77 0.04125855782672816 0.006337092430029473 0.8893969279301612 150 116 78 0.57
78 0.04805706729386527 0.00190697277308069 0.8797702988574041 85 48 23 0.81
79 0.048498454590579 0.01020894979436882 0.8852445355665436 162 120 70 0.74
80 0.0521530229993149 0.002582045724660864 0.8684232973613174 99 51 25 0.43
81 -0.1811366734352605 0.06759958179332157 1.083228771527073 187 146 100 1.03
82 -0.1865607310828533 0.07323234187081754 1.075074674450873 190 160 124 0.76
83 -0.1579662905245406 0.06747134468931797 1.071783725211216 82 50 31 0.79
84 -0.15544739550779 0.06688762438504614 1.068433754834087 75 44 24 0.14
85 -0.1264348256467184 0.06131241415617521 1.021207817181122 68 41 23 0.15
86 -0.1156238631163192 0.05317012788228527 0.9820050587556022 95 53 31 0.32
87 -0.1141271150291435 0.05283428960542136 0.9797203574756199 120 82 56 0.38
88 -0.1153420102051559 0.05913491453228484 0.9816301910927959 140 97 61 0.35
89 -0.07836557836514635 0.05225720868664334 0.9533500238760125 85 54 35 0.87
90 -0.07241004547087704 0.04740182543761719 0.9497801989667606 95 56 33 0.5
91 -0.06922863149133374 0.04830996973600227 0.9475062762995631 55 28 15 0.45
92 -0.03451435182189672 0.04233729093342595 0.9113828459309951 82 47 22 0.3
93 0.044269850315376 0.0227970060101681 0.8782450130545959 149 108 70 0.91
94 -0.1907450476388515 0.08117890715155192 1.087269756637186 201 195 175 0.83
95 -0.1600385086625819 0.07099023708533873 1.077478281986452 96 62 37 0.57
96 -0.1046540270996983 0.06884439630758904 0.9636844144068238 63 27 16 0.57
97 -0.09439514261693582 0.06822656120913055 0.9528920132948786 76 41 24 0.8
98 -0.06581032343074755 0.05535529871093012 0.9221583341347188 142 90 51 0.37
99 -0.008624080923051392 0.04510150123880044 0.8550448916288028 151 122 80 1.3
100 -0.03622719769586774 0.05629313570349673 0.8838229530932071 97 50 29 0.48
101 -0.1761746241756208 0.0863127306374117 1.0664364076854 102 75 55 0.57
102 -0.1905364571978604 0.08967239271118711 1.082375856410547 87 58 39 1.18
103 -0.1513539356201936 0.08361519253037543 1.033367684135205 76 45 26 0.48
104 -0.1309962311481631 0.0807723878734308 0.9980108430513038 90 52 31 0.61
105 -0.0950148882916485 0.07054992898818478 0.9509559788884778 137 97 63 0.65
106 -0.0677894293960502 0.06453447784650702 0.9259192480367332 82 47 26 0.31
107 -0.06381157464421527 0.07007590599764302 0.9198134698716548 93 56 34 0.36
108 -0.06170987968213693 0.07141137739519814 0.9189724573411017 147 105 68 0.4
109 -0.04908585831775303 0.06347533209523022 0.911238138061149 172 125 85 0.53
110 -0.0334385100080834 0.06420256178228023 0.8821370995329425 156 117 72 0.63
111 -0.2001484811909953 0.1116856524067898 1.081750800051812 189 197 176 1.04
112 -0.14894463637202 0.1011728430211112 1.010309517559101 121 92 69 0.17
113 -0.1292076704503302 0.08763301336228312 1.00218335163956 169 126 75 0.25
114 0.02900917019983518 0.05685749648242788 0.8622561448612945 155 111 69 0.34
115 0.03199684182365492 0.06199350292464403 0.8616463746182031 125 84 46 0.56
116 -0.1782788765196077 0.1156256399216123 1.048458481630627 57 30 20 0.56
117 -0.1780590329873671 0.1168076205071333 1.049597160941116 85 46 26 0.52
118 -0.164784869408488 0.1157234897831702 1.032251196429038 50 21 16 0.33
119 -0.1448123827471763 0.1075768986539072 0.9959066544313203 91 51 30 0.46
120 -0.1400880292665405 0.1054669280204487 0.9900087020364251 75 33 21 0.43
121 -0.1371848561230673 0.1060410713624112 0.9870852091133795 90 43 24 0.39
122 -0.1032098183528216 0.1025275618134194 0.9467259502861591 122 71 48 0.58
123 -0.04972403835748751 0.08993113127860881 0.8818893719964273 101 54 31 0.47
124 -0.03287261133588554 0.09070099472672535 0.8622793139978047 75 45 28 0.48
125 0.02722197936238224 0.07714833166949536 0.8588773163864059 159 112 63 0.79
126 -0.1984610020905775 0.1232483337625443 1.073536481810238 88 71 56 0.61
127 -0.1924681275148334 0.1302605966883675 1.0662530580111 145 92 56 0.81
128 -0.1772049895395452 0.1255387222876244 1.047668862985768 96 68 47 0.48
129 -0.1487164394486285 0.1140738856714062 1.012960015356332 76 47 32 0.41
130 -0.1512487796711303 0.1184822680917364 1.009422361245151 98 64 47 0.18
131 -0.1526345225895384 0.1229551911268916 1.012987948626614 138 96 69 0.28
