# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 33
355 RADIAL 760 1013 953.9395496229222 380.0 506.5 -0.06792197207569894 0.05704351831635831
522 RADIAL 1013 760 904.9750352340569 506.5 380.0 -0.11513336594172169 -0.015563155342896656
459 RADIAL 1147 760 893.7104574591276 573.5 380.0 -0.0642286529784333 -0.03578569972148271
364 RADIAL 1348 752 1165.5131532642133 674.0 376.18604651162786 -0.08527090600243604 0.4414572720995588
337 RADIAL 1013 760 825.3391174530055 506.5 380.0 -0.0380227135450917 -0.002694125681223426
417 RADIAL 760 1052 1182.2721089614133 380.0 526.0 -0.20390473489430752 0.3962133122496089
507 RADIAL 1140 760 1017.5038673947449 570.0 380.0 0.08028079103411552 -0.20855357870224783
502 RADIAL 1013 767 816.7274407551093 506.5 383.2972972972973 0.027000748623904912 0.02366069605016236
98 RADIAL 766 766 819.6486149326023 383.0 383.0 0.09774134534567268 -0.1874504038275879
299 RADIAL 1013 767 1170.6601288659426 506.5 383.2972972972973 -0.09261709876555552 -0.08100151106245199
196 RADIAL 1140 760 998.3057642779006 570.0 380.0 -0.08686609478868616 -0.019820325185627513
416 RADIAL 760 996 1092.7714105090747 380.0 498.0 -0.1075959251323336 0.04089168611510878
118 RADIAL 760 1140 1110.348210400673 380.0 570.0 0.04982806759875223 -0.05231527426698761
101 RADIAL 1013 760 987.3022404788412 506.5 380.0 -0.11120639325217707 0.05506569114533901
23 RADIAL 1140 760 940.2485597544619 570.0 380.0 -1.0233306887415126 1.496953170589124
306 RADIAL 1152 768 1013.9527171961139 576.0 384.0 -0.01900449911924936 0.03572730740843045
162 RADIAL 824 774 796.5166662592476 412.0 387.030303030303 0.09196666616948034 -0.1143144645377959
371 RADIAL 760 1013 788.863573209098 380.0 506.50000000000006 0.09649101550796851 -0.23638321369773738
524 RADIAL 1013 767 990.5470048260532 506.5 383.2972972972973 0.05646783325138272 -0.18977483491901845
233 RADIAL 1140 760 965.4896703149515 570.0 380.0 -0.21412729469383998 0.2522635309306243
2 RADIAL 760 1140 1339.0030079028656 380.0 570.0 5.029171052160609e-05 -2.1073528074517137e-06
197 RADIAL 1140 760 991.5795149922598 570.0 380.0 -0.11255928711191619 -0.015887841233626892
119 RADIAL 760 1140 1167.5394597748068 380.0 570.0 0.04254691925144683 -0.043446884634792335
198 RADIAL 1140 760 995.5749693108653 570.0 380.0 -0.07770547372637143 -0.06850235170528407
181 RADIAL 1153 760 885.9025592446601 576.5 380.0 -0.08409868452683057 -0.031986697432599034
452 RADIAL 1351 754 1127.9211524458153 675.5 377.0232558139535 0.02791111266001621 -0.0037359309331836134
178 RADIAL 760 1013 1215.8483346994897 380.0 506.5 -0.0038977705354154533 -8.126420078244804e-06
516 RADIAL 760 1013 1215.8836688466308 380.0 506.5 0.00012356852901659226 -7.80040965054491e-06
248 RADIAL 760 1140 816.6681569166822 380.0 570.0 -0.1631337997676511 -0.03282714092937698
234 RADIAL 1013 760 752.2975321158444 506.5 380.0 -0.004470290903402555 -0.0030103438470836016
455 RADIAL 760 1351 1621.0155699306927 380.0 675.5 -0.036919591687527425 -0.0021484066712772437
217 RADIAL 760 1140 814.3954710877476 380.0 570.0 0.0 0.0
220 RADIAL 760 1140 814.2857142857143 380.0 570.0 0.0 0.0
