# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 61
162 RADIAL 824 774 795.7838565812197 412.0 387.030303030303 0.08144060267223754 -0.09186788952538426
98 RADIAL 766 766 814.5078080016868 383.0 383.0 0.12238843981700688 -0.24329571383780418
299 RADIAL 1013 767 1161.839869765403 506.5 383.2972972972973 -0.07971080055565245 -0.14294793455988367
459 RADIAL 1147 760 891.7819033004251 573.5 380.0 -0.09068123007966336 0.027254696990738434
337 RADIAL 1013 760 817.6178467030379 506.5 380.0 -0.043461796215325796 0.015834259263208732
502 RADIAL 1013 767 807.420579449167 506.5 383.2972972972973 0.0258801720310765 -0.010220302724820215
507 RADIAL 1140 760 1001.4669008616464 570.0 380.0 0.0518141830597441 0.15189165552168196
355 RADIAL 760 1013 942.1674804746165 380.0 506.5 -0.06523210943874437 0.06021372107740318
306 RADIAL 1152 768 1011.4101610135459 576.0 384.0 -0.0032841297233218067 0.016757129693771782
417 RADIAL 760 1052 1158.6738508343847 380.0 526.0 -0.18698622725617262 0.3037406020272742
522 RADIAL 1013 760 910.7614666412228 506.5 380.0 -0.17145927718210163 0.08489394097243635
118 RADIAL 760 1140 1109.8462597582723 380.0 570.0 0.07650892253449265 -0.1549320231016226
524 RADIAL 1013 767 989.6449479380997 506.5 383.2972972972973 0.03949255767779024 -0.09858784128739713
119 RADIAL 760 1140 1158.3930147643505 380.0 570.0 0.07311501281369541 -0.20318935380118783
193 RADIAL 1351 760 1408.8269948924863 675.5 380.0 -0.04193256536318953 -0.3861773797530043
195 RADIAL 760 1351 1417.8659118426513 380.0 675.5 -0.09052057697007564 -0.049675475520914295
492 RADIAL 1140 760 929.9485953467962 570.0 380.0 -0.21362542554067288 0.2052558845411269
436 RADIAL 1351 754 1062.124822254914 675.5 377.0232558139535 0.06497496277493002 -0.10065155476958135
103 RADIAL 760 1013 781.6433094596008 380.0 506.5 0.09912063489284684 -0.33649379973474375
364 RADIAL 1348 752 1160.902874674755 674.0 376.18604651162786 0.12599697042533084 -0.021141026083551336
196 RADIAL 1140 760 1001.4712668573512 570.0 380.0 -0.1276706465969835 0.07706812663968546
23 RADIAL 1140 760 918.41311000426 570.0 380.0 0.13983541389292997 -8.243228421086757
213 RADIAL 760 921 1190.2681570720888 380.0 460.5 -0.029990875867765533 -0.3120421479284468
371 RADIAL 760 1013 785.4804989971278 380.0 506.50000000000006 0.11250225145160067 -0.3854926720136094
472 RADIAL 1079 760 1286.7785646555424 539.5 380.0 -0.0006794094373935007 -0.5126282323004271
2 RADIAL 760 1140 1338.487199951992 380.0 570.0 -0.0015097483620103245 -7.46253851370039e-06
101 RADIAL 1013 760 998.9185427537894 506.5 380.0 -0.12608005406304237 0.004488571155565448
233 RADIAL 1140 760 933.1219003792407 570.0 380.0 -0.11646099454773594 -0.016743464098137626
416 RADIAL 760 996 1084.752964314198 380.0 498.0 -0.12181839142525692 0.06240235080745248
464 RADIAL 760 1013 1046.0609164015154 380.00000000000006 506.49999999999994 -0.003573551071300057 -0.03590141789016836
197 RADIAL 1140 760 1003.4554755113736 570.0 380.0 -0.13126342144356226 0.08605433972269304
335 RADIAL 1016 760 2000.0976876565126 508.0 380.0 0.0069361011924126935 0.00012085039110228573
378 RADIAL 760 1013 1216.3906041564262 380.00000000000006 506.49999999999994 0.004980580643232488 0.00018286232404588252
418 RADIAL 760 842 1014.5531996177541 380.0 421.00000000000006 -0.07891195055583632 -0.12354114688608854
376 RADIAL 1013 767 760.6471476026204 506.5 383.2972972972973 0.06318549411011518 -0.04075967681110071
377 RADIAL 1013 767 759.4396572033326 506.5 383.2972972972973 0.05912380752563007 -0.03394674790537626
