# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 8702, mean track length: 4.67
0 -0.007175325510727193 -0.2662393467933072 1.122520534049756 147 112 78 0.69
1 0.004578719873626069 -0.2683426444874788 1.108048612242517 132 98 69 0.9
2 -0.03222487326070145 -0.2326663415466376 1.143877433500397 91 72 60 0.59
3 -0.0004312007955900587 -0.2546654352962188 1.123196292677635 138 107 84 0.6
4 -0.007397234065379954 -0.2363550557214085 1.104716545400847 88 52 30 0.16
5 0.004589239222415054 -0.2326445064669461 1.089953287928143 88 58 47 0.39
6 -0.03505311557906116 -0.2120271074001031 1.129621462272656 100 73 73 0.79
7 -0.02635111857242189 -0.2080712030049224 1.111637307302258 81 51 40 0.38
8 -0.01894192333084194 -0.215205683236234 1.103149284194058 74 42 33 0.14
9 -0.01505873736907853 -0.2008882212344989 1.082987239128296 142 118 93 0.97
10 0.008844772402853751 -0.220305613711172 1.068651273958972 93 62 51 0.5
11 -0.0006283928238186576 -0.2041547827071426 1.070803335930044 171 138 93 0.58
12 0.01342229124364569 -0.221080266889141 1.064521743189945 92 55 38 0.81
13 0.005977969022245455 -0.2048802400016843 1.059411701491651 151 127 95 0.45
14 -0.07137894123318739 -0.162292059455246 1.12028058636846 110 71 62 1.3
15 -0.05529389334680285 -0.1885605602524533 1.132019299226909 120 89 68 1.16
16 -0.04670943650405601 -0.1919564921141795 1.119436771667421 150 112 76 0.29
17 -0.0454921902787252 -0.1908642314718031 1.123719659906931 74 38 18 0.35
18 -0.01003680514785821 -0.1923781343268725 1.073365825136968 90 51 25 0.19
19 0.003078584519295047 -0.2017689967805726 1.063950612740022 95 57 44 0.6
20 -8.87867321059943e-05 -0.1824037571651419 1.05089206793272 94 60 47 0.45
21 0.002037360111338704 -0.1814340231208213 1.043773952754904 104 63 42 0.54
22 -0.02436065847419749 -0.1523495031248328 1.053606660761126 143 100 59 0.5
23 -0.08712241057915465 -0.1235785372945147 1.122415595993941 200 188 183 0.89
24 -0.07054910054200658 -0.1366684822679024 1.115043726825452 82 45 32 0.25
25 -0.05466983843297263 -0.1415976661676004 1.096362728296249 83 55 43 0.38
26 -0.02288153789343261 -0.133334392466557 1.042331875730842 86 39 15 0.17
27 -0.02293921099890195 -0.1306148075109959 1.036005424869883 121 92 60 0.88
28 -0.004748926198675174 -0.1510242678306653 1.039612108746578 163 141 94 0.76
29 0.01218293583388136 -0.1549515016838547 1.027867222861873 150 113 65 0.85
30 -0.07331207007599133 -0.1206933796357995 1.104724564008041 81 42 27 0.42
31 -0.07764920681658682 -0.1081625675795005 1.089894625419556 122 71 41 0.2
32 -0.07365836798966685 -0.1098223786904184 1.088688365769713 96 59 36 0.43
33 -0.04729519613556682 -0.1186275842096517 1.052377432292884 175 140 95 0.63
34 -0.0530883034296209 -0.1091993793426716 1.053949546788012 79 45 28 0.44
35 -0.07216581648354442 -0.09854343821328301 1.034462186302427 176 152 110 0.44
36 -0.03501451285697044 -0.1099195963092369 1.036456767256885 91 51 34 0.5
37 0.002642795379517893 -0.1204651433349292 0.9892630539841714 126 106 87 0.85
38 -0.08492236931445235 -0.08807503525299124 1.08608714457803 107 75 54 0.38
39 -0.06349389198553373 -0.09653266585802986 1.062346257692879 149 118 78 0.53
40 -0.06557027217994005 -0.09261771956817541 1.057814934578884 82 51 34 0.5
