# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 61
417 RADIAL 760 1052 1151.7774018427847 380.0 526.0 -0.1841901387014485 0.2834835397280429
98 RADIAL 766 766 811.8493256710472 383.0 383.0 0.12702602867187776 -0.2563703458886184
355 RADIAL 760 1013 936.6944066616217 380.0 506.5 -0.06454714397451382 0.05027255909984611
522 RADIAL 1013 760 905.0544088811397 506.5 380.0 -0.17382680875308185 0.088511594653902
524 RADIAL 1013 767 983.9391213370443 506.5 383.2972972972973 0.03642126672013821 -0.09136375539690296
507 RADIAL 1140 760 993.2089734378483 570.0 380.0 0.06440180616664609 0.05793059996660783
118 RADIAL 760 1140 1105.0691938637272 380.0 570.0 0.07417147278626056 -0.1517447327873538
119 RADIAL 760 1140 1151.3609493114614 380.0 570.0 0.0661876229167461 -0.17870307544594263
459 RADIAL 1147 760 888.0699433977801 573.5 380.0 -0.08742090699642502 0.013337501226997155
502 RADIAL 1013 767 804.4694862930014 506.5 383.2972972972973 0.023772334371123676 -0.011309222577448907
193 RADIAL 1351 760 1406.481871166936 675.5 380.0 -0.03707485480818881 -0.38110670549331077
195 RADIAL 760 1351 1413.191661707589 380.0 675.5 -0.09172279158703732 -0.04994179354855951
436 RADIAL 1351 754 1058.6424391079142 675.5 377.0232558139535 0.06700288496326053 -0.10073003639780505
23 RADIAL 1140 760 962.221223045005 570.0 380.0 -0.06616130813247448 -0.4767527024573054
103 RADIAL 760 1013 779.4467259487988 380.0 506.5 0.10548522673931476 -0.36775423131829743
337 RADIAL 1013 760 814.8262474382481 506.5 380.0 -0.04191465894765529 0.00873951367712161
464 RADIAL 760 1013 1049.5266114310978 380.00000000000006 506.49999999999994 0.026467458420021687 -0.01242458771082337
299 RADIAL 1013 767 1155.4439837037498 506.5 383.2972972972973 -0.08599370238654702 -0.12038033419503216
233 RADIAL 1140 760 929.1350637674122 570.0 380.0 -0.12085682206289367 -0.009974271631857127
101 RADIAL 1013 760 998.4118590033877 506.5 380.0 -0.12034078015525776 -0.010246043478288473
213 RADIAL 760 921 1200.11716431904 380.0 460.5 -0.036704514155381916 -0.3245583268549011
162 RADIAL 824 774 793.0151911925499 412.0 387.030303030303 0.0792306372149722 -0.09153374617837579
364 RADIAL 1348 752 1161.70343105543 674.0 376.18604651162786 0.08380028334945279 0.12540168668267657
492 RADIAL 1140 760 928.5422030977313 570.0 380.0 -0.2164256076864904 0.21138867394777483
472 RADIAL 1079 760 1288.1916473730914 539.5 380.0 0.008313368618446535 -0.5047861469714562
371 RADIAL 760 1013 781.9098367496496 380.0 506.50000000000006 0.076085266726376 -0.26274560430318555
2 RADIAL 760 1140 1337.6683056064169 380.0 570.0 -0.006076442401985813 -2.020417053602543e-05
306 RADIAL 1152 768 1009.4759992315556 576.0 384.0 -0.005123528013952643 0.019573184661014327
196 RADIAL 1140 760 998.9774056432342 570.0 380.0 -0.12521400112452868 0.0654074786013288
197 RADIAL 1140 760 1000.8860819371547 570.0 380.0 -0.12893070065698775 0.07568835436042769
198 RADIAL 1140 760 1001.6717573219007 570.0 380.0 -0.12849733854616932 0.07336413936552005
416 RADIAL 760 996 1088.060180415282 380.0 498.0 -0.11196194444496782 0.004915117679586319
181 RADIAL 1153 760 881.1360174309518 576.5 380.0 -0.06733487883564136 -0.0006976197449440572
452 RADIAL 1351 754 1085.6018123253468 675.5 377.0232558139535 0.04903565918144053 -0.0697026398068687
178 RADIAL 760 1013 1215.4552067100549 380.0 506.5 0.005668796856165035 0.00021603016941791912
4 RADIAL 1140 760 895.4723054171138 570.0 380.0 -0.05434965326386131 -0.032302288741974924
248 RADIAL 760 1140 824.5086889585 380.0 570.0 -0.1049753903122751 -0.09132606635532364
377 RADIAL 1013 767 758.342107340162 506.5 383.2972972972973 0.056566561886161805 -0.03187591465755336
516 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
93 RADIAL 1013 767 967.3319850337734 506.5 383.2972972972973 0.026918166170511456 -0.10925958473364238
380 RADIAL 1013 767 754.6741574060352 506.5 383.2972972972973 0.05048878219403564 -0.054198648957126734
418 RADIAL 760 842 1022.9178442881133 380.0 421.00000000000006 -0.09098362817699002 -0.11676874014305497
21 RADIAL 760 1013 1173.5863140864342 380.0 506.5 -1.1321682246282723 16.348378642837737
338 RADIAL 1267 773 1207.2205052720285 633.5 386.280487804878 0.026153408659481795 -0.05633382449295091
455 RADIAL 760 1351 1621.0564087143648 380.0 675.5 -0.00242815375126565 -0.00021481979057211333
435 RADIAL 760 1351 1621.401553947131 380.0 675.5 -0.008469244193198184 -0.00012542548481601627
317 RADIAL 1013 760 782.430090665278 506.5 380.0 0.03254745288868811 0.0007545204582326043
376 RADIAL 1013 767 759.5158802602218 506.5 383.2972972972973 0.06036009097982372 -0.037977169704235536
42 RADIAL 760 1013 406.5403945059059 380.00000000000006 506.49999999999994 -0.016006372214652127 -0.00918790339382484
