# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 8790, mean track length: 4.72
0 -0.03239177324892345 -0.2351773273529292 1.145543712874697 102 81 71 0.62
1 -0.01626393533257692 -0.2381357730551108 1.121384861439387 90 73 66 0.18
2 -0.0001690760476690811 -0.2575263547634865 1.125020635936735 136 107 87 0.71
3 -0.0351416354187194 -0.2145080159342904 1.131373548099736 100 73 73 0.77
4 -0.02013366850252313 -0.2294457264857462 1.121935508878767 84 57 44 0.87
5 0.009010136510046396 -0.2316450427213217 1.079703948191179 152 122 77 0.3
6 -0.04492486570121007 -0.1965255476458968 1.124869270488321 134 117 109 0.45
7 -0.05046470829885602 -0.1743773437285756 1.117259241809983 88 61 48 0.42
8 0.003943035110605453 -0.1850209503307534 1.046556382267105 106 67 49 0.55
9 0.01282548053800281 -0.1991845406658734 1.048640604976789 89 57 30 0.56
10 -0.01359056498049283 -0.1553752939139617 1.044739745750257 94 59 38 0.6
11 -0.01620289864645402 -0.1436494087115873 1.035714630734588 109 77 59 0.53
12 0.007317444258749362 -0.1470737930900846 1.006765893475501 216 231 236 0.94
13 -0.07399590275937068 -0.1113476037736602 1.089931327989561 96 59 36 0.41
14 -0.05352490228012868 -0.1135535229485105 1.056555548793147 145 120 82 0.74
15 -0.01184385004388561 -0.1159082934555377 1.0106705894841 104 57 41 0.29
16 -0.06344929774464336 -0.09847313579758812 1.06238981140685 131 101 81 0.14
17 -0.04136092629850158 -0.08910454707950091 1.023821844266525 143 106 74 0.23
18 -0.03838468501693953 -0.09116104656146073 1.021794629171488 78 46 35 0.84
19 -0.0889632733782495 -0.08013661209859194 1.08879850460725 84 49 30 0.46
20 -0.0371429326018432 -0.08229055567933649 1.006281918925845 138 104 70 0.43
21 -0.03748295628551129 -0.06962172212216225 1.006209625166039 125 92 58 0.28
22 -0.03877179016527788 -0.06665491402642523 1.002461624894432 100 70 42 0.63
23 -0.02404065386614657 -0.07305716969404089 0.9821433074445068 125 92 59 1.23
24 -0.03422650063327692 -0.0583673000339297 0.9843209016518788 84 50 36 0.46
25 -0.1130114894092513 -0.03387873809618996 1.073430182246924 137 99 65 0.28
26 -0.03859015664757215 -0.0522172560055737 0.9823274635935021 168 140 104 0.74
27 -0.04040485046472592 -0.04881757829471528 0.9802415637270829 128 88 54 0.38
28 -0.03903698008542833 -0.04732755444740655 0.9876982567972917 151 112 75 0.43
29 -0.02111837692670981 -0.04641249344142437 0.9564742469330463 64 32 23 0.39
30 -0.07464274147746186 -0.02072714389038569 1.00441158688859 96 54 25 0.25
31 -0.1172474058785341 -0.00515877863756467 1.056897492676792 121 78 52 0.1
32 -0.1166578023864845 0.005566404482770182 1.056184539798847 85 53 39 0.87
33 -0.05276929248130974 -0.01035733743357792 0.9742112470705082 123 86 55 0.55
34 -0.04842208344783527 -0.01614019687906959 0.9663901016982896 166 123 79 0.3
35 0.247556772261354 -0.1160624251493455 1.167014912076954 120 88 55 1.49
36 -0.03215003143325518 -0.01797098045312293 0.9501575927895088 117 58 26 0.73
37 -0.02857488944489817 -0.01053879146133152 0.9443287929306208 193 157 118 0.44
38 -0.02688173463007359 -0.01186653193608561 0.943455144546228 88 49 33 0.17
39 -0.03368470851712008 -0.006144581472815075 0.9076781062462145 108 77 42 0.48
40 -0.1381243131644384 0.0215117143497259 1.070138699750282 85 52 35 0.41
41 -0.08791915081117363 0.01143909189708492 0.979286878111985 202 157 101 0.88
42 -0.1430116534845224 0.02470320299714118 1.083580112327099 94 65 40 0.46
43 -0.1236466367100103 0.03340363175603148 1.028911840455037 134 93 62 0.37
44 -0.1215493451624104 0.03456500362347449 1.026593171104152 111 70 41 0.4
45 -0.1086462284665491 0.0240903181582664 1.021680711405528 66 42 27 0.37
46 -0.106440198888279 0.0327063143662716 0.9847299522357754 148 113 81 0.37
47 -0.08257061282202477 0.02623060299843868 0.9817244928131934 89 55 32 0.46
48 -0.07285975881061379 0.01588202588086157 0.9694242163653521 187 143 96 0.6
49 -0.07253176279371504 0.02599878515286053 0.9634797708747473 126 85 45 0.43
50 -0.070738281473472 0.02406186529100282 0.9612940370274794 124 82 51 0.45
51 -0.1591584161222777 0.04542926007844711 1.088008030131654 126 80 54 0.38
52 -0.1122595579529461 0.0341688932975821 1.01877583418531 136 104 75 0.52
53 -0.1152990313220077 0.04887445338984436 0.978507372174086 100 70 46 0.38
54 -0.09641158608232758 0.03282171337416018 0.9782042626744105 85 60 30 0.58
55 -0.07722500775739433 0.02722282719070546 0.9748686507229412 133 99 73 0.24
56 -0.02062475421642129 0.01745317848547553 0.9104602501175163 140 102 70 0.31
57 -0.1626238917619957 0.0672939388320079 1.077289849328565 57 27 15 0.57
58 -0.1585686890359499 0.06651778765259864 1.072767073633903 77 49 30 0.75
59 -0.1144816344269076 0.05032915703813254 0.9797779282307713 68 36 22 0.38
60 -0.1145734707403231 0.05188459474898388 0.9803589222634426 121 85 60 0.36
61 -0.1136115658468452 0.04997677366576941 0.9778954863396534 89 50 27 0.52
62 -0.1080892692858798 0.04927514308153806 0.9711565773753155 66 41 29 0.85
63 -0.0915599037394621 0.05471696155605074 0.9483057138796047 154 112 74 0.28
64 -0.06898336265650518 0.04701074270523274 0.9485228202637672 54 27 15 0.73
65 -0.04138915808909754 0.04106476812179509 0.9153140075516493 101 55 24 0.26
66 -0.1295753019641083 0.06982708715229548 1.023233921788489 49 25 10 0.5
67 -0.03621413089537595 0.05523583146987975 0.8843086351293376 106 56 31 0.52
68 -0.1518112243941223 0.08272673909962655 1.034200938575375 72 42 26 0.51
69 -0.0952669813284916 0.06957233762848369 0.9515655419772318 144 105 69 0.55
70 -0.07436997291706715 0.0718319441300713 0.9410738225069575 146 103 65 0.47
71 -0.06800183833466467 0.06355685101528483 0.9264334866324275 80 45 24 0.31
