# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 8883, mean track length: 4.71
0 0.001508036009952973 -0.2702544802929446 1.111174919541586 124 99 77 0.48
1 -0.03305496008741837 -0.2348752158890471 1.144545019639354 110 85 73 0.71
2 -0.00117455902816388 -0.2450596951397825 1.112115315859939 87 53 40 0.8
3 -0.02494272813930598 -0.217264093640061 1.112820438251303 84 58 48 0.39
4 -0.05454266939959251 -0.145843963208434 1.09521928717852 140 104 73 0.65
5 -0.05020354029464363 -0.1596651860433641 1.102267802838881 162 137 85 0.45
6 -0.06439557626842951 -0.1440308718137082 1.111425839039506 82 47 35 0.57
7 -0.0665341045774463 -0.1359054944460314 1.101518756628195 154 127 95 0.3
8 -0.07476636580840351 -0.1110715745125986 1.088783315685455 96 59 36 0.39
9 -0.05455893558954383 -0.1131341673640157 1.055364294959088 147 123 82 0.75
10 -0.0359074154014582 -0.1112794618065834 1.03658962558566 91 51 34 0.49
11 -0.08591366389064836 -0.08932698688628735 1.086282070247248 106 74 53 0.36
12 -0.06487209442478958 -0.08957807130761089 1.036744131228094 169 121 73 0.52
13 0.1275519435342248 -0.1808479115984752 1.148082498356169 156 104 58 0.28
14 -0.01383641294390814 -0.09812509397749111 0.9878208644631898 126 86 48 0.46
15 -0.08960974615374712 -0.08001941749822913 1.087760488882251 77 43 25 0.41
16 -0.1105339151395875 -0.04472076968060132 1.081963537498531 146 109 72 0.21
17 -0.109621290737523 -0.0431011108867535 1.080946829201167 111 72 50 0.14
18 -0.09954504743266784 -0.05478686327623725 1.08154919683494 132 101 71 0.24
19 -0.08263291276940427 -0.06251927496557019 1.053799106644659 133 88 51 0.56
20 -0.118023131334806 -0.03275715601390844 1.080358159600705 149 111 82 0.17
21 -0.1016497694832487 -0.04240848951076504 1.067783455867015 128 95 62 0.3
22 -0.08753649054446916 -0.04017425486762607 1.023887752854668 98 64 30 0.4
23 -0.03914848020575856 -0.05218393617608175 0.9816453102286185 163 136 102 0.65
24 -0.1130634413234817 -0.008727293766523758 1.050052184918086 164 120 85 0.47
25 -0.09463399330747763 -0.01789224158026151 1.02097405182703 135 99 68 0.41
26 -0.1414861559704519 0.004467662940121103 1.092078432502035 164 128 91 0.46
27 -0.1140353604612634 -0.005658099969421321 1.049793090728819 116 78 49 0.36
28 -0.05352509875945904 -0.01034820457987434 0.973511128803943 123 86 55 0.57
29 -0.03292412747489482 -0.0179323305030524 0.9495588520055971 117 58 26 0.71
30 -0.119082606146006 0.01901207125694501 1.045974903059981 71 39 20 0.36
31 -0.1434713075713027 0.02460209268725294 1.08266536098343 81 54 31 0.55
32 -0.1169914068126621 0.01968694496149978 1.045635504786072 106 76 44 0.73
33 -0.1219161265010527 0.03438961967404905 1.025960531698043 114 73 46 0.55
34 -0.109097708962557 0.02394503467016848 1.020986702943914 66 42 27 0.39
35 -0.07317360581927812 0.02592275891269485 0.9628512041431589 126 85 45 0.45
36 -0.1599157762974386 0.04664525501051497 1.088438990518958 141 96 61 0.32
37 -0.1127085660876204 0.03401653084232437 1.018085497196724 136 104 75 0.52
38 -0.1181475613274649 0.04937383002210095 0.9814059641468631 88 55 27 0.45
39 -0.1157831024740903 0.04874911071929626 0.9778821556110766 97 66 43 0.45
40 -0.02144848456673543 0.017425141666704 0.909962075117052 140 99 65 0.35
41 -0.1625741490451073 0.06686880108301224 1.076862343422336 65 31 17 0.55
42 -0.1584382163799703 0.06619881077482623 1.072034983836299 84 48 28 0.95
43 -0.1150115344592394 0.05173506058050531 0.9797678205660303 121 85 60 0.35
44 -0.1088611939897298 0.04915112068236813 0.9704864639862514 66 39 28 0.87
45 -0.0698967005715615 0.04702997136478741 0.9476773409752247 51 25 14 0.78
46 -0.04378499486940618 0.04153582243020515 0.9137569761177675 123 71 34 0.48
47 -0.1297617633261557 0.06950865531596527 1.022669150266647 56 30 12 0.49
48 -0.134042923572 0.07328474926483644 1.000173463880367 75 44 28 0.56
49 -0.1051353203437881 0.067523371641768 0.9638929731190509 82 38 18 0.82
50 -0.06776505599801091 0.05280880588898296 0.9510444508694593 100 59 20 0.83
51 -0.03692265518265198 0.05513165260767125 0.8839129372154633 106 56 31 0.51
52 -0.1521799539691372 0.0824617388763897 1.03354571552777 73 42 26 0.5
53 -0.1320212987205914 0.07972331389843376 0.9982531206414065 81 50 32 0.6
54 -0.0959558480827824 0.06959231761773378 0.9508403044119142 136 95 61 0.47
55 -0.07455886625932578 0.07150988481050528 0.9407229783743711 152 106 65 0.43
56 -0.06889456788173354 0.06351515392249094 0.9257179214498276 85 44 22 0.36
