# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 9091, mean track length: 4.73
0 -0.1160152949216842 0.04867198773586608 0.9779286861748064 100 70 46 0.36
1 -0.1047643599484666 0.1285012444106631 0.9378825595977917 173 111 76 0.15
2 -0.1302248404095458 0.06946656314120139 1.022488096229888 49 25 10 0.54
3 -0.1549936921419729 0.1221078145031744 1.014928493360297 120 89 67 0.37
4 -0.1413219842813666 0.116116764020993 1.007298732744542 92 60 42 0.73
5 -0.1409087641959864 0.1189489963862721 0.9895439415056386 73 42 27 0.4
6 -0.1273362468558775 0.1145748516927766 0.9715784621202902 103 75 60 0.51
7 -0.1113798061166248 0.1111645209966727 0.9514438807675957 118 87 67 0.65
8 -0.1714115362831314 0.1278492625364616 1.043970202269978 154 111 82 0.49
9 -0.1687684918110002 0.1304063620935557 1.041336036923687 99 68 52 0.28
10 -0.1545526596049391 0.1235586746886302 1.015667464820742 81 42 26 0.38
11 -0.140392678141504 0.1228625438194927 1.004658393532579 64 30 19 0.49
12 -0.1419554514138345 0.12691964958722 1.005660275324859 128 82 51 0.37
13 -0.1424556442986496 0.1299822942028588 0.9888030064185855 157 109 73 0.32
14 -0.1345685715299626 0.1249561717812644 0.9818386298778564 105 71 49 0.53
15 -0.1043334253298462 0.1191415021248378 0.938110511525161 97 61 41 0.38
16 -0.1668311550453794 0.137786888935414 1.028361406551038 107 55 39 0.39
17 -0.1550928315063953 0.1343872387699444 1.014553610559076 149 95 68 0.27
18 -0.1595374518816041 0.1446287602952809 1.015140082024093 144 116 91 0.5
19 -0.1434656443590349 0.1364569225327343 0.9882359520735515 154 99 64 1.05
20 -0.1343658193538986 0.12955305583974 0.9805919751644363 117 85 63 0.62
21 -0.1141518649344785 0.1287016104137718 0.9503966893670859 167 104 67 0.29
22 -0.1056969099656305 0.1312796116391308 0.939966717961374 56 33 23 0.71
23 -0.116829856942209 0.1372703320952852 0.9494954235010002 116 50 28 0.95
24 -0.1914423969004067 0.08113187913627171 1.084942334407849 148 104 72 0.73
25 -0.1157420848101032 0.06430875729870847 0.9773577298313172 117 86 62 0.59
26 -0.1022829453512279 0.06614924798923948 0.9569816847028301 119 69 40 0.32
27 -0.1864321216865555 0.08782510188152193 1.076582941424771 119 80 55 0.48
28 -0.1338309177956599 0.07538643215086749 0.9994703174458994 111 75 49 0.58
29 -0.06425094147242461 0.06440263410091372 0.9209178696061083 61 30 17 0.51
30 -0.1304131142134939 0.09012339381448262 0.9850958826082203 127 78 50 0.79
31 -0.1729352722299867 0.1217081010353384 1.047936802608528 72 33 23 0.4
32 -0.1263201889901072 0.1158166906781707 0.9711528965014889 68 34 19 0.5
33 -0.1138385309106335 0.1133690720451939 0.9554816864771669 78 47 33 0.55
34 -0.1411123208440217 0.1215063530578851 1.005339524434659 121 75 49 0.31
35 -0.1432417286713197 0.1235961682217124 1.00873713132417 88 49 28 0.6
36 -0.1576802224682162 0.1383185947623572 1.015527394151818 110 66 45 0.56
37 -0.1575874961516388 0.143056252514241 1.014481632385558 115 67 44 0.39
38 -0.1275505612900059 0.1305356131501443 0.9678644201958205 72 35 22 0.58
39 -0.1147283865974273 0.1278478588072499 0.9520281023634856 98 43 28 0.64
40 -0.1154501273861234 0.1326035283675895 0.9509487790068847 113 47 30 0.47
41 -0.1042617229473081 0.131039849954323 0.9366141927273863 184 118 77 0.45
42 -0.1053921345135589 0.1344904725951636 0.937741027256163 92 38 26 0.42
43 -0.07255048632123584 0.1297312997792619 0.9034129042248215 74 29 21 0.42
44 -0.1224785154135262 0.114302419517477 0.9671695318756875 112 70 41 0.48
45 -0.1602484218529531 0.1441565049562074 1.016884888654482 87 59 44 0.8
46 -0.1036218965989367 0.1264168911705587 0.9378615224364191 166 113 83 0.48
47 -0.07630533946773649 0.1253189680965073 0.9097108686014665 153 106 75 0.33
48 -0.1184112870587499 0.1128282838401422 0.9617053908113153 117 75 54 0.38
49 -0.1125930609662279 0.1146306438896061 0.9530662265830676 148 110 84 0.53
50 -0.07963096464412373 0.1107357621852466 0.9196623207239876 135 94 64 0.34
51 -0.1717033346485637 0.1382186628549662 1.042227518500131 169 99 55 0.93
52 -0.1729003883604797 0.1443486470397914 1.040011477413851 145 94 63 1.08
53 -0.168171817467863 0.137132877782618 1.03018766464684 157 102 61 0.45
54 -0.1536343189009753 0.1340698375388746 1.01123005690287 146 95 58 0.48
55 -0.1447191161556037 0.1367238612006035 1.006034612252803 132 65 40 0.55
56 -0.1454244208709539 0.1407229615802811 1.004891709043174 157 107 73 0.53
57 -0.1424438112796323 0.1372608364887136 0.9860672642306451 109 52 37 0.9
58 -0.1186850648406361 0.1319972742964671 0.9640435321703116 77 47 35 0.48
59 -0.1171638683295774 0.1336863311025647 0.9620123105574934 42 25 16 0.55
60 -0.1543364721264207 0.07618012420598419 1.03020612088419 173 117 68 0.7
61 -0.1529818527335802 0.1266313704969527 1.012893281923341 141 102 73 0.53
62 -0.1248163051473901 0.117353488445146 0.9685380246926866 132 92 68 0.73
63 -0.1155450259420449 0.1147020169939808 0.9576415234824703 148 95 65 0.6
64 -0.1133038237898111 0.1411195987524086 0.9431446183255375 99 54 34 0.78
65 -0.0888627375961224 0.0920219573737457 0.9248117229755337 91 74 52 0.2
66 -0.1199072478985018 0.1101396249993518 0.9649968685484098 131 85 60 1.01
67 -0.1132802465178289 0.1168267655406832 0.953778305880791 124 82 60 1.27
68 -0.001057661589411507 -0.1018752976985849 0.9746181558668335 143 135 145 0.53
69 -0.0540489000618955 -0.01383295021348549 0.9713095108038454 116 78 56 0.26
70 -0.1332354513001191 0.07389952050033993 0.9994424871127037 68 38 25 0.2
71 -0.06526728485500138 0.06492567670585378 0.9224618431910079 99 65 42 0.53
72 -0.1469608441952011 0.1029386014223898 0.9907724957620598 128 82 52 0.51
73 -0.1726526232577317 0.1283511639704989 1.045690962759635 145 104 74 0.22
74 -0.1296886633132558 0.1161118899426001 0.9751942270220681 97 54 33 0.61
75 -0.1126183075174367 0.1087004521253504 0.9514583869401849 88 56 33 0.62
76 -0.160656398772352 0.1342453729062591 1.021167645738212 134 99 75 0.6
77 -0.1427789932025968 0.1348668729414571 0.9872627189615213 160 119 88 0.34
78 -0.142551718558181 0.1406066029091818 0.9854529026368666 135 72 47 0.45
79 -0.1717621777862125 0.151387308830955 1.035710026079815 113 67 39 0.26
80 -0.1393046723070057 0.1468193540903607 0.9780852338168791 90 42 24 0.36
81 -0.1349345493197236 0.1207068208276135 0.9811817934303287 150 107 81 0.48
82 -0.02288231357247972 0.01775218424275707 0.9133923432410183 118 68 49 0.7
83 -0.1466204504537688 0.0726066279016923 1.022747330255149 120 72 36 0.88
84 -0.153644923400597 0.08315632974203999 1.034664221688876 104 74 48 0.43
85 -0.1320743156481556 0.07955551958889104 0.9982351949837293 89 52 32 0.69
86 -0.09606865780549212 0.06935714085115999 0.951095055149173 137 97 63 0.6
87 -0.07352183458314243 0.06059881686740561 0.9285525395186816 162 102 56 0.79
88 -0.1841446436682034 0.128121401330905 1.052554219758904 106 70 52 0.52
89 -0.1839629413821777 0.1295038235530445 1.053152402069087 85 50 30 1.27
90 -0.1391173508315986 0.1212479497414496 1.002845265441532 96 63 49 0.51
91 -0.1167674478824439 0.1143438372783843 0.960293497221278 70 39 22 0.73
92 -0.1000342813552039 0.1101027649082705 0.9374467128744127 94 60 39 0.39
93 -0.1001770096828505 0.1087485833147637 0.9370945940737477 112 80 61 0.64
94 -0.0820831184841227 0.1045047628540267 0.931672002253071 113 72 53 0.6
95 -0.08170035625875327 0.1070321071727284 0.9213650708278623 124 92 65 0.49
96 -0.1599404126795347 0.1318771971185239 1.022028339673275 106 73 52 0.47
97 -0.1052875119034125 0.1202477559019972 0.9389665977875272 146 118 102 0.51
98 -0.1673074121449936 0.1458885579823906 1.026466467701954 107 53 36 0.55
99 -0.1076945585786639 0.1331075038210734 0.9415337451170194 138 90 64 0.68
100 -0.1224508911836912 0.1379319283435819 0.9588882947453654 40 26 24 1.24
101 -0.009305116687382153 -0.2675120804293823 1.122085420139659 147 112 78 0.65
102 -0.1601096210881347 0.04523630760189411 1.086683022435559 134 84 55 0.49
103 -0.1098853331956571 0.02323525214868241 0.9853273165893255 162 108 60 0.51
104 -0.130005195777213 0.05936272915629109 1.023865244623657 60 31 19 0.74
105 -0.1318284885521216 0.07757083275302866 0.9981737586695717 128 80 45 0.7
106 -0.03673293266840255 0.05703772290416444 0.8848566148987989 122 82 51 0.65
107 -0.1550943858149935 0.1253912287597655 1.015912697313916 136 93 66 0.38
108 -0.1056051187683912 0.1231312331521898 0.9428530685210208 143 97 69 0.44
109 -0.07016006784055262 0.1149300737071606 0.9083160703740469 82 44 32 0.74
110 -0.1410196039329333 0.1344988442520686 0.9859746939727901 172 115 81 0.39
111 -0.07716014234846225 0.1248482627265056 0.9117639757512657 124 56 30 0.5
112 -0.1428306048821848 0.1452651170865134 0.9990523656447161 91 54 29 0.52
113 -0.128129781734765 0.1391220006394818 0.9658340230159193 103 46 29 0.51
114 -0.02227171608004652 0.007649234746663791 0.9123160077531116 167 160 165 0.39
115 -0.1545076081777014 0.08283367233801328 1.036111950358628 68 41 27 0.47
116 -0.07487608688701852 0.06005063062021487 0.9311047300592488 157 101 64 0.57
117 -0.1738679531940918 0.128378552313731 1.047300294409063 156 106 75 0.64
118 -0.1541753720328408 0.1198312072223176 1.013200774534897 106 68 48 0.37
119 -0.1611227497631735 0.1312573683631796 1.023658845562547 64 33 23 0.85
120 -0.1606087082702642 0.1368467475693592 1.02080117820215 142 111 84 0.56
121 -0.1208247522450165 0.1241155365974181 0.9683412899975032 38 27 22 1.3
122 -0.1154188202489643 0.1202294400782102 0.9554664691468618 172 117 80 0.5
123 -0.1043881448489045 0.1173421809990292 0.9426973294319059 70 40 26 0.52
124 -0.1095428693248939 0.1246543217305937 0.9458817170379025 138 74 49 0.85
125 -0.1276506634388112 0.1353320879137623 0.9667598432096153 107 50 34 0.52
126 -0.07187246082813098 0.1231045348153732 0.9048244300296768 92 52 37 0.31
127 -0.07678891477393607 0.1277321384532175 0.9094687189925237 154 103 63 0.5
128 -0.0148962490032456 -0.004892072083650806 0.9178328648973522 98 61 55 0.85
129 -0.1298388699931922 0.06655371425745241 1.021972520816827 62 32 18 0.38
