# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 25
196 RADIAL 1140 760 1037.5786037211885 570.0 380.0 -0.2643709726926102 0.5769139088282761
197 RADIAL 1140 760 1039.0979091834922 570.0 380.0 -0.26403288099692634 0.5678295061929167
198 RADIAL 1140 760 1037.1760000873255 570.0 380.0 -0.2719040707167089 0.575974874437159
2 RADIAL 760 1140 1339.0993081333736 380.0 570.0 -0.03519612429953091 -0.0031647217259554187
364 RADIAL 1348 752 1174.2494682132262 674.0 376.18604651162786 0.05520439050760135 0.08770936010208608
118 RADIAL 760 1140 1143.0959030743957 380.0 570.0 0.07455320205138373 -0.0617319645830012
299 RADIAL 1013 767 1163.6677099812125 506.5 383.2972972972973 -0.15707918653339362 -0.02985410896063099
502 RADIAL 1013 767 825.615322776216 506.5 383.2972972972973 0.03343946824725691 -0.0025244997198862547
119 RADIAL 760 1140 1180.1535685924166 380.0 570.0 0.07848591671446445 -0.005379380540606805
459 RADIAL 1147 760 887.0997702569942 573.5 380.0 -0.043967553587212 -0.035909588686200804
416 RADIAL 760 996 1090.958093839749 380.0 498.0 -0.18675399051655245 -0.05931103954470775
464 RADIAL 760 1013 1042.2790310464775 380.00000000000006 506.49999999999994 -0.023130209619944043 -0.0016768304341829247
181 RADIAL 1153 760 885.6858771218095 576.5 380.0 -0.06826174723316454 -0.001118903828839985
108 RADIAL 760 1013 1215.8050153835145 380.0 506.5 -0.02195082407712634 -0.002179693243328874
371 RADIAL 760 1013 763.1163085816302 380.0 506.50000000000006 0.030134040237271315 -0.07831650473138088
248 RADIAL 760 1140 819.2849042882539 380.0 570.0 0.26566109798403914 -3.8035574026333214
162 RADIAL 824 774 825.2722094362528 412.0 387.030303030303 0.05414166295105683 0.028277623319146548
455 RADIAL 760 1351 1621.0412273244547 380.0 675.5 0.0781999185773437 0.006333324577319825
101 RADIAL 1013 760 983.5022117914907 506.5 380.0 -0.13681331586098755 -0.01863727858473673
178 RADIAL 760 1013 1215.8244803695147 380.0 506.5 0.0 0.0
234 RADIAL 1013 760 752.5142857142857 506.5 380.0 0.0 0.0
217 RADIAL 760 1140 814.3954710877476 380.0 570.0 0.0 0.0
452 RADIAL 1351 754 1112.116478365521 675.5 377.0232558139535 0.0 0.0
516 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
373 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
