# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 74
416 RADIAL 760 996 1075.734831199495 380.0 498.0 -0.13141089106431275 0.052235008323765965
234 RADIAL 1013 760 753.3975127138681 506.5 380.0 0.0809111529226967 -0.14627871443604434
355 RADIAL 760 1013 939.972192194008 380.0 506.5 -0.0611296139407706 0.03968344605692139
118 RADIAL 760 1140 1097.8640609296617 380.0 570.0 0.1299527694207433 -0.41490810716938276
233 RADIAL 1140 760 932.8947388684701 570.0 380.0 -0.14720089564337524 0.07594041598384724
464 RADIAL 760 1013 1053.0723161946287 380.00000000000006 506.49999999999994 0.027401267077313923 -0.04153047532451926
178 RADIAL 760 1013 1213.7105917214676 380.0 506.5 0.0055626070568336105 -0.0004006284361531227
181 RADIAL 1153 760 881.0362581319474 576.5 380.0 -0.050400916948690797 -0.03415233292335601
507 RADIAL 1140 760 995.913159287817 570.0 380.0 0.08329081390881328 -0.03558403375965671
395 RADIAL 1013 760 808.833064027992 506.5 380.0 0.11236483287076576 0.013895305561216794
270 RADIAL 1013 767 902.1784248936859 506.5 383.2972972972973 0.04319644831717585 0.08669139741687693
98 RADIAL 766 766 814.303882028066 383.0 383.0 0.13603524305541878 -0.274550129558699
522 RADIAL 1013 760 905.4365517708179 506.5 380.0 -0.1623100710393981 0.07650553188318818
337 RADIAL 1013 760 816.5206784427093 506.5 380.0 -0.04337899603402942 0.009040627675507807
417 RADIAL 760 1052 1157.420391444928 380.0 526.0 -0.18397257762285996 0.24428043047507222
299 RADIAL 1013 767 1160.1372087157959 506.5 383.2972972972973 -0.09873707416528267 -0.09064971590083314
156 RADIAL 1144 760 880.9221602668936 572.0 380.0 -0.013510337064664141 0.004811099648903591
459 RADIAL 1147 760 887.3808498287462 573.5 380.0 -0.08146816897796098 0.0050340432721237525
162 RADIAL 824 774 787.3788696995811 412.0 387.030303030303 0.06496262880550031 -0.07141103537046861
82 RADIAL 1348 752 606.2023318262051 674.0 376.18604651162786 0.0031180108385973175 -0.017498271252137383
101 RADIAL 1013 760 1012.6122549692338 506.5 380.0 -0.13835408684906725 0.051047803483286774
119 RADIAL 760 1140 1142.4262140325973 380.0 570.0 0.14173894598615874 -0.5758618832075231
502 RADIAL 1013 767 799.8670498045229 506.5 383.2972972972973 0.008070159133198956 0.012709578518183802
273 RADIAL 760 1013 751.2192461975553 380.0 506.5 0.07486788343982996 0.002992220812796891
248 RADIAL 760 1140 818.8500678945763 380.0 570.0 -0.0006758943487137141 0.00793277549938016
371 RADIAL 760 1013 790.5762945276679 380.0 506.50000000000006 0.10347698719336833 -0.3807405229311447
503 RADIAL 760 1013 1215.8578484374839 380.0 506.50000000000006 -0.001848431232794839 -0.00010571785982028431
436 RADIAL 1351 754 1060.8837775610643 675.5 377.0232558139535 0.07367327883352405 -0.12391171351240363
23 RADIAL 1140 760 978.6677487068312 570.0 380.0 -0.10593971335019059 -0.45636619682489443
116 RADIAL 1140 760 977.5006526853313 570.0 380.0 0.011459912311290302 0.001088769317712077
31 RADIAL 1149 760 883.8587716778947 574.5 380.0 -0.06266636194350238 -0.008991921156654415
157 RADIAL 1144 760 883.2072721445102 572.0 380.0 0.01575135604445203 0.0017851710754203014
195 RADIAL 760 1351 1413.4000701555915 380.0 675.5 -0.08927546391470774 -0.06766232087106984
524 RADIAL 1013 767 985.7267603737449 506.5 383.2972972972973 0.14311392129267345 0.028764279279959695
489 RADIAL 1144 760 879.1958805242159 572.0 380.0 -0.03252927455606493 0.0178789050495038
505 RADIAL 1013 760 728.6765952048378 506.5 380.0 -0.02170694165047494 -0.071430573814766
380 RADIAL 1013 767 756.5273257952474 506.5 383.2972972972973 0.053701498275995296 -0.057204736665950814
103 RADIAL 760 1013 781.379817339674 380.0 506.5 0.1356865745945131 -0.47148839937731246
364 RADIAL 1348 752 1163.7361120618084 674.0 376.18604651162786 0.018821242241881864 0.41121833810567665
213 RADIAL 760 921 1240.1305815893093 380.0 460.5 -0.04937567739868287 -0.37460751755008437
158 RADIAL 1275 760 890.0268976306629 637.5 380.0 0.042215191730266985 0.014468696304703888
29 RADIAL 1013 760 712.1903147018243 506.5 380.0 0.06543169385717239 -0.059578337926614156
197 RADIAL 1140 760 1008.0836198837272 570.0 380.0 -0.1360664065667106 0.08677565886899415
492 RADIAL 1140 760 932.1092004998529 570.0 380.0 -0.21029631113843392 0.1772198524105554
108 RADIAL 760 1013 1217.8126232252512 380.0 506.5 -0.08365534723625688 -0.016691088481013572
306 RADIAL 1152 768 1013.2204418126786 576.0 384.0 -0.013871851974582919 0.030861145838145705
193 RADIAL 1351 760 1410.4104671692883 675.5 380.0 -0.03988769259359631 -0.41939082609663364
196 RADIAL 1140 760 1005.1902695532085 570.0 380.0 -0.13335357332807823 0.07685061330614773
198 RADIAL 1140 760 1007.6605645898694 570.0 380.0 -0.13856915131786385 0.08869842957972716
199 RADIAL 1140 760 884.9293403613112 570.0 380.0 -0.015243851800390302 0.02038093729314159
