# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 101
162 RADIAL 824 774 792.1868103044333 412.0 387.030303030303 0.06364789728144161 -0.06279883913815215
98 RADIAL 766 766 814.3209961550027 383.0 383.0 0.1380267635406109 -0.279939510212412
355 RADIAL 760 1013 940.1318388338575 380.0 506.5 -0.059121318987312765 0.03289996188093763
459 RADIAL 1147 760 890.1069768378336 573.5 380.0 -0.08240794430382058 0.0005947620345616239
371 RADIAL 760 1013 789.3141048328986 380.0 506.50000000000006 0.1240213517305888 -0.4504090830127978
119 RADIAL 760 1140 1147.7099615449458 380.0 570.0 0.1347435209574125 -0.5685040564634145
181 RADIAL 1153 760 884.3474729606585 576.5 380.0 -0.0641457052845312 0.028954350052291543
118 RADIAL 760 1140 1104.7295098463692 380.0 570.0 0.12691312149557302 -0.42189036092643306
502 RADIAL 1013 767 804.0015132577386 506.5 383.2972972972973 0.010669449017935892 0.009573089408488887
507 RADIAL 1140 760 997.22877079084 570.0 380.0 0.08615294479679099 -0.04400358898888404
395 RADIAL 1013 760 809.6688076176774 506.5 380.0 0.132650321492771 0.018235589957203466
139 RADIAL 1013 760 835.4148961478758 506.5 380.0 0.06743786330449793 -0.13432864729795185
273 RADIAL 760 1013 749.7387918079935 380.0 506.5 0.05264501282556011 -0.09923880002392128
155 RADIAL 1013 760 699.5626799485124 506.5 380.0 0.0900573071794967 -0.06193453910103627
29 RADIAL 1013 760 734.7737191836279 506.5 380.0 -0.013012500345927262 -0.019580333291624202
416 RADIAL 760 996 1086.7069555325768 380.0 498.0 -0.14597605153716664 0.10469803651245183
304 RADIAL 1151 767 544.2391900131413 575.5 383.6666666666667 -0.15845113532695695 0.21443287190275734
453 RADIAL 1140 760 919.8449658135894 570.0 380.0 -0.12117616214601373 -0.03151046705063633
464 RADIAL 760 1013 1069.3425782604002 380.00000000000006 506.49999999999994 0.015396129890202474 -0.06059761904821112
82 RADIAL 1348 752 607.2077617302945 674.0 376.18604651162786 -0.011442366904647542 -0.008063953153491902
