# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 14447, mean track length: 4.29
0 -0.1167180124379192 0.04847457601655565 0.9788550249510197 93 68 47 0.45
1 -0.1241443947095007 0.08496193682947907 0.980105109680753 77 48 29 0.14
2 -0.1899700792256066 0.1479435804727302 1.057098363033666 64 32 26 0.36
3 -0.1912266623634773 0.1515549194233788 1.057084031907173 156 126 103 0.35
4 -0.1690615035161127 0.1370262627313689 1.031582914848802 166 120 79 0.47
5 -0.178207408169347 0.1933851804107378 1.029782920342046 123 95 68 0.94
6 -0.1690838754278591 0.19457220087776 1.00678660117829 61 34 20 1.01
7 -0.1803788891207928 0.2072431707087144 1.027817490140194 93 59 41 0.55
8 -0.1814228520025119 0.2174855818477725 1.025046734592927 50 23 15 0.36
9 -0.1824346697840195 0.2226410492859609 1.023688956381463 153 122 96 0.32
10 -0.2002315994074349 0.2298640540810221 1.038920228735962 137 105 82 0.22
11 -0.1342966906245375 0.07515964152941675 1.000536760033239 112 85 64 0.49
12 -0.1149316868658808 0.1182013707313381 0.9550492360921684 82 52 35 0.45
13 -0.1896205226964589 0.1485836792451406 1.055258975744821 162 123 87 0.41
14 -0.1154484326749327 0.1278140399620011 0.9527395631804391 88 46 32 0.73
15 -0.1817979810621037 0.2215545811659759 1.024585235212587 44 24 15 0.38
16 -0.1940104129999666 0.2631896844334605 0.9644871650840634 152 140 126 1.2
17 -0.1874947310615492 0.1455708641733941 1.054261372942546 107 58 43 0.55
18 -0.1893416425695808 0.1462682812412551 1.055701300855045 155 115 79 0.56
19 -0.1747221862696949 0.1944102888370355 1.023666774374192 113 72 42 0.71
20 -0.1830788609846348 0.2194311441232585 1.023577256258538 129 91 61 0.52
21 -0.2027698871204408 0.2505552181484418 1.031899726500395 141 118 98 0.84
22 -0.1186216953405296 0.1126131712340289 0.9626672246448698 121 87 65 0.38
23 -0.1954290585229644 0.1478859208904478 1.063844247634818 159 115 81 0.81
24 -0.1941953623737762 0.2109748653630289 1.03959185170353 139 103 74 0.43
25 -0.1798060303819616 0.2339954742210562 1.014353365420576 94 56 37 0.34
