# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 41
385 RADIAL 1013 760 894.7256980088334 506.5 380.0 -0.026840004760618152 -0.0010716416140629952
282 RADIAL 1013 760 1018.1261253278705 506.5 380.0 -0.16998656330689677 0.06792775990566369
349 RADIAL 760 1351 1086.3005571055814 380.00000000000006 675.5 0.011188843449400156 -0.061885992038595884
398 RADIAL 760 1013 1138.216359350427 380.0 506.5 -0.12285425153669376 -0.011048386599823478
388 RADIAL 1013 760 991.8595154312978 506.50000000000006 380.0 -0.1675849245259661 0.15824387201702497
332 RADIAL 1144 760 891.2231601937649 572.0 380.0 -0.1524025270866205 0.12543241106908884
505 RADIAL 1013 760 738.0006887313497 506.5 380.0 -0.01696479363452655 0.020632242725743294
495 RADIAL 1351 754 1067.2081283565701 675.5 377.0232558139535 0.027498740976935405 -0.028152014011940084
54 RADIAL 1329 759 891.0036619554005 664.5 379.7142857142857 -0.8104977680385906 1.87792506405592
344 RADIAL 1013 767 1011.2773934922919 506.5 383.2972972972973 -0.07378000085079162 0.1781613294710324
489 RADIAL 1144 760 877.996569996945 572.0 380.0 -0.014536780217376463 0.006992979964042803
290 RADIAL 1140 760 940.4328033298038 570.0 380.0 -0.14050990015887505 0.09858958420087986
517 RADIAL 760 1013 591.8330806931831 380.0 506.5 -1.212113263999314 0.5282949106325234
238 RADIAL 1013 760 752.0913640462724 506.5 380.0 0.042182682980969166 -0.03585141800086298
466 RADIAL 760 1013 1072.6187961348717 380.00000000000006 506.49999999999994 0.08205721863018728 -0.4430508497082375
279 RADIAL 760 1013 771.9888487310709 380.00000000000006 506.49999999999994 0.1015606972031215 -0.3120490140586081
28 RADIAL 1140 760 916.8568937005546 570.0 380.0 0.0018598956291753584 -0.1781585753313619
453 RADIAL 1140 760 938.2796482644602 570.0 380.0 -0.17197233853984897 0.15750493101441
502 RADIAL 1013 767 845.5262732351717 506.5 383.2972972972973 -0.033435345316183314 0.1342061862770109
410 RADIAL 1013 767 808.0313235469423 506.5 383.2972972972973 -0.3654941442548881 1.6754526830066099
459 RADIAL 1147 760 887.6622049691059 573.5 380.0 -0.10152551270262299 0.04195090328436102
522 RADIAL 1013 760 898.1847502454328 506.5 380.0 0.16538471700220347 0.033680176814807644
253 RADIAL 760 1140 913.8930363137634 380.0 570.0 -0.17036011319477193 -0.036849340251443666
158 RADIAL 1275 760 898.223188417065 637.5 380.0 -0.09508455003572268 0.0741629640616892
270 RADIAL 1013 767 949.4022753913464 506.5 383.2972972972973 0.1143598083440711 -0.13158921852276145
462 RADIAL 760 1140 898.4840231684705 380.0 570.0 -0.05159952616010537 -0.06388416805673287
416 RADIAL 760 996 1102.6391921035786 380.0 498.0 -0.14369404224013654 0.04497577912142853
395 RADIAL 1013 760 804.820747993879 506.5 380.0 0.20097196882838775 -0.5899292618556266
235 RADIAL 1013 760 766.252749834207 506.5 380.0 3.5016526600593214e-05 -0.07583314762637271
292 RADIAL 1107 760 857.182476099498 553.5 380.0 1.3764508419185193 -4.941927861634798
273 RADIAL 760 1013 756.2895577526119 380.0 506.5 0.0357827251325099 -0.1343311164347264
464 RADIAL 760 1013 1053.7218982093773 380.00000000000006 506.49999999999994 0.07874888920081695 -0.37415303986523796
475 RADIAL 1013 767 1171.4520868896545 506.5 383.2972972972973 -0.12068385977888929 -0.012655238146788927
252 RADIAL 760 1140 815.2972699661823 380.0 570.0 0.5770822252194754 0.18385045429115382
403 RADIAL 760 1013 2220.7319649209458 380.00000000000006 506.49999999999994 -0.013018889123054761 -0.0005444270890289761
304 RADIAL 1151 767 550.810096342302 575.5 383.6666666666667 -0.06197912005195752 0.11458244663068098
368 RADIAL 760 760 608.897792159934 380.0 380.0 0.22995754013068095 -0.8823981931056764
289 RADIAL 1140 760 954.5907016419162 570.0 380.0 -0.08347663565348919 -0.07461139118320897
357 RADIAL 760 1013 1215.9268615381886 380.0 506.5 -0.0205904073487522 -0.0011287816256286085
373 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
518 RADIAL 760 1011 1213.4876033057851 380.0 505.5 0.0 0.0
