# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 3169, mean track length: 4.25
0 -0.1210537137985823 -0.2372602093268694 1.11671960077081 88 80 75 1.03
1 -0.1178369421582547 -0.2013709930476262 1.120386776938587 221 168 95 2.01
2 -0.1178118003227503 -0.1505916818346748 1.152005918677459 136 112 82 1.74
3 -0.123821803151252 -0.1679917656671875 1.127127427351395 63 43 28 1.85
4 -0.1516534991050761 -0.1352485657025582 1.106615188073941 99 65 43 1.77
5 -0.1372418608715307 -0.1420551898586135 1.105078199871744 70 42 25 1.09
6 -0.1065493408668973 -0.1023840696100793 1.167006422120248 167 136 110 1.11
7 -0.123919618732809 -0.118757841878647 1.152721418049147 211 142 85 0.9
8 -0.1433260429320318 -0.1251725170898227 1.104940503118866 90 63 47 0.58
9 -0.09045215731282041 -0.186293697066052 1.063296292858734 180 217 238 1.68
10 -0.146301273986757 -0.09803936974649174 1.133070237992875 198 152 88 0.89
11 -0.1372991297468017 -0.1006424551069447 1.065050534990366 83 44 25 1.21
12 -0.1269938360617429 -0.1081002804530943 1.058502815349721 121 103 86 1.16
13 -0.1059722691533782 -0.1211781450916277 1.040115407465495 128 103 83 1.26
14 -0.1436273692925284 -0.08769964024294452 1.074219129293552 81 43 25 1.84
15 -0.1185543638040544 -0.0978696274293071 1.021765295959106 140 114 92 1.57
16 -0.1362996915992163 -0.006587695664528548 1.158950925998037 109 71 36 1.38
17 -0.1644097706713322 -0.01240663504397821 1.124379845287054 162 137 106 0.2
18 -0.1736025082660572 -0.00415976297582954 1.11949063040566 233 175 118 0.72
19 -0.04352604144755978 0.003277442606293313 1.17342157996312 249 194 97 1.9
20 -0.1705654630148173 0.004854451482720956 1.12507936935942 175 131 89 0.71
21 -0.1839609715569692 -0.008610052141160007 1.080756643243975 97 56 28 1.15
22 -0.1753144767406823 -0.01163612094952854 1.080305861961257 79 48 27 0.51
23 -0.17728467423713 -0.002362601038877921 1.06959564625175 87 72 62 0.16
24 -0.1450950091882494 -0.03518785176331091 1.048029601491942 122 76 39 0.51
25 -0.2157450370539983 0.1387733287741411 1.082573748926576 68 30 16 0.41
26 -0.1744883880464976 0.03703020575630253 1.121084008879562 204 164 112 0.93
27 -0.1860854206175393 0.02046071582120776 1.068637171843247 64 34 22 0.28
28 -0.1729154813334193 0.002718936384011272 1.052063705539484 81 53 38 1.11
29 -0.1603965155847761 -0.0004955021033628271 1.047087280844971 105 79 59 1.09
30 -0.1786856518628498 0.05875557571655862 1.12102777067377 188 145 98 1.26
31 -0.1797763600455722 0.05156613663856507 1.116489155013575 94 54 34 0.65
32 -0.1856698625036263 0.04989707794976778 1.103911356479531 158 116 76 0.74
33 -0.1814102861770944 0.02200305796337124 1.060597344121282 183 142 102 1.17
34 -0.1785391110719162 0.0210758825054797 1.0539977662839 151 122 92 0.83
35 -0.1832663314698705 0.0402034365353586 1.051596708781494 148 104 68 0.9
36 -0.1575265027442488 0.02564617334699054 1.010648814602584 96 66 45 1.28
37 -0.1213948784103178 -0.008754473692498987 0.9737890282189009 136 86 52 1.04
38 -0.1137490419502869 -0.008232295116348931 0.9630769640487811 117 73 48 1.12
39 -0.513072171617411 0.1817442624624343 1.199845019324058 140 134 116 1.7
40 -0.1624224829078303 0.09693686706047788 1.147709256661198 103 80 57 0.71
41 -0.2148723581380493 0.08471114172098387 1.093473649241612 160 128 90 1.08
42 -0.2191275218028801 0.08360876870185394 1.090332298338502 165 133 97 1.15
43 -0.1626943656505796 0.02936940903977914 0.9965135056258043 62 50 39 0.84
44 -0.1203259838238802 0.02592832436814174 0.952145971390799 124 71 33 1.22
45 -0.1142898743116392 0.007336438809045498 0.9502410762405959 113 65 33 0.76
46 -0.1134787204791624 0.007055383559159384 0.9501077253582613 97 59 36 0.69
47 -0.06570608608350526 -0.00455037747394349 0.9260305802833325 181 195 208 0.71
48 -0.4799701984797414 0.1962742503507121 1.218000302015803 96 78 55 1.97
49 -0.4799701984797414 0.1962742503507121 1.218000302015803 96 78 55 1.97
50 -0.09590760811557808 0.1224410542453315 1.18562676036858 102 78 61 0.38
51 -0.2112912140914512 0.08356081650072891 1.070759261589756 103 71 50 1.0
52 -0.05273829815928155 0.004674234300017732 0.9015578205910514 116 73 41 0.93
53 -0.1199237643333214 0.1298223207945605 1.175095672742012 223 190 150 1.23
54 -0.2270805061500628 0.1222938199061054 1.08502574201353 169 118 74 1.85
55 -0.2069704582510482 0.1083983254094418 1.056845762643982 108 73 46 0.96
56 -0.05294779036735731 0.0150826693525086 0.8915395599059477 145 109 84 1.11
57 -0.1387295535590147 0.1488093021521076 1.162289551423203 123 101 88 0.75
58 -0.1608258560593713 0.1368253539015717 1.13137608655735 83 55 41 0.62
59 -0.1574369265312873 0.1441748454749899 1.138915382786637 192 142 95 0.88
60 -0.1763856432805572 0.1411637885475289 1.11752284828476 188 128 68 1.86
61 -0.2119495369012465 0.1270731154835159 1.093710490866707 138 78 39 0.36
62 -0.197247449390252 0.132613995096996 1.09507038373484 195 139 81 0.38
63 -0.1959996551454791 0.1356799347913651 1.09449675736831 172 142 116 0.48
64 -0.2268383731397586 0.1191419171630822 1.070701369776941 60 41 31 1.22
65 -0.2227848389318839 0.1210686779602918 1.064886493933404 86 54 41 0.73
66 -0.2034324370767079 0.1150771609346544 1.038774354011107 41 20 13 0.32
67 -0.2020251279766512 0.1133155180946248 1.031664926865628 47 34 29 0.91
68 -0.190099621261362 0.1104991353337617 1.020055228993505 57 41 29 0.63
69 -0.1919931310180687 0.1112298082458089 1.020070791300749 43 25 18 0.85
70 -0.488607253965368 0.2131475159202976 1.199225654746043 161 121 64 1.86
71 -0.4935908695879034 0.2124267079845838 1.193595715334834 93 51 29 1.92
72 -0.09360521509019404 0.1688716035874092 1.182265289815477 189 143 98 0.67
73 -0.1480671367120229 0.1616866921819955 1.141164031693427 152 100 62 0.88
74 -0.1621097635371225 0.1518200551676132 1.133322544547549 177 109 51 0.46
75 -0.1594715383630839 0.1586664909910031 1.133858758509009 170 94 72 0.61
76 -0.1745106392982573 0.1515001153357096 1.115344260461049 203 152 108 0.49
77 -0.1770052362210031 0.1595244162720692 1.113460420562506 188 168 134 0.6
78 -0.1974248484398229 0.1401177717012674 1.093377792746132 189 161 116 0.45
79 -0.2036318727756472 0.1311994502738221 1.042889740510619 107 81 65 0.54
80 -0.2118921843436754 0.1380690305833146 1.047345370991263 121 82 53 0.74
81 -0.2014111026426895 0.1191143952848176 1.034284333814291 130 102 78 0.62
82 -0.1965522808873346 0.1312506297241944 1.027393336338089 128 59 26 1.16
83 -0.1809012536692204 0.1065567167554482 1.003058490285965 101 78 64 0.59
84 -0.1663353287586306 0.0960294166932982 0.9798360673194589 77 63 61 0.84
85 -0.179305025315729 0.1078034988174276 0.9809076333844602 63 38 26 1.1
86 -0.1578304855881678 0.1009910096224277 0.963292882030377 38 26 26 1.06
87 -0.1651473894749729 0.1068238630504925 0.967020309815057 105 74 56 0.79
88 -0.1550245749357644 0.09913140487265093 0.9516837588301716 46 26 20 1.58
89 -0.1454823807265316 0.09781761553747853 0.9470696836638735 35 26 29 1.43
90 -0.1493339250957548 0.09532683013153986 0.9472269893069606 94 73 56 2.0
91 -0.1073215032239251 0.1807663880935656 1.172948135097524 226 179 123 0.84
92 -0.165526469905691 0.1686476647848829 1.127666658776552 53 25 14 0.41
93 -0.1950916048161987 0.1691819467013449 1.099079481092805 127 105 83 0.57
94 -0.1937695744749838 0.1703851715433056 1.098964221504281 58 31 16 0.74
95 -0.2241052053335937 0.15731054505262 1.072339196194269 165 124 82 0.92
96 -0.2236007162582927 0.1595807438643619 1.072100354890799 100 64 40 0.77
97 -0.2215231934071847 0.1494188951876615 1.052565106308137 122 81 58 1.94
98 -0.2298761167929058 0.1599574839807817 1.060327702445488 171 117 84 1.08
99 -0.2170498381158628 0.1470156597790459 1.044865281523516 133 68 29 0.92
100 -0.1734655395110746 0.1314624198024506 1.002084573538581 114 86 70 1.01
101 -0.1359141824760439 0.09096901684436307 0.9203312951054247 97 76 57 0.73
102 -0.1779562032177975 0.09878008319521409 0.9114740309869132 165 103 45 2.02
103 -0.1015732348486358 0.07883678967081764 0.8815198010087963 153 85 41 0.4
104 -0.1000440203863561 0.08230977134846809 0.8830324656807056 127 75 37 0.89
105 -0.1217026212958574 0.1081613647712474 0.9186195324565838 145 84 50 1.07
106 -0.4859634679582098 0.2391508618872024 1.192121234515163 93 69 52 1.4
107 -0.483099971446356 0.2141138508482175 1.119968314465955 185 160 138 2.06
108 -0.2145786278629297 0.174298492561832 1.041211544980481 29 16 16 0.59
109 -0.1943285352881212 0.1660279342282091 1.003699361864373 69 39 20 1.03
110 -0.2028989311116656 0.1520009828432283 0.937592785459987 84 46 19 1.74
111 -0.07745958149669918 0.1114494436616566 0.8192878244919592 57 30 21 1.0
112 -0.4840878786209575 0.2415683314176794 1.196313775409814 115 84 56 1.12
113 -0.4774647103408938 0.2375750432646198 1.176352375979268 84 69 54 2.16
114 -0.4887172842973603 0.2407685395651063 1.173266209555816 51 26 13 1.42
115 -0.4526880755315782 0.2270559786707388 1.136402089195186 72 46 25 0.94
116 -0.4612258984592772 0.2205704202558819 1.111401435896463 96 74 51 2.15
117 -0.2180203709475892 0.1999687807470475 1.032875530729739 156 113 83 1.32
118 -0.2048153150630928 0.1883581823002123 1.028301583043938 112 79 52 0.63
119 -0.1525409031691971 0.1554605767371773 0.9305670947852894 86 45 19 1.3
120 -0.1143257654859854 0.1507527348368182 0.8844228757578383 49 32 28 0.94
121 -0.4283828014732063 0.2341508765200902 1.138913644193754 69 41 21 0.58
122 -0.2135493318102513 0.186891779009001 0.961488543285985 122 90 76 0.38
123 -0.1247865827009067 0.1582500972889108 0.8892783867253919 94 66 49 1.19
124 -0.05192750648934819 0.128720920473574 0.7941492989135799 109 70 49 1.31
125 -0.02872430533766412 0.1214086049387717 0.7589763265779311 127 87 56 1.67
126 -0.01366011708352965 0.1194169034552404 0.7307362199337868 142 96 62 1.54
127 -0.4892584243132551 0.2629867584759543 1.167481014658416 95 74 55 0.99
128 -0.4584822389945913 0.2616218861717641 1.150925225698832 95 84 65 2.03
129 -0.4189096950098559 0.2485961321595701 1.108932070365231 112 77 50 1.19
130 -0.4157760854173904 0.2422154048363398 1.077700371818419 210 173 112 0.86
131 -0.2589509784379417 0.1869426292343641 0.8531399068771819 109 64 33 0.61
132 -0.2674567696012468 0.1835118951384281 0.8291300919826575 138 87 44 1.29
133 -0.2745093216165457 0.189328309190145 0.8363467122575041 129 89 54 2.02
134 -0.4767360703172054 0.269211056269229 1.166469777402628 97 79 62 1.07
135 -0.410633631483221 0.2655943842806593 1.123908939882236 74 51 35 1.06
136 -0.4092981891781325 0.2760727383888245 1.118572377904586 67 46 33 1.97
137 -0.4260825995633422 0.2670331371009632 1.113072511610617 58 43 36 1.13
138 -0.4339816905953097 0.2700240531757644 1.113880978779361 117 90 61 0.53
139 -0.09834366617964707 -0.214534254796047 1.173230580932923 110 89 71 1.72
140 -0.1083204863834217 -0.2061696280078845 1.156678612555955 58 44 37 1.53
141 -0.1216978155115555 -0.2223235972835577 1.126553873674223 204 193 176 0.54
142 -0.1226560390573833 -0.2082807999862301 1.121009027702381 44 42 48 2.11
143 -0.1235893662081704 -0.2330181065698925 1.123015167356525 92 80 65 0.54
144 -0.102429237567718 -0.1877658103561202 1.160031964363952 179 163 145 1.13
145 -0.1189208667248635 -0.1744394239721514 1.156432709593726 104 76 53 1.6
146 -0.1236583660449921 -0.1807290034625616 1.147631559686451 167 147 115 1.39
147 -0.140229201201972 -0.1937929143219648 1.105542965836629 166 195 223 0.9
148 -0.1034396689787211 -0.1576955292556123 1.178778769787127 160 148 146 1.51
149 -0.109011354261306 -0.1660977240934682 1.16190466273599 200 173 136 1.43
150 -0.231694172103957 -0.1024889329844768 1.15941661130197 148 114 53 1.89
151 -0.1159741801480293 -0.1521882613970762 1.155424955281502 178 143 89 1.43
152 -0.1189088770069676 -0.1574880681842807 1.149831521623201 165 132 85 1.82
153 -0.128335133489494 -0.1717198541164492 1.111521233707798 164 138 104 2.06
154 -0.1171314694960035 -0.1950388874029005 1.110534247657147 155 150 147 0.67
155 -0.1287092856558198 -0.1337604500811427 1.1447562160353 92 61 39 0.97
156 -0.1270382731302315 -0.1304791338993579 1.146727135089203 195 171 139 0.69
157 -0.1596834920472485 -0.1199368302695743 1.142124489832094 201 130 85 2.17
158 -0.1370454987076776 -0.1323205817217579 1.138746105115147 176 135 99 1.22
159 -0.1150409895242454 -0.1814872101287091 1.10860016783462 155 139 118 1.9
160 -0.1561882626340488 -0.1503186744002518 1.111656741871413 168 131 93 1.87
161 -0.1260744011460394 -0.1629856621683612 1.109094677485711 111 72 44 1.97
162 -0.1271912947659042 -0.1615519343643414 1.108859228967545 124 83 53 1.74
163 -0.1361104235243964 -0.153684225775794 1.10486567038868 116 103 92 1.14
164 -0.112177576680754 -0.1700559256549415 1.089174446476859 115 84 66 1.48
165 -0.1277927441822565 -0.1697252655675907 1.084245288616832 117 91 76 1.23
166 -0.09588849930586207 -0.1245106938416982 1.174705905240096 213 151 85 1.23
167 -0.1168176377432969 -0.1105945869316464 1.157858510659535 60 40 29 0.83
168 -0.1150292853131781 -0.1118502916657907 1.157845541943627 84 56 41 0.74
169 -0.1479862151648691 -0.126550429151217 1.116067667807075 107 67 44 1.44
170 -0.1555177360944284 -0.1034862401108181 1.12363406847428 198 119 56 1.07
171 -0.1595006523602508 -0.1029007232121426 1.119453777580242 81 38 11 0.68
172 -0.1576610058751151 -0.1062125212514696 1.120952605089042 168 130 86 1.05
173 -0.1415861777910726 -0.1380768200997271 1.102140671712001 153 115 76 1.87
174 -0.1489288539051054 -0.1200818490061307 1.101664603385573 126 94 59 1.15
175 -0.1281679494420801 -0.1465928405187776 1.084445888770829 110 82 56 1.45
176 -0.07582299696475758 -0.1769750687811387 1.081829468090442 96 66 52 1.68
177 -0.06724430712482643 -0.08665175590709551 1.193922594772656 155 156 149 1.62
178 -0.07817718327952028 -0.08129747576618235 1.194304947806528 163 163 149 1.16
179 -0.08201497638805266 -0.09772032156720273 1.188599529852061 136 102 60 1.18
180 -0.08143498172820784 -0.08834572391725576 1.183852039590439 181 150 120 0.75
181 -0.1015897206070249 -0.07757575797353089 1.175525833299809 162 110 74 0.52
182 -0.09746113739254791 -0.08722940927860201 1.16807967735221 186 132 83 1.3
183 -0.1397167822062084 -0.0945427339211139 1.141140092385812 189 132 84 0.57
184 -0.1588245193916817 -0.08862107670037989 1.111493810932832 62 32 19 0.65
185 -0.1506614745581369 -0.1052610896479168 1.09255329377131 110 87 73 1.82
186 -0.1011896545821087 -0.1292761392565671 1.08538387010756 93 59 31 1.55
187 -0.1152735889628935 -0.147290070596186 1.064070994096587 123 70 40 2.55
188 -0.08447467528648023 -0.06682189362144891 1.185694090415401 169 137 108 0.74
189 -0.2243785208928183 -0.01363839713498877 1.173807859275981 172 120 54 1.74
190 -0.08592765147142123 -0.06528953608660226 1.18071101970397 113 81 44 1.38
191 -0.09008085701258339 -0.07672003982972186 1.182550959073145 172 144 109 1.05
192 -0.1393314140406757 -0.0781026406195432 1.139467197306363 170 127 92 0.87
193 -0.1352525097592399 -0.06654435339270365 1.145190967421031 198 160 112 0.54
194 -0.1471839205163719 -0.06549116085731982 1.131916908324755 76 51 33 0.55
195 -0.1606538495173334 -0.06562406254710895 1.124363380882308 185 156 131 0.66
196 -0.1679478119323007 -0.06316371069739429 1.124521718143804 172 143 115 1.28
197 -0.166834542819038 -0.07687409895795833 1.111959520700487 69 32 14 0.3
198 -0.1279401693444858 -0.1134251647278813 1.071248443180234 67 43 29 1.42
199 -0.1299570199111059 -0.1029803069686962 1.076835786570049 92 58 40 1.07
200 -0.1321738697629739 -0.1042561787089638 1.069220302285358 125 79 51 1.19
201 -0.1364097392790363 -0.1025485520647083 1.069916916245597 139 85 40 0.99
202 -0.123195319875808 -0.1125240707392648 1.055554057695411 118 71 46 1.39
203 -0.087543321948365 -0.03252007833956833 1.194598131809822 162 129 72 1.14
204 -0.08714357114817395 -0.03265589065224189 1.194801848944988 134 108 66 1.04
205 -0.08735100371038196 -0.04509057470662914 1.188258680179743 187 154 107 0.88
206 -0.1673712743329538 -0.0471562806806563 1.133717815200169 212 156 105 1.8
207 -0.1573562925524802 -0.05004399990405428 1.127608664768124 188 129 68 0.68
208 -0.1791989247885885 -0.05163992004565943 1.110476766424261 102 62 36 0.89
209 -0.1637081811178175 -0.06766956064251095 1.099091562554046 231 188 126 0.66
210 -0.167372820965129 -0.05338957614320844 1.095825670160786 183 136 97 0.86
211 -0.1568128342424184 -0.06567430691206233 1.072118146605166 75 46 31 0.72
212 -0.1163466108920909 -0.1096891815987427 1.039851412176897 150 116 84 1.58
213 -0.1144997964891631 -0.0973634597310471 1.033161583244283 89 59 38 0.78
214 -0.07616541691653955 -0.01947208034169434 1.203192363670636 191 181 170 1.36
215 -0.0740204829253488 -0.02019669499081772 1.203291652161737 156 134 122 1.26
216 -0.1098011765060879 -0.01827261846979134 1.182964077916713 87 64 51 0.81
217 -0.0987036327245272 -0.02211616496938806 1.182787394333414 86 61 39 0.98
218 -0.1563984373877092 -0.02864613478810901 1.136905786639223 178 138 81 0.95
219 -0.1559397962667133 -0.05823965537322801 1.071942146686905 82 49 32 1.35
220 -0.1552174468228117 -0.06086291823482837 1.068530837544361 133 105 80 0.86
221 -0.148935090357338 -0.07177306918202486 1.059331841687362 105 86 77 1.34
222 -0.107016150045549 -0.09867644744899906 1.027410375202007 167 126 85 1.61
223 -0.107016150045549 -0.09867644744899906 1.027410375202007 167 126 85 1.61
224 -0.08812423798133595 0.005615762335211189 1.195087603144281 95 67 43 0.96
225 -0.09088703312980539 0.006234025611990268 1.194938068970336 106 75 46 1.09
226 -0.1062120788712011 -0.0005994586262904888 1.180510695006136 107 74 49 1.04
227 -0.08440323118290438 -0.007739786263099457 1.181378338675972 107 69 43 1.24
228 -0.1712987427474557 0.002438830500313988 1.123420531294657 89 58 32 0.84
229 -0.1894509592167279 -0.004400958807466993 1.10128607632036 211 176 125 0.42
230 -0.1732988894457118 -0.02515673670253882 1.091416453582156 112 59 26 1.07
231 -0.1734036776636552 -0.02838018762049316 1.080862334161629 111 94 79 1.03
232 -0.1723785938958473 -0.02049839368113399 1.070023092666622 136 107 78 0.69
233 -0.1531703856188396 -0.04743471333832805 1.059512856617663 182 126 66 1.28
234 -0.1611249706243875 -0.03976865781805522 1.055544303245328 136 119 99 0.82
235 -0.1431962288648282 -0.05566045678767206 1.030031264336233 68 36 22 0.87
236 -0.1307449131784449 -0.07140219975415352 1.024662907190627 133 97 72 1.12
237 -0.1146699073665283 -0.07758553726288347 1.007077814351074 177 136 106 1.78
238 -0.1230729121374472 -0.06195357796951084 1.015408480218633 94 56 35 1.03
239 -0.1308751672774678 -0.05886376266712184 1.016649989514836 107 60 30 1.18
240 -0.1165419206472532 -0.07121566210859775 1.004943519529243 181 123 76 1.64
241 -0.1427563851498054 0.008179479668613543 1.152507599071244 199 156 101 1.0
242 -0.1606256229468335 0.0116284871516262 1.126960464728454 150 99 49 0.81
243 -0.1437280787686196 0.00325823066685299 1.120316559819437 126 98 66 1.29
244 -0.1672725985743493 0.01313872667494187 1.123629014849358 147 105 60 1.01
245 -0.1850734693864985 0.009085172811168468 1.099503452045156 218 181 136 1.33
246 -0.1906725152400773 0.009887963372531672 1.10017875186043 225 180 108 1.06
247 -0.1836092651331448 -0.007648665021176337 1.08517751392206 179 152 123 0.33
248 -0.1651823274277902 -0.01710176520304824 1.050041406517771 166 116 54 0.64
249 -0.1529723544476632 -0.03317040208819677 1.03439122516007 100 58 33 0.57
250 -0.1161721330174023 -0.06110619524081229 1.008324064818064 180 126 78 1.0
251 -0.1211827806786349 -0.05309981123613483 1.009198629073567 171 109 62 0.86
252 -0.09790828699235421 -0.07365385186048035 0.9875959202561509 179 191 203 1.62
253 -0.1754775023875846 -0.0004928765780270461 1.066699454992833 156 116 71 1.17
254 -0.1540609631278682 -0.01393997517370432 1.017710109038108 127 103 82 1.1
255 -0.1122578700794837 -0.04624672530274243 0.9953423882870213 64 39 23 0.81
256 -0.1449141537123824 0.06192304524290521 1.168410761757961 200 165 111 0.89
257 -0.1530041604633002 0.0630479447256492 1.14257051361553 158 129 98 0.73
258 -0.1628373293713838 0.05178015894770668 1.134263179970841 113 78 51 0.9
259 -0.1918197415500975 0.04328377148554485 1.096312191349113 107 67 29 0.88
260 -0.2004077033854635 0.04184940017868385 1.083069581237304 104 59 33 0.97
261 -0.2007091184859675 0.04895658374635034 1.084825252231878 162 123 94 0.91
262 -0.1929283394880448 0.04452518291998617 1.081438851084282 75 42 26 1.11
263 -0.1912976699265645 0.04238638740812717 1.074203529400685 112 84 55 0.94
264 -0.1154060869608149 -0.02185281541161799 0.9773263015906559 80 46 26 0.8
265 -0.09342355278451864 0.07853370940914997 1.193304227312108 157 125 95 0.84
266 -0.1616917898580471 0.07395402016024683 1.16138046869329 118 65 39 1.08
267 -0.1450451614094891 0.06255887217061246 1.145264079855309 125 94 69 1.11
268 -0.1566484894060202 0.0690225941919976 1.143001379708159 185 126 59 1.63
269 -0.1850718164934702 0.03455105350746282 1.049722289444648 171 125 78 0.92
270 -0.2007515320159841 0.03688489608419246 1.051082743892314 60 41 30 0.41
271 -0.1714415320510519 0.0293195692006562 1.037214849114078 196 146 66 1.24
272 -0.1712684272384667 0.03313413671685264 1.028743234167262 91 54 27 0.95
273 -0.1735539967834465 0.03857444762862317 1.028230341924505 70 41 34 0.9
274 -0.1597147493270903 0.0245222963327032 1.007170544466904 178 139 95 1.37
275 -0.1115220701880992 -0.008840592709135064 0.9685506748536397 119 65 33 0.79
276 -0.1153245304238871 -0.004978830586619687 0.9646415155048448 121 82 53 1.46
277 -0.4759925989275374 0.1899359303887002 1.222098262995132 62 37 23 0.72
278 -0.483463006825585 0.1792530017527587 1.209302130093827 104 93 80 0.59
279 -0.1424077280532907 0.0977341552228442 1.174732261910619 185 134 68 1.38
280 -0.1210890316512646 0.1014147475489737 1.182264541457289 201 171 134 1.43
281 -0.1348123447278844 0.1071276263454841 1.173744459257177 86 60 45 1.64
282 -0.1547561126966178 0.1027363571155985 1.168503252030967 222 202 153 1.43
283 -0.1563940563980043 0.09152661179298172 1.14885544134626 229 192 140 0.95
284 -0.1625781693277843 0.08111987973620682 1.133730646391374 150 108 56 1.72
285 -0.1734051785164421 0.09330362190315319 1.130826419374106 183 146 108 0.55
286 -0.1906287405840066 0.08848152710842319 1.116355834904667 173 131 84 1.23
287 -0.2048001221517673 0.08102323356023758 1.099000159352915 214 175 124 1.08
288 -0.2024703543661087 0.08045863255137123 1.098707443048575 218 180 129 1.11
289 -0.2075554846750091 0.06336074980429077 1.069508551667356 134 98 70 0.73
290 -0.194827423581068 0.06691347351329036 1.062779137284968 63 37 18 0.56
291 -0.2079775788718777 0.07310266539424068 1.06484137018165 93 65 46 1.06
292 -0.1648131408564799 0.03677693611269697 1.019013453477528 66 52 39 0.41
293 -0.1144630045289827 0.0199087832924707 0.9728088679809602 78 47 22 0.95
294 -0.4986037822088882 0.1976329268128693 1.216041910412233 117 93 68 1.57
295 -0.4879377398956568 0.191824066030334 1.204904854480992 108 78 52 1.41
296 -0.4788252848374059 0.1869233605637571 1.197317999892962 153 196 219 0.81
297 -0.05054209002958587 0.1318156477833264 1.22826871661277 100 63 43 1.24
298 -0.07140434094524806 0.1386144094766968 1.227977088099717 222 243 245 1.62
299 0.02263696751624422 0.1141962253783574 1.230956519329484 108 66 42 1.76
300 -0.2135453486390506 0.09422877611639979 1.08777655849593 211 169 110 0.87
301 -0.1469300012809657 0.03654101290979284 0.9727517774189944 103 66 42 0.52
302 -0.1210530610640429 0.02500868697976816 0.9484257429804746 102 59 31 0.53
303 -0.1364044886647294 0.02577040701664954 0.9458091027079033 138 90 55 1.48
304 -0.5194270909827019 0.1999236840726947 1.203562989649659 129 93 59 0.94
305 -0.5080311532894751 0.2014275324966747 1.201792881813339 113 98 83 1.08
306 -0.4833540294108284 0.1954052671592079 1.196656456602461 110 92 78 1.23
307 -0.07498582180175295 0.1325800891304748 1.199981867024605 170 132 89 1.23
