# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 42
388 RADIAL 1013 760 997.2701540499168 506.50000000000006 380.0 -0.004932469290860795 -0.000528807212458941
199 RADIAL 1140 760 915.7144619738519 570.0 380.0 -0.18464644992424492 0.22829301211879477
10 RADIAL 760 1140 1338.8849516416176 380.0 570.0 -0.0022137323395754155 1.625334291096988e-05
108 RADIAL 760 1013 1198.9680541389514 380.0 506.5 -0.4468857892762377 2.0360473641771866
206 RADIAL 760 1108 1329.7838911635686 380.0 554.0 -0.006641134853772072 -9.166880888095242e-05
207 RADIAL 760 943 1054.5277528356035 380.0 471.7241379310345 -0.2087885061935091 -0.02256399971381536
368 RADIAL 760 760 608.1871676995485 380.0 380.0 -0.001405618277609387 -7.501472613002065e-05
209 RADIAL 1143 762 1402.886465477302 571.5 381.0 -0.038514008977298717 -0.0037569183160327925
82 RADIAL 1348 752 614.3809711282626 674.0 376.18604651162786 -0.013845591722036088 0.0005335520305347007
273 RADIAL 760 1013 750.5882071825961 380.0 506.5 0.017974338090308992 -0.04977022439893531
180 RADIAL 1013 767 941.9968748150466 506.5 383.2972972972973 -0.10963475002303953 -0.05513220024969608
462 RADIAL 760 1140 887.3535990944129 380.0 570.0 -0.10164506405600297 -0.028847555806334763
183 RADIAL 1140 760 881.510106052209 570.0 380.0 -0.031137501056169088 -0.04694037714045249
344 RADIAL 1013 767 1042.895375699781 506.5 383.2972972972973 -0.07334573961372681 -0.024986562034685588
253 RADIAL 760 1140 912.0782389976227 380.0 570.0 0.0007613639036256647 8.207451750543574e-06
29 RADIAL 1013 760 722.0612875140903 506.5 380.0 -0.01372644429574551 -0.08195267805234539
155 RADIAL 1013 760 691.2065310609042 506.5 380.0 0.1094008728664092 -0.01663576683479476
289 RADIAL 1140 760 958.9492201177064 570.0 380.0 -0.12700352850924582 0.06667523026965295
235 RADIAL 1013 760 755.3826668028016 506.5 380.0 0.010737404777830499 -0.03846206129842834
101 RADIAL 1013 760 983.9805502766199 506.5 380.0 -0.053311637561352036 -0.020576259491377008
464 RADIAL 760 1013 1043.967200231191 380.00000000000006 506.49999999999994 0.07406587116258889 0.005822699739948585
181 RADIAL 1153 760 887.9477482913419 576.5 380.0 -0.06152524916432228 -0.005130251767937357
134 RADIAL 1140 760 1693.9573018661395 570.0 380.0 0.06359687981203381 0.004723889149928329
136 RADIAL 1140 760 1693.69902863528 570.0 380.0 0.0908660458338828 0.01350761450698996
79 RADIAL 760 1013 1212.9900079727106 380.0 506.50000000000006 0.057599655005675564 0.003314878398810652
139 RADIAL 1013 760 811.0186852406002 506.5 380.0 0.04149241093045199 -0.027876294494898972
133 RADIAL 1140 760 1694.1420484880898 570.0 380.0 0.11958280547967104 0.019840407528299592
59 RADIAL 760 1013 1217.6103290350222 380.0 506.5 -0.03209080317068236 -0.0036132424912835815
357 RADIAL 760 1013 1214.5462310970534 380.0 506.5 -0.00409481743922373 0.006800333324196847
233 RADIAL 1140 760 920.1593877083163 570.0 380.0 -0.03935073347922091 -0.008801068176921382
459 RADIAL 1147 760 884.0108815669986 573.5 380.0 -0.04328447919296098 0.00635150683213957
475 RADIAL 1013 767 1165.3492418328444 506.5 383.2972972972973 -0.0878523617362156 -0.008906607780096228
231 RADIAL 760 1139 3467.2612677153134 380.0 569.5 3.81083161591075e-05 -1.5976845752770036e-07
349 RADIAL 760 1351 1081.272327025406 380.00000000000006 675.5 0.06064194361933356 0.009616246976630731
99 RADIAL 760 1013 115.8095238095238 380.0 506.5 0.0 0.0
40 RADIAL 760 1013 405.33333333333337 380.00000000000006 506.49999999999994 0.0 0.0
9 RADIAL 1140 760 892.678470439814 570.0 380.0 0.0 0.0
116 RADIAL 1140 760 977.142857142857 570.0 380.0 0.0 0.0
373 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
182 RADIAL 1168 760 901.0285714285716 584.0 380.0 0.0 0.0
24 RADIAL 1013 760 860.0633116883118 506.50000000000006 380.0 0.0 0.0
252 RADIAL 760 1140 814.2857142857143 380.0 570.0 0.0 0.0
