# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 24112, mean track length: 5.14
0 -0.1856021655272048 0.09098958154766731 1.089863553289199 144 109 75 0.4
1 0.007073403498512598 0.1317623768173911 1.236074327835094 151 108 77 0.14
2 -0.09626169914547755 0.1275102373372744 1.161914784023156 182 132 90 0.94
3 -0.1879062670107521 0.1295158603142721 1.085270284187546 134 91 57 0.37
4 -0.1212245969233988 0.1518781292054346 1.141612399197606 56 33 24 0.88
5 -0.1639360753579067 0.1427283389754576 1.095172368470692 159 112 73 0.42
6 -0.1624056168726483 0.1491057304333819 1.095619660623878 140 85 54 0.43
7 -0.04557177922835531 0.1818933711052409 1.187437414044232 106 64 43 0.51
8 -0.08546817787733485 0.1747481399457338 1.163705235761571 148 113 85 0.52
9 -0.08199439164126821 0.1835953975633028 1.16350569510978 114 61 33 0.18
10 -0.1084808536671629 0.1741521441161514 1.143942795885008 150 104 75 0.62
11 -0.1226652517567891 0.1706542293764551 1.136019609589799 133 65 40 0.42
12 -0.1314463298911875 0.1726705048806149 1.11970911542613 203 176 140 0.1
13 -0.1406052503052005 0.1710465807631798 1.114775524561901 167 139 106 0.47
14 -0.1649968169712309 0.1506629058687778 1.09340572524694 161 123 86 0.37
15 -0.1673690589053449 0.1618825662139969 1.090613551280601 213 173 130 0.43
16 -0.1853092823858205 0.1486734998279425 1.082010109131538 81 43 29 0.34
17 -0.1872519641161978 0.1476579031016707 1.080390561584535 164 138 110 0.45
18 -0.1637496054981809 0.1808278245458943 1.100158839014048 198 128 73 0.44
19 -0.1661886166302035 0.1831847004238938 1.099047583671197 57 35 23 0.75
20 -0.1717891380096694 0.1846960827393216 1.096983310413346 140 118 95 0.54
21 -0.201083888608954 0.1616440748065591 1.068562544138999 203 160 121 0.68
22 -0.1821093361442285 0.08807432842888163 1.099984255551649 203 163 117 0.19
23 -0.1684153022236926 0.009613805592879748 1.115126387987445 81 53 35 1.0
24 -0.07679620422506772 0.114395322330211 1.179739422230995 92 61 37 0.44
25 0.01409166173881038 0.1425831658401408 1.239716033971057 67 53 47 0.69
26 -0.1400138799742023 0.1393048850938398 1.123703952844232 124 85 56 0.48
