# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1903, mean track length: 4.1
0 -0.02215355319277323 -0.2297003856271033 1.164057620464915 163 124 72 0.61
1 -0.02924419069950746 -0.2219544857757959 1.155052998565027 99 77 56 0.4
2 -0.0319295805575025 -0.2251203312397115 1.153572170789225 156 132 88 0.49
3 -0.06461509104489016 -0.1848461695038014 1.141121578212338 174 145 105 0.24
4 -0.06455015953857379 -0.1495117365201403 1.148437979469279 158 140 107 0.1
5 -0.02883049784411984 -0.151905327198311 1.174558484360813 125 106 81 0.32
6 -0.06533254093780005 -0.1362438501907283 1.14896610441993 191 156 105 0.25
7 -0.08731252760641095 -0.1237248121028681 1.1312142985915 97 64 44 0.91
8 -0.0214434230714563 -0.1478888242969302 1.17743645051305 82 60 46 0.15
9 -0.06660049830330417 -0.117713401582517 1.149091575487744 79 61 48 0.52
10 -0.1031325738974413 -0.1193122026070729 1.110272962385311 112 98 77 0.59
11 -0.03214240067380014 -0.1041507125581015 1.180232441177687 71 44 25 0.44
12 -0.06612645413611029 -0.09083035831202751 1.153839341467119 165 122 68 0.21
13 -0.1088181755951169 -0.0644499622404846 1.128077701114315 154 124 89 1.08
14 -0.1088474685948623 -0.03315177441455464 1.135511056473164 97 69 36 0.27
15 -0.06314390375099066 -0.02702603128975178 1.175236547957545 80 56 32 0.34
16 -0.1194855326295745 -0.0198184290546391 1.129395200209023 102 85 75 0.23
17 -0.1575195589107063 0.01481446492967792 1.103122698835949 129 94 48 0.14
18 -0.01819344157085123 0.007415453148410245 1.207688702292484 114 89 56 0.44
19 -0.05101857594153092 0.01753739434080687 1.195566771190503 160 140 114 0.43
20 -0.1446193570803583 0.02447275183834052 1.111592319312477 133 95 64 0.58
21 -0.05524263208841251 0.07944409084364881 1.20894995396276 85 54 31 1.02
22 -0.167146606023497 0.09295328935777711 1.10575158598156 102 66 32 0.14
23 -0.1272170517309953 0.1042784752988846 1.156045523302427 183 142 94 0.2
24 -0.1419266223239928 0.07550171654845139 0.9897203422034738 110 84 70 0.24
25 -0.1063741200849333 0.11560815357731 1.171374620083296 142 110 61 0.63
26 -0.1460145976682068 0.122539934013097 1.169914817198513 177 156 129 1.85
27 -0.1670395287652598 0.1336687469099648 1.107129798618849 124 72 46 1.39
28 -0.1407931619456499 0.155289974220121 1.138078925501543 70 52 37 0.62
29 -0.02778976258933175 -0.2713322004207371 1.099560282283647 136 175 207 0.59
30 -0.0303583334508889 -0.2651406751230343 1.09703354018031 153 188 222 0.72
31 -0.02538600828991422 -0.2562834016054469 1.103640532437241 63 47 32 1.7
32 -0.03252162266326808 -0.2488360126161583 1.104749045208594 147 134 108 0.96
34 -0.05954129307709788 -0.2025662246948091 1.140776990898807 107 74 50 0.5
35 -0.04655007621701857 -0.2012659316213846 1.153190342829283 156 138 106 0.27
36 -0.05120926342413812 -0.1902974555202452 1.150726771062401 166 149 116 0.23
37 -0.06374211095293825 -0.1810060242030253 1.141557921002456 84 60 40 0.31
38 -0.0150438330232997 -0.1897370188099823 1.178530537928509 114 93 68 0.41
39 -0.01884446762065251 -0.1852357718797094 1.173473815160983 166 143 105 0.58
40 -0.04065659545668798 -0.1742452169101349 1.165510795627328 82 59 41 0.38
41 -0.05643252692947864 -0.1708468598673908 1.149431188865689 160 141 114 0.25
42 -0.05223243009431378 -0.1818304224447591 1.147159019041978 61 43 32 0.44
43 -0.07225074083950067 -0.167391440544346 1.136623044587954 145 134 110 0.47
44 -0.0805824414812204 -0.1583021365588102 1.130650343114239 183 157 116 0.55
45 -0.00378385410627391 -0.189191886860809 1.182896337614293 90 63 42 0.31
46 -0.02486503908995141 -0.1756319025918419 1.171782417946653 146 130 106 0.17
48 -0.05188858737008795 -0.1578132759837264 1.156779430336892 158 134 97 0.28
49 -0.01108597217100904 -0.1704086774769213 1.175400756945969 150 131 98 0.47
50 -0.01439844697898363 -0.1684149519522145 1.175260703820491 132 118 95 0.74
51 -0.07544587247607015 -0.1420367547170375 1.137958522318683 103 57 28 0.28
52 -0.07552527974018486 -0.141226082833754 1.136011642110909 165 132 88 0.47
53 -0.07846442440334456 -0.1315812684294183 1.139228515531082 161 135 99 0.43
54 -0.08036551633109712 -0.1290614871331989 1.137310827546208 90 63 48 0.4
55 -0.0201136337106651 -0.1362776422272505 1.182487249876832 108 90 69 0.83
56 -0.0277050750336032 -0.1301622517830662 1.178409443569388 163 138 101 0.27
57 -0.06374999259732261 -0.1267099753597541 1.153328178643503 142 121 95 0.18
58 -0.06521175911508281 -0.1183477715496798 1.153613396880386 63 37 14 0.43
59 -0.07218662005021126 -0.118408094122754 1.145872477950674 67 48 38 0.29
60 -0.0912879275113605 -0.1125189757259875 1.133264087337389 162 140 108 0.19
61 -0.1032842268042536 -0.1149853893849702 1.1244584279244 124 104 72 0.27
62 -0.03943481024841555 -0.1134807000421149 1.173832559891626 149 127 97 0.1
63 -0.0957654429556376 -0.1030656331303469 1.128829241816951 94 51 21 0.48
64 -0.03723186183089289 -0.1077451508904571 1.176964047124112 174 145 98 0.65
65 -0.04299097403073115 -0.09781800078787478 1.174149655487344 152 133 98 0.26
66 -0.05823098602933463 -0.08915731290116152 1.162753510341111 90 65 45 0.28
67 -0.09132985656844506 -0.08444690398049459 1.140312716847553 92 71 46 0.47
68 -0.09132985656844506 -0.08444690398049459 1.140312716847553 92 71 46 0.47
69 -0.09132517863594092 -0.07831478864924202 1.138124079503903 85 60 37 0.48
70 -0.0189742214811558 -0.0987999514306675 1.190424443970608 72 56 38 0.66
71 -0.01363194435151205 -0.09519729768238649 1.190636662979601 140 124 99 0.5
72 -0.03530598327230516 -0.08730180904480844 1.176126942095931 76 59 36 0.46
73 -0.1105944701395865 -0.05661094258329619 1.130210784746231 94 58 33 0.58
74 -0.1111129043106477 -0.06701057056144444 1.1156149951749 164 121 80 0.36
75 -0.01537865605333499 -0.07884074623336057 1.193116219186179 71 47 33 0.3
76 -0.02759528919943488 -0.0680414658753703 1.188758809961572 82 65 52 0.54
77 -0.04090620424511993 -0.06396147673027808 1.177638772629277 89 72 47 0.51
78 -0.08667520317436106 -0.05072698571439682 1.147754668344626 150 117 85 0.24
79 -0.01514113318790089 -0.0563739972616315 1.196215995075474 94 70 43 0.36
80 -0.1042727832476402 -0.04105194356261166 1.138722710209798 81 59 44 0.32
81 -0.1073586683672966 -0.03903143050598834 1.136429747765335 149 122 91 0.53
82 -0.07884010841848388 -0.02423813880412867 1.163152161621257 138 108 73 0.15
