# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 6568, mean track length: 4.3
0 -0.004823867090489597 -0.2373464122683116 1.163074811852587 44 26 14 3.97
1 -0.02296737799230408 -0.2134181467240648 1.159407096921125 141 120 92 5.12
2 -0.0634813125764051 -0.1452826894769874 1.149515205030776 102 89 76 2.22
3 -0.07896096986967599 -0.1082976172337855 1.15091710669391 64 44 34 3.77
4 -0.1006954079747378 -0.1260903988238134 1.130391368313632 82 47 23 3.65
5 -0.07799105266649847 -0.1486933845086858 1.130735955463329 117 93 74 2.27
6 -0.09117445911434435 -0.1176286224399062 1.134216905453315 77 62 51 2.15
7 -0.08909588367280857 -0.1502334848114833 1.117671233819094 39 21 12 5.23
8 -0.1074188867407581 -0.1153316827345678 1.119453046338301 78 57 42 2.25
9 -0.06605396636334071 -0.09657722827481827 1.150273349589991 122 103 80 4.45
10 -0.03153680221109006 -0.1565634689505532 1.156415692876377 144 124 101 4.57
11 -0.02902801606582722 -0.1577568776789363 1.15553637999139 120 105 92 4.07
12 -0.09516230643900292 -0.09708094477426035 1.134569715957844 99 79 64 1.64
13 -0.07510879821865207 -0.09184225972376001 1.146856165045085 52 36 26 3.23
14 -0.1033607587322292 -0.1043467732252542 1.127631982732381 59 42 35 1.69
15 -0.1011485449659703 -0.09016241546832002 1.121032279707175 87 66 52 5.53
16 -0.04184569207338684 -0.09119702016915063 1.163124147655732 152 109 72 5.32
17 -0.09652824072151461 -0.05811171910726134 1.143598876766802 83 54 37 3.89
18 -0.08829169655580271 -0.06578653757147604 1.144385291578408 76 49 33 3.58
19 -0.1037499670236096 -0.04234991763158305 1.140150217533225 83 67 53 1.65
20 -0.1187859724704887 -0.05197349468564341 1.129988656318503 112 87 56 3.53
21 -0.02682513379719592 -0.1182462130783086 1.082633020656444 102 77 60 5.12
22 -0.1228793729333992 -0.01612906377170967 1.127011161607199 73 38 16 3.55
23 -0.1124015451458342 -0.03624790182514862 1.12073784306062 55 36 27 6.21
24 -0.06013612279545555 -0.1307581689199431 1.075856492432829 68 50 41 4.87
25 -0.04304556252833136 -0.1355533408000796 1.069384394572622 133 109 90 5.4
26 -0.08140757934888132 -0.0967462706328743 1.066659360144402 76 62 49 3.54
27 -0.1251213139588825 0.03710701986349163 1.147852022833786 82 63 49 2.85
28 -0.1466828714215123 -0.005866068227807802 1.099400632430908 82 52 33 3.66
29 -0.1389358695272419 -0.01204252659028929 1.073917691135996 35 19 12 3.68
30 -0.1325102761084874 -0.02778130796397862 1.074908938798077 98 84 70 1.09
31 -0.06696570994752726 -0.0880664689060319 1.054407909304816 105 74 50 3.81
32 -0.1220519310719848 0.04057987628507131 1.149479000269161 68 55 44 2.72
33 -0.04598548791067547 -0.005544624096455092 1.16590050141582 160 126 77 4.08
34 -0.1325985164627876 0.05659280726479612 1.145715264190403 52 33 26 1.76
35 -0.1610526890534593 0.03758267603675516 1.105491106416784 70 52 41 2.17
36 -0.1761444822500629 0.03235636227347946 1.095904743089726 96 67 45 5.47
37 -0.1516168538155088 0.0004539172034599692 1.079067422887756 77 68 57 2.86
38 -0.156660117498885 0.02346856071615763 1.077516334951493 81 52 34 2.77
39 -0.1472022080119548 0.003785359957122064 1.067346673848062 123 101 83 2.84
40 -0.01988828837672396 -0.1099983955605243 1.01463257787699 109 83 67 5.6
41 -0.06076892537038375 0.03737554727604389 1.174463755438529 164 131 96 6.15
42 0.007005704107186816 0.0226957850754673 1.160686038012428 88 70 51 4.71
43 -0.1224530987468673 0.06018507793380051 1.139144774919005 111 83 62 5.12
44 -0.1638763681649401 0.07263791617677592 1.111022054865282 59 32 18 3.7
45 -0.1727766212426158 0.06424139032014914 1.108252099999544 92 61 40 5.1
46 -0.1391165183042672 0.0293312984937763 1.085217266160197 70 50 46 2.31
47 -0.1805045141926254 0.05457452558927739 1.0843542934337 56 43 34 3.89
48 -0.1579688589783529 0.0288670416663776 1.0736076813074 78 48 28 4.49
49 -0.1564894080444235 0.02946311139356186 1.069743955733843 66 48 38 1.33
50 -0.1773209101421203 0.05203500909084774 1.074946792976771 105 80 60 2.02
51 -0.09138442693741616 -0.03455012810576538 1.046702000369319 129 88 63 3.77
52 -0.127764949511164 0.01331318941758544 1.059037490386664 103 78 58 7.38
53 -0.04167355015338486 -0.06380675636442087 1.021868554803928 100 84 66 6.87
54 -0.1137146396255735 -0.01441750443964632 1.044212305531638 68 43 27 2.17
55 -0.1383616484812572 0.00203394437755175 1.042974459997721 80 61 47 2.9
56 -0.1253183280539898 -0.005157226621767291 1.035431010932899 72 59 53 3.18
57 -0.1710492180196745 0.09625288052030256 1.125786996756673 82 50 29 5.22
58 -0.1221064508840378 0.07443336607227796 1.134263445958688 163 126 75 4.3
59 -0.1824483695453278 0.1044747001700022 1.123826036056469 64 42 27 1.81
60 -0.168062809766688 0.09622340734016704 1.124252750423282 104 52 27 4.84
61 -0.1751943549271923 0.1021173226787801 1.123982086615067 142 110 76 7.77
62 -0.1578216508908045 0.08569822238919059 1.118020107695227 81 57 42 4.61
63 -0.1929807528505394 0.08396091722397067 1.101631557186659 133 102 76 5.79
64 -0.1973702787064366 0.09643299641064942 1.090594221147553 101 80 65 3.69
65 -0.161625000784212 0.05104060889357831 1.077869403954087 88 60 42 4.37
66 -0.1449351012797235 0.05472780142196693 1.070370950261612 88 52 34 3.56
67 -0.1519678609207362 0.03560895880489348 1.061851273383943 86 63 45 3.2
68 -0.1531652908568936 0.05067935751397706 1.061142401668396 122 85 55 3.88
69 -0.1786425433293166 0.06634641060976051 1.060695679787629 124 94 70 1.62
70 -0.1250335056483777 0.01086030014190295 1.04191234898628 157 135 109 5.46
71 -0.1283980693089735 0.02028543331712537 1.040317238572947 67 47 38 4.23
72 -0.1076588715095796 -0.01446330715082386 1.023910521581576 72 42 28 3.6
73 -0.1156278201857251 0.006376379021893142 1.033054363986929 94 77 63 5.14
74 -0.1146828901910993 0.008744554444939712 1.022753707114102 69 44 28 5.78
75 -0.04922607561364745 0.1162174839618072 1.212952497510362 155 158 151 5.17
76 -0.1429189055033681 0.1180103274743141 1.158622480575463 69 54 43 5.24
77 -0.1464113075163787 0.1192797032999369 1.143375781983724 105 72 50 5.5
78 0.3627558875895136 -0.09376986337640289 1.211837459294751 147 111 78 1.25
79 -0.1825325856859193 0.1147392128351986 1.11661065104862 156 114 70 3.5
80 -0.1324439106956994 0.09378363166590181 1.111656025152967 119 92 66 4.82
81 -0.1857515044780559 0.1091388881382462 1.099152443872782 49 23 14 3.94
82 -0.1914237745955467 0.08955367227223818 1.082575286465261 78 45 20 3.75
83 -0.2032338733468468 0.1070960753151587 1.093288420530216 155 111 69 5.02
84 -0.2149045732788691 0.1203631485045274 1.089757475715115 50 29 17 1.98
85 -0.1957666479869499 0.09855002207123806 1.085854298393737 68 40 22 4.62
86 -0.2017212511420015 0.09869835683853453 1.08365789324209 135 97 62 3.26
87 -0.21917099889396 0.1142516600168301 1.085510528201625 64 39 25 2.43
88 -0.2293552897805007 0.102848186371716 1.064149101098223 93 60 42 7.44
89 -0.1745502685990967 0.07499098176269028 1.044967762180915 87 60 43 5.66
90 -0.1323237600334162 0.03674955683360773 1.024408713153282 50 37 30 4.55
91 -0.1267127864911893 0.03475943133572093 1.022378522028547 119 89 60 4.19
92 -0.1199259087536653 0.01665786134919306 1.011542102227979 55 36 26 5.17
