# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 129, mean track length: 3.4
0 -0.3056841407266879 0.3092426778270714 0.8832745647889293 62 44 37 0.48
1 -3.933135775407485 0.1705104543625457 6.914301321750821 110 87 65 0.34
2 -0.4594247622027716 0.02552756749952347 1.381618651784681 59 35 28 0.41
3 -0.4938824567217794 0.1663562673100699 1.354999433140546 79 59 48 0.36
4 -0.2946525795690558 0.2058700112100938 0.8430039972074992 84 60 47 1.89
5 -17.61952769022401 -0.2613880011456088 28.9777531831267 98 83 68 0.38
6 -2.543114611788762 0.1910331145419212 4.828099216545715 111 86 66 0.27
7 -1.128425082659352 0.1196085108533728 2.603906993417795 115 85 72 0.21
8 -0.4607271691509176 0.07375221491765584 1.376759303822001 76 49 38 0.38
9 -0.4627399229569564 0.07209521605290609 1.343357148851414 58 28 20 0.16
10 -0.4646866149411115 0.07278840225697956 1.33680587887851 95 69 44 0.18
11 -0.459273890911549 0.08092856762519565 1.324639774282558 63 37 23 0.41
12 -0.3802225571672428 0.05221036151408459 1.134790198718867 130 103 82 0.2
13 -0.4572623859782423 0.07835824461599403 1.230367147817498 60 35 26 0.31
14 -0.4726786684891504 0.0939526436484896 1.221324472808439 89 57 36 0.34
15 -0.3862489085318108 0.08526967993202188 1.091691894284489 94 72 60 0.11
16 -0.4690669567326788 0.1109095552923679 1.265583123398607 72 36 23 0.18
17 -0.4860713352000439 0.1085239050532264 1.2035829793182 105 74 58 0.34
18 -0.4732501712348967 0.155267511110265 1.195975454429132 107 73 52 0.34
19 -0.4552225266634105 0.1029057248295836 1.045707088956706 74 48 32 0.38
20 -0.4581653193350592 0.1802591325807462 1.105501014496392 152 104 75 0.46
21 -0.5423827267299091 0.3031328108853876 1.356717632737882 70 53 46 0.89
22 -0.2783237690016416 0.1894100693197008 0.7509873775542917 92 50 22 0.37
23 -0.29489111981685 0.2301983019519094 0.8185066384086515 91 51 17 0.3
24 -0.2787751227088593 0.2529674634493836 0.8025949966077905 142 94 48 0.43
25 -0.2856083280311563 0.2571875716024122 0.7965368687212855 117 81 42 0.91
26 -4.153634860861486 -0.06979509317338081 7.892620002340927 104 72 59 0.07
27 -4.153634860861486 -0.06979509317338081 7.892620002340927 104 72 59 0.07
28 -0.4585442824806798 -0.001118934142090126 1.428185928667877 94 75 55 0.32
29 -0.4591346814629214 0.06707481856907667 1.442111738403624 78 56 37 0.56
30 -0.4543472720234862 0.06550077132415004 1.421555654480517 96 80 67 0.44
31 -0.4534471899896886 0.02740450855195144 1.304768665486741 97 77 58 0.3
32 -0.4556218167312298 0.0354787533680412 1.32151267954299 116 82 60 0.4
33 -0.457227692503466 0.04084252462117963 1.275668912540903 111 73 48 0.7
34 -1.202616627906419 0.2150439763454048 2.522295262164009 105 82 69 0.12
35 -0.4944239236655217 0.1715604966052445 1.462862476112934 123 109 110 0.98
36 -0.4658049119659182 0.07887930269594896 1.23464665766365 106 74 56 0.51
37 -0.51875792157053 0.181831650095906 1.501857818325421 188 191 195 0.75
38 -0.5257224030437144 0.2077507710646091 1.488796953162223 192 192 193 0.71
39 -0.4742161922281531 0.1251264161611904 1.257108838070369 110 73 48 0.3
40 -0.5333592323243508 0.2356965725983972 1.473477525491185 192 197 203 0.86
41 -0.830361967482522 0.1557604816720115 1.674730332597026 109 63 36 2.06
42 -0.493910800677362 0.2413528716555526 1.337804005077086 90 66 58 0.98
43 -0.4345681247613611 0.1029163413521093 1.02670524314323 108 72 52 0.26
44 -0.4672041128014945 0.1484699096748937 1.128898902421314 138 92 58 0.42
45 -0.4828647219389748 0.1930910115077071 1.234828889631528 106 70 55 0.16
46 -0.4671477029150339 0.2057377670620946 1.198301396712259 61 46 38 0.54
47 -0.5051069980293605 0.1332031563297234 1.0807773074486 97 71 60 0.27
48 -0.5268337035830082 0.2539115904667826 1.260491910961733 87 67 60 0.78
49 -0.5387952991504288 0.3204489069735592 1.33314212194856 118 84 62 0.36
50 -0.5497045868756767 0.3336629720196803 1.363746685473699 135 110 94 0.14
51 -0.3161186998903043 0.1267461228784473 0.7265757362891929 113 81 58 1.15
52 -0.2422564058071546 0.1688874134204771 0.6536215679316135 108 65 25 0.91
53 -0.2896668733006602 0.2661423919370245 0.8286371086827227 130 85 45 0.42
54 -0.2664915044620082 0.2686146620177741 0.8038970148775093 109 73 52 0.76
55 -0.3228960125512381 0.3307362235459745 0.9268240835229917 114 69 30 0.4
56 -6.008909149996231 -0.1799073943166675 11.16568390182736 200 221 239 0.55
57 -0.3920655602951277 -0.05272119782226597 1.30371257589548 124 107 95 0.86
58 -0.3607797194461329 -0.01088888173427702 1.242335250615948 94 75 70 0.44
59 -0.4586853131065101 0.07898215934684409 1.364502637410356 126 88 55 0.13
60 -0.3675761562061013 0.06680384214407821 1.144562195732186 94 72 63 0.3
61 -0.4856032647362756 0.1321622945137361 1.35223082322255 77 59 50 0.3
62 -0.4933343279991085 0.1674184111346959 1.424475064356764 105 67 39 0.55
63 -0.519021058532033 0.2264889554402833 1.396627591287331 109 84 64 0.28
64 -0.4823559879955672 0.1995966469214047 1.264386636348937 79 59 49 0.08
65 -0.5128129983900545 0.2543861216034482 1.319311465164021 74 54 47 0.59
66 -0.5115622138774185 0.1185544402895572 1.063066060817166 78 64 60 0.2
67 -0.4393117977419712 0.1187962952510886 0.9813001981195664 77 55 49 0.46
68 -0.5178062067501106 0.2775940263728657 1.318183259888379 137 106 83 0.18
69 -0.5347233034276528 0.3121878193733703 1.358628239545477 83 65 58 0.19
70 -0.5670903712719149 0.3360640044273947 1.401181746716514 79 63 60 0.53
71 -0.4292535139933384 0.2296070153352023 1.074197057904016 132 86 43 0.66
72 -0.149440896936909 0.15007360271078 0.5334201357822179 107 67 44 0.63
73 -0.283013930606657 0.2476447142814448 0.8009204592798895 137 89 51 0.76
74 -0.3198779060226959 0.3368484545925038 0.9286573894584096 74 49 36 0.47
75 -4.498971191025096 -0.1491711700417522 8.634352926017721 89 73 67 0.19
76 -4.498971191025096 -0.1491711700417522 8.634352926017721 89 73 67 0.19
77 -0.4822675902091542 -0.04294947948102998 1.5658452278619 194 198 198 0.38
78 -0.9754807834815526 0.1268157212812362 2.349523057065682 108 89 69 0.43
79 -0.4759793664082599 0.06971971163451508 1.320406592676549 131 89 54 0.35
80 -0.4770412278081007 0.1241020394569885 1.339960851124361 126 82 58 0.57
81 -1.905835709571768 0.4245660770542042 3.493606830010584 116 92 80 0.82
82 -0.4961071919679452 0.169013918812156 1.374732356548042 107 71 48 0.65
83 -0.3317463522016988 0.1641149337790774 1.049238948214007 109 85 67 2.0
84 -0.4966482264753846 0.2161146125397669 1.255949977035503 134 108 90 0.08
85 -0.3742654282821682 0.1129487128656264 0.8770382113218507 80 51 40 0.37
86 -0.4042689241516377 0.1495618841804829 0.9664562205940335 93 59 39 0.72
87 -0.5325366456602798 0.278877984767487 1.298452459993316 107 78 62 0.59
88 -0.5325366456602798 0.278877984767487 1.298452459993316 107 78 62 0.59
89 -0.2861868967813714 0.2103204378570702 0.7970075628252051 139 79 21 0.45
90 -0.2723268840993935 0.1890153080518764 0.7083604142148299 101 57 26 1.1
91 -0.271519230094154 0.1994886319311774 0.72994197909384 118 72 46 0.89
92 -0.2801024392141418 0.2360180045113431 0.7825075466803719 129 68 22 0.52
93 -0.2891615502587499 0.2485518324177285 0.7978306220393858 105 64 30 0.47
94 -0.3001561717763515 0.2745362644599638 0.8399913250404791 116 68 25 0.56
95 -0.2681438829953169 0.2729274009464937 0.7997487341329834 71 46 36 0.75
96 -3.510686067679549 -0.08423993269602506 6.828599679131052 123 84 57 0.14
97 -3.510686067679549 -0.08423993269602506 6.828599679131052 123 84 57 0.14
98 -0.3891662534261671 0.1393949197733077 1.041746405735636 101 79 64 0.69
99 -0.4097701448923543 0.1332243398894235 0.9995650115181454 141 102 75 0.16
100 -0.5474991606481434 0.2646760110670918 1.290662808634871 102 75 66 1.22
101 -0.4413644620249719 0.2517321426424293 1.12843738395678 144 116 97 0.99
102 0.06700600451490124 0.1628187648484744 0.3666219220142608 131 84 56 1.29
103 -0.2868690670152376 0.189207346847925 0.7411855827122902 133 72 28 0.74
104 -0.4776969595861378 0.0923829473887757 1.498408079379059 78 61 54 0.63
105 -0.4831274539074073 0.1162678838170541 1.483873680978188 106 76 60 0.2
106 -0.4838971342021618 0.1401602505651273 1.457526715686946 96 64 51 0.49
107 -0.4913676825245727 0.1647497521080499 1.447264060392021 98 64 49 0.62
108 -0.4947129460295627 0.1893458291786846 1.427567805548026 94 60 45 0.81
109 -0.3768013813524795 0.005741472537436162 1.307801449694054 106 84 74 1.24
110 -0.3768013813524795 0.005741472537436162 1.307801449694054 106 84 74 1.24
