# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 56
25 RADIAL 1013 767 966.1087292712946 506.5 383.2972972972973 -0.10090703074147975 0.06211451990211178
341 RADIAL 1013 760 1037.999949302292 506.5 380.0 -0.0938911472936665 -0.005405311633413379
293 RADIAL 1013 760 1076.9266018065387 506.5 380.0 -0.15221428134270826 -0.030758564881067405
71 RADIAL 1013 767 1164.332114035913 506.5 383.2972972972973 -0.11545521173955547 0.0048514476549199135
32 RADIAL 1140 760 1207.9584611301848 570.0 380.0 -0.0737955213424864 0.15555214466738457
421 RADIAL 760 1011 2316.9579328354725 380.0 505.5 -0.07622432957369693 -0.010562874503349846
425 RADIAL 760 1057 2382.934910229986 380.0 528.5 -0.15158990673464837 0.0022945139991057436
281 RADIAL 1013 760 2476.0995087703564 506.49999999999994 380.00000000000006 0.17683557219743787 0.007762892570374122
90 RADIAL 760 1013 2284.2181687696516 380.0 506.5 -0.1505250081322168 0.0052449938934627394
386 RADIAL 760 1013 2180.694351989777 380.0 506.5 0.09640642214652922 -0.009685379758282904
211 RADIAL 760 1143 2148.71950299594 380.0 571.5 0.00596284031590988 0.00801693309773014
8 RADIAL 1140 760 2732.7494654352195 570.0 380.0 -0.031193952495005457 -0.001007767980539859
314 RADIAL 760 1140 2535.419351892393 380.0 570.0 -0.1460180876923126 -0.006344799575397694
37 RADIAL 1147 760 1701.3808407586957 573.5 380.0 0.17084860446328765 0.06792441384531116
266 RADIAL 760 1013 1037.1099764321707 380.00000000000006 506.49999999999994 -0.10448749510528584 -0.02118035241957767
479 RADIAL 760 1013 1153.1558292254379 380.0 506.5 -0.14214732632105498 -0.0355273854516053
60 RADIAL 760 1013 2225.3218218998954 380.0 506.50000000000006 -0.0013649707232240137 -4.074585632399576e-05
264 RADIAL 760 1013 1069.0494646560392 380.00000000000006 506.49999999999994 -0.16846002554715903 -0.07900647308083247
205 RADIAL 1140 760 892.8859669597709 570.0 380.0 -0.010848496606890766 -0.0023036920615627423
123 RADIAL 1013 760 1810.795680746035 506.5 380.0 -0.019764778574950542 -0.01477248693129685
3 RADIAL 760 1140 4091.2611774682423 380.0 570.0 -4.6950318598459554e-05 1.950475316191951e-07
457 RADIAL 1140 760 1075.247382812609 570.0 380.0 -0.12864019851635852 0.06429117478570205
423 RADIAL 1486 760 1644.0520894003605 743.0000000000001 380.0 -0.1150643978107378 0.051742504735836733
154 RADIAL 1351 754 1091.1696732349533 675.5 377.0232558139535 0.05326709087966982 -0.06296549664236044
39 RADIAL 1013 767 1151.7592118772334 506.5 383.2972972972973 -0.08487899093760104 -0.02586357348179648
53 RADIAL 1142 760 1170.8842478010856 571.0 380.0 -0.05107059359045178 0.0002481747719528596
268 RADIAL 1013 760 1039.0498027436834 506.49999999999994 380.00000000000006 0.03479768231452791 -0.0012063909146950318
258 RADIAL 1140 760 1067.9205291209705 570.0 380.0 -0.019103734363217044 0.02349406638707173
152 RADIAL 1352 755 1465.0627013347357 676.0 377.30232558139534 -0.06563705289193554 -0.02308931149493042
409 RADIAL 1140 760 1075.2460850496486 570.0 380.0 -0.13079117453052502 0.07258357803622859
17 RADIAL 1140 760 1497.5191098457549 570.0 380.0 -0.04259767586800427 -0.04263224679170938
19 RADIAL 1140 760 1003.6538192131367 570.0 380.0 -0.0025966048331202292 -0.07291255640884271
20 RADIAL 1140 760 1624.3695761959339 570.0 380.0 -0.047409028100302335 0.08126913423083879
278 RADIAL 1013 767 1186.3033325774377 506.5 383.2972972972973 0.013962662855421122 0.004142945065807521
189 RADIAL 1013 767 1339.4069811326049 506.5 383.2972972972973 -0.10236665580704105 0.004652276981971114
250 RADIAL 1140 760 814.4753673938892 570.0 380.0 -0.005469508242208593 -0.0009051578148577522
190 RADIAL 1684 760 1204.774466668218 842.0 380.0 0.02588177298993489 -0.08974497342089816
191 RADIAL 1684 760 1206.2712622072472 842.0 380.0 0.02611197378782418 -0.07837819531983188
52 RADIAL 1142 760 1697.1803591072817 571.0 380.0 0.029657187206149287 -0.002010130437798539
106 RADIAL 1013 760 838.0338859243706 506.5 380.0 0.034061455170957926 -0.09126813596378355
216 RADIAL 1140 760 819.1791522777869 570.0 380.0 0.003143056769290447 -0.10040786277636037
383 RADIAL 760 1013 1216.3435348189016 380.0 506.5 -0.018046331151298216 2.0341649520606913e-05
72 RADIAL 760 1013 2197.892647595217 380.0 506.50000000000006 -0.04984088534095347 -0.0018064406273890364
208 RADIAL 1143 760 1682.381250881551 571.5 380.0 0.017187123778277188 -0.030703751730447218
214 RADIAL 1140 760 824.3308532137904 570.0 380.0 0.057742310065222416 -0.05239924243945905
497 RADIAL 1140 760 1811.2239865081085 570.0 380.0 -0.16728713352679914 -0.01795626349138846
179 RADIAL 1013 767 927.0932961396885 506.5 383.2972972972973 -0.008222151567869521 -0.015239070727321516
143 RADIAL 1580 777 1914.8175600761085 789.9999698003146 388.4444294388961 -0.12897361370846452 -0.024911710710913495
132 RADIAL 1140 760 886.2514327249947 570.0 380.0 -0.06528374933160233 -0.011612868866282914
219 RADIAL 760 1140 1110.4594592912738 380.0 570.0 0.005752719537770129 0.0007199891045439643
476 RADIAL 1013 767 1218.9481177998925 506.5 383.2972972972973 -0.1571253334016849 0.03189438074080844
514 RADIAL 1013 760 1301.135694965861 506.50000000000006 380.0 0.0030022882280126414 0.0030980896326223244
342 RADIAL 1147 760 1278.3473123478539 573.5 380.0 0.0792145426791335 0.011121202270230461
153 RADIAL 1202 760 1064.6351850119702 601.0 380.0 -0.16255654516181872 -0.03315886387482946
422 RADIAL 760 822 903.2092253912994 380.0 411.0 0.0034056813170995483 -0.00036442179605586817
215 RADIAL 1140 760 817.150363633979 570.0 380.0 0.01143373623350885 -0.04549891113413597
