# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 3450, mean track length: 4.48
0 0.03803355663992891 -0.3172999197426778 1.166878439829072 121 125 130 0.49
1 0.02761561001822299 -0.2740969705329959 1.116156178172956 76 58 45 0.48
2 0.06582266464042397 -0.2761644814338264 1.184716917135805 83 74 72 0.88
3 0.02902022433254448 -0.2546384246533466 1.107653061675627 172 160 130 0.14
4 0.0259608325507199 -0.2520147593699467 1.098319805768297 81 62 56 0.51
5 0.0513771666045153 -0.2504138208461474 1.120121334687406 135 115 94 0.19
6 0.05514794139450419 -0.2471569100306913 1.125838515417328 125 95 67 0.45
7 0.04464137558028602 -0.2411922031362891 1.112856144866519 172 131 88 0.64
8 0.0778272605016741 -0.2229470811364351 1.128585382747409 89 68 48 0.15
9 0.02115061612589875 -0.2197450937783983 1.073654764121919 153 128 94 0.26
10 0.02811019690406968 -0.2160323713165952 1.081204168260791 76 58 41 0.26
11 0.03339226519475647 -0.2264040823813021 1.091482666029086 58 34 23 0.17
12 0.06137851608095746 -0.2195080693888184 1.109877779498116 88 66 42 0.24
13 0.07312841469760212 -0.2014444820784521 1.110208143369266 187 163 125 0.27
14 -0.0154449274882047 -0.1992690782847578 1.089011979311652 113 93 77 0.89
15 0.03384099011254171 -0.1866371029725444 1.065661202066406 100 73 60 0.64
16 0.03106468328152256 -0.1838675202918603 1.068453776638014 84 53 40 0.07
17 0.06259971393639163 -0.1871710107272472 1.087744559508705 147 106 70 0.17
18 0.06445618793521612 -0.1832298938946079 1.090027003630093 144 121 100 0.48
19 0.06732034918655017 -0.188788896789911 1.099104668557488 121 100 85 0.51
20 0.07040226298858199 -0.1660502924619454 1.089049696766118 89 67 51 0.14
21 0.07949163778737522 -0.1635292260418344 1.095554589338888 78 50 36 0.19
22 0.1057098527229839 -0.1528609084208028 1.113310190335604 164 140 118 0.29
23 0.03203381026408347 -0.1355751065870434 1.038054044547675 81 60 47 0.36
24 -0.07410721870883985 -0.1440391789560199 1.127398496116153 200 204 199 1.59
25 0.05368858521786701 -0.1126507783848275 1.056129937158344 154 130 105 0.33
26 0.003057627283046482 -0.1126554825583982 1.005623231222458 77 50 34 0.39
27 0.02742291221527715 -0.110515259147736 1.021321203511298 156 119 82 0.28
28 0.06387078376278976 -0.1009453538141303 1.042976932860541 111 82 61 0.12
29 0.01523126179575129 -0.07665143339754413 0.9907443404979875 90 56 40 0.25
30 0.04529260875925345 -0.07181238210129542 1.016536482518889 165 141 123 0.41
31 -0.003491114235578574 -0.05316909519314536 0.9706737617004427 105 69 48 0.23
32 0.05299410306851537 -0.05054574912425887 0.9993535820873433 93 49 27 0.24
33 0.09732827293185065 -0.000163574774791217 0.87842173180713 121 86 54 0.68
34 0.153137063743772 0.05646526834020752 0.8988100439485062 54 32 20 0.3
35 0.08841404584468782 0.02298322524181855 0.8642958484327058 174 121 68 0.51
36 0.3343064290949515 0.07007085866944007 0.3737949417879981 87 61 46 0.43
37 0.3431229172816699 0.07537462403869657 0.3786043876369961 97 72 46 1.0
38 0.3623653140012031 0.08835936657888696 0.4032536892170507 101 68 43 0.06
39 0.3013112876818605 0.08982433930161754 0.4030056752131358 136 101 74 0.33
40 0.4778395235970884 0.1004102576564982 0.3623264082994011 123 108 91 1.59
41 0.3321329233701871 0.09431817504484116 0.3810341203335622 61 34 26 0.86
42 0.340828760580278 0.09406467133186064 0.3859044125381702 196 156 114 0.62
43 0.3411920143041771 0.09800343102099901 0.3877078601041196 179 130 96 0.33
44 0.3711412389147569 0.1079098660680185 0.4211590646901139 76 62 51 0.39
45 0.3877179448028628 0.09871931561992003 0.3854440205545783 57 34 22 0.95
46 0.3753296980426972 0.1073656534106255 0.4064971496794304 18 14 14 1.17
47 0.3883255335513988 0.105966609116815 0.3874207602730787 74 51 34 0.26
48 0.2959924629847109 0.11156165644296 0.4147665742752989 54 29 14 1.56
49 0.334237715261112 0.1062518355538858 0.3781582549271362 67 34 18 0.64
50 0.4234797664193659 0.1150472338313175 0.3813116520264578 61 46 34 0.93
51 0.361673278534407 0.1250988256736879 0.4040916681506689 40 24 15 1.02
52 0.4458995777344372 0.1348442405815898 0.3568225695849809 106 85 56 0.26
53 0.4466504260643128 0.1385949326725268 0.3576384449337607 159 121 89 0.3
54 0.339293357666733 0.1491942536262228 0.3754655696017869 110 78 54 0.37
55 0.6624216603706741 0.07558465330714528 -0.1823074660825258 146 113 89 0.99
56 0.7499034876016487 0.05901256177064069 -0.2980723793543973 107 88 68 0.97
57 0.03294570654965212 -0.266920296294309 1.115102603480219 119 94 79 0.24
58 0.05236934433746376 -0.2647372461010412 1.119069766178677 149 117 80 0.36
59 0.01907526587313235 -0.2635626845925124 1.116723979086752 121 108 89 1.05
60 0.01829102397049553 -0.2362164526253374 1.087884860989393 152 114 77 0.47
61 0.05064356771411571 -0.2297178290874388 1.105443718740191 102 80 66 0.18
62 0.04408081569998901 -0.2209000394726958 1.095378259901215 109 76 56 0.37
63 0.04612912062510732 -0.2146217585505125 1.094954342279283 107 82 58 0.38
64 0.0663876723562582 -0.2089388457052724 1.112222506443433 176 149 109 0.52
65 0.08028475706226301 -0.2197957307315693 1.131411345691695 148 120 91 0.41
66 0.07668512914797709 -0.2057844315880202 1.113782685584175 172 146 112 0.37
67 0.08473408469700638 -0.2035421372921746 1.122465121825238 172 147 114 0.34
68 -0.02523574972699261 -0.2205548730702073 1.11958533173761 201 204 203 1.6
69 0.04301669436757849 -0.1951763232687582 1.080753119662568 156 127 94 0.32
70 0.04652954385529118 -0.1942793016570387 1.083942624609969 132 103 70 0.54
71 0.05980260414525418 -0.2007982875210025 1.090640295210451 94 62 43 0.19
72 0.06193063234323148 -0.2025238626675888 1.093246299224488 116 90 67 0.26
73 0.06054045732324242 -0.1927066933594739 1.088696686369312 118 88 65 0.46
74 0.08253195969590776 -0.2019702262974779 1.120972826115259 110 81 60 0.3
75 0.08113581475295661 -0.1941875336712808 1.114126630478993 100 72 51 0.5
76 0.08570065493879886 -0.1929178203180036 1.117230394799835 113 84 69 0.23
77 0.03905030980409874 -0.1909490522296448 1.075500992371623 126 96 70 0.3
78 0.07237814646361751 -0.1873102572728492 1.101965774926607 176 148 106 0.34
79 0.07673414631537201 -0.1861045587236761 1.105662477338166 135 111 82 0.21
80 0.07895233787546951 -0.1852055097028471 1.107648369365806 151 113 77 0.34
81 0.07713609477676431 -0.1805900422333732 1.10063236128192 168 141 111 0.32
82 -0.03904687802678075 -0.1784626811027572 1.094921978915713 122 116 111 0.84
83 -0.03904687802678075 -0.1784626811027572 1.094921978915713 122 116 111 0.84
84 0.0374737728429283 -0.1765638989682266 1.067094290263205 156 128 93 0.25
85 0.06380159549301834 -0.1726925519882802 1.086389249632524 141 89 58 0.09
86 0.08269171547325915 -0.1586748663272229 1.095581800283063 148 124 98 0.16
87 0.02370713375887112 -0.1599710962779759 1.043592534724438 136 103 67 0.69
88 0.03086356459167217 -0.1582785079331446 1.054405808072553 154 122 88 0.19
89 0.04644591560208811 -0.1520739584834958 1.057799648339535 91 60 39 0.29
90 0.05030196745484528 -0.1530243775627636 1.06277895222791 136 110 80 0.47
91 0.06587053642033502 -0.1463668267895871 1.069812765093199 134 101 71 0.25
92 -0.0580370091761262 -0.1486624191318343 1.103149199366811 226 230 228 0.69
93 0.01369309584947953 -0.1421758179079312 1.029176338314245 126 86 61 0.26
94 0.02741920279319332 -0.1388084116953857 1.037648707639055 134 100 72 0.3
95 0.09665131368746049 -0.1204658963981885 1.08719827109663 149 114 78 0.17
96 0.01185935365763924 -0.1218017820968365 1.014484773851572 111 71 41 0.4
97 0.01644567958519128 -0.1106106307211451 1.014304366148552 144 97 64 0.22
98 0.05786446430835013 -0.1057400333084566 1.034507700932733 184 155 117 1.49
99 0.06631621817586286 -0.1054064435703015 1.043586134996172 101 75 59 0.39
100 0.06498452064572124 -0.1032204384366 1.044725465881235 153 108 69 0.26
101 0.06998521945278668 -0.1040652023602262 1.045400064843196 124 86 61 0.29
102 0.0777163327082363 -0.1002822335467708 1.05051923270217 132 104 85 0.56
103 0.08676389337835566 -0.09158998833258458 1.059753440194141 86 56 34 0.41
104 0.03740278773130268 -0.0940245088432532 1.018477984418864 98 63 36 0.25
105 0.07928481647965058 -0.0839191606412943 1.051426998171757 130 105 86 0.24
106 0.08202787537673584 -0.08113681234994902 1.04783838393701 94 75 60 0.37
107 0.1267583280248317 -0.07297869761631347 1.114004955611975 121 125 134 0.62
108 -0.07170516573895291 -0.09660304317052015 1.063915267815555 132 128 126 0.86
109 -0.07168662945213022 -0.09662150863507701 1.063848646895071 140 135 133 0.98
110 0.03670588985238599 -0.07370163564174455 1.005731449535501 147 115 83 0.87
111 0.07147137022935635 -0.07437731404068681 1.028973101304741 144 103 78 0.57
112 0.07441285232852068 -0.06958219586880579 1.01807655192227 136 91 53 0.49
113 0.1192371428396742 -0.05184957771968916 1.057710338217161 152 117 82 0.72
114 0.03517040896606027 -0.05502762215791697 0.989086270458524 167 122 80 0.34
115 0.05172141128139329 -0.05665197275400401 0.9983054830422858 135 81 38 0.24
116 0.0335508350679411 -0.04126557023337336 0.9786521869567794 118 76 48 0.5
117 0.06615655303482915 -0.03429568282242488 0.9912939102775801 98 57 37 0.86
118 0.085186056169688 -0.03357430541531605 1.021473381023184 101 80 70 0.39
119 0.01512890609574502 -0.02296345514629793 0.9577295121337789 176 128 83 0.17
120 0.09452096483709349 -0.001732959521098292 0.8760340173783626 174 112 67 0.35
121 -0.1096659275746497 -0.002874054815708727 1.020282296246523 178 173 177 0.67
122 0.09504929101431925 0.006775328185001185 0.8767006423453788 137 91 49 0.35
123 0.1311540381847537 0.01253067080061273 0.8874208270414857 110 66 34 0.3
124 0.1791644971684697 0.02638000672892703 0.9328409827651379 158 104 68 0.25
125 0.06344584507053919 0.02628469002429528 0.8424816301073911 143 92 58 0.2
126 -0.1216391063339876 0.02916150158288322 1.020855593189462 193 195 189 0.7
127 0.1052699205779778 0.04332580165106687 0.8707927614794339 59 27 15 0.43
128 0.07508308985981227 0.08611255634427878 0.8407672158928942 130 89 54 0.45
129 0.09683122852739035 0.1020086398115962 0.8544323782495492 181 113 53 0.37
130 0.06089267461838554 0.09859132097698248 0.8034841137476213 62 39 26 0.5
131 0.3408389576577996 0.0699778605946928 0.3793891924389489 127 88 69 0.55
132 0.340270280672727 0.07084826398582306 0.378028171916753 129 100 77 0.82
133 -0.193972923953616 0.1263795521816536 1.060083556346461 75 76 93 0.92
134 -0.193972923953616 0.1263795521816536 1.060083556346461 75 76 93 0.92
135 -0.141092695493791 0.1149247943484759 1.011853254935126 68 42 29 0.63
136 0.06896603673281487 0.1147996047223946 0.8234407464101793 143 102 55 1.07
137 0.3399723242927118 0.07411172612502431 0.3778078812273596 135 110 85 0.65
138 0.3396286472189395 0.07405502382172408 0.378138512196967 121 91 66 0.39
139 0.3402248240439828 0.07539456873519487 0.3783908691253876 52 40 29 0.49
140 0.3401565406584841 0.0752914267563011 0.3783673132539572 50 33 23 0.23
141 0.3394431897081523 0.07652970997433542 0.3772194389313336 127 104 82 0.64
142 0.3396835159591494 0.07643125090150016 0.3772470183557884 161 138 114 1.09
143 0.351264729693876 0.07868065660279819 0.3909725077843177 173 123 86 0.24
144 0.3514664392855213 0.07908172995678747 0.3898590903351077 185 111 67 1.6
145 0.3721616263193934 0.08286009749106055 0.4021717695502124 34 21 18 1.23
146 0.4120231685644146 0.09167328414559875 0.3876511922697156 167 132 93 0.62
147 0.460767417530303 0.08719065715001995 0.3642209480250278 162 130 100 0.4
148 0.24782691032041 0.09422098566618925 0.4934789389825008 82 46 24 0.51
149 0.3462698418702562 0.09386903354596185 0.3928280507895355 185 142 100 0.7
150 0.3601541948311057 0.09782712931365706 0.400185958318917 38 23 15 0.22
151 0.4019199342778941 0.09679989092888636 0.3796321672282744 66 50 36 0.74
152 0.4922465852705512 0.09617153043593474 0.3935742645711496 124 92 68 0.48
153 -0.2128121028101241 0.1570129813168356 1.097257950959475 156 156 142 1.97
154 0.1947781392939222 0.1102453909856902 0.5632585096874009 60 36 22 0.62
155 0.2020168030235074 0.1135007704158316 0.5420961732295019 157 124 96 0.39
156 0.3081406535538158 0.09320432376246601 0.4011221210444519 114 75 42 1.09
157 0.3049388895635547 0.09465017533614911 0.4098703747562656 122 82 53 0.11
158 0.3409417195992725 0.09882024265442058 0.38553578940375 93 57 32 0.65
