# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 58
8 RADIAL 1140 760 2809.5399192539467 570.0 380.0 -0.32877683514995665 9.347415819923329
315 RADIAL 1013 767 2525.026032734986 506.5 383.2972972972973 0.4044721807447496 3.3846731330109954
420 RADIAL 760 1102 3629.6052739851693 380.0 551.0 -0.049983267418478715 -0.0008622046029761774
427 RADIAL 1013 767 2767.8163056138037 506.5 383.2972972972973 -0.0073488013119620285 -0.0007938340690172906
343 RADIAL 760 1013 1407.5101697722826 380.0 506.5 -0.15198467762902856 2.3858273126062324
506 RADIAL 1013 760 1392.0316820646997 506.5 380.0 -0.08886152320472115 -0.007897228735226297
268 RADIAL 1013 760 1035.8423994643035 506.49999999999994 380.00000000000006 -0.001714956790711816 -0.0012395181476550104
314 RADIAL 760 1140 2534.4711374423955 380.0 570.0 -0.015292634455917001 -0.000734999334519459
89 RADIAL 996 754 1555.0765942538694 498.0 376.8648648648649 0.19942046685918044 0.004902274976563221
521 RADIAL 1013 760 907.8710386959058 506.5 380.0 -0.1005996955280101 -0.051390120008419644
39 RADIAL 1013 767 1147.8894196181743 506.5 383.2972972972973 -0.1048281311659038 -0.013913747800378065
361 RADIAL 1013 767 971.7285622534617 506.5 383.2972972972973 -0.09428790897751711 -0.011183168193878167
528 RADIAL 1013 767 1173.964976437725 506.5 383.2972972972973 -0.06106540156301025 0.004498494309579384
20 RADIAL 1140 760 1671.9290942768898 570.0 380.0 1.1285130779586718 -9.753461020730647
281 RADIAL 1013 760 2452.846207593899 506.49999999999994 380.00000000000006 0.4063898117684316 0.45594074198808254
14 RADIAL 1140 760 1799.5091346020256 570.0 380.0 0.30193912736174777 -20.378533975825913
426 RADIAL 1055 760 3355.158507318849 527.5 380.0 -0.5397590537777596 23.021782093079686
208 RADIAL 1143 760 1668.122398589956 571.5 380.0 -0.00456498027478347 0.0018659035913482632
350 RADIAL 760 1013 3259.0693235228155 380.0 506.5 0.01193543159131366 0.3801112561423556
523 RADIAL 1013 760 898.270801657917 506.5 380.0 -0.1287628047503905 -0.039564274679239814
12 RADIAL 1140 760 1239.917164443647 570.0 380.0 -0.0010807010159297416 -1.1093068054082208e-05
369 RADIAL 760 1013 1215.999438695715 380.0 506.5 6.190514152829501e-06 5.954943982829637e-08
17 RADIAL 1140 760 1488.334933036308 570.0 380.0 0.03829426020380083 0.0020939850220407
423 RADIAL 1486 760 1633.7243752460886 743.0000000000001 380.0 -0.12869075876188582 -0.025718422432282836
341 RADIAL 1013 760 1021.5300479043755 506.5 380.0 -0.04426530750176193 -0.007639175853473625
152 RADIAL 1352 755 1450.4610036253246 676.0 377.30232558139534 -0.01469075749852234 -0.001449195959534708
322 RADIAL 1013 760 753.6449148764378 506.5 380.0 -0.006283130585972989 -0.0016196662705706647
77 RADIAL 1013 760 1007.354585455806 506.5 380.0 -0.5177571464405287 13.443387507658533
143 RADIAL 1580 777 1921.3603862445477 789.9999698003146 388.4444294388961 -0.051511082925675446 -0.014314039231130215
219 RADIAL 760 1140 1109.6749244075122 380.0 570.0 0.03016072635461249 -0.0010083538704656909
126 RADIAL 797 760 637.5708108145936 398.5 380.0 0.0008435529897611692 0.00017354481168701426
25 RADIAL 1013 767 970.227080524611 506.5 383.2972972972973 0.008895622755844207 0.00028838765064183514
386 RADIAL 760 1013 2152.091278696419 380.0 506.5 0.0033260868063344344 0.0001273948810089398
189 RADIAL 1013 767 1332.1825401372637 506.5 383.2972972972973 -0.13817338239408794 -0.009768912038264877
