# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 95, mean track length: 3.71
0 -0.05122172552159876 -0.3106967332043734 1.21101168017988 119 112 120 0.54
1 -0.03004505217521047 -0.3213474153832584 1.211526559228268 112 104 103 0.49
2 -0.09926779444324196 -0.1055900955026783 1.106375351657398 69 64 70 0.58
3 -0.04147145901051452 -0.1170333233540573 1.124162520484009 129 111 94 0.81
4 -0.2870997556966637 0.3428725844552387 1.053650371789193 59 54 44 1.04
5 -0.003985402346943112 -0.3255313593655253 1.24226561182759 86 84 80 0.34
6 -0.04950770665390747 -0.257561187952237 1.183580655824155 80 80 89 1.13
7 0.06573652212292558 -0.09099831682213411 1.206175879662704 134 117 100 0.35
8 -0.05239299489851135 -0.07497077215409578 1.093609535088483 70 55 50 0.53
9 -0.04347307126289335 -0.07094351109344611 1.104703877643112 130 114 95 0.5
10 -0.1529923062729986 0.008701694869579064 1.074154686279609 177 178 178 1.55
11 0.04835158334608791 -0.07184116596131897 1.182262492838375 124 103 84 0.42
12 -0.05664435801505074 -0.3112819790235003 1.204721896270756 196 194 196 0.79
13 0.006572157715574511 -0.1314349339404668 1.168026388072134 62 45 37 0.37
14 -0.009191819698196269 -0.3504204544865964 1.249665866815936 219 224 227 0.65
15 0.08093972654357773 -0.02515411767191213 1.216629257855582 85 74 70 0.33
16 0.08093972654357762 -0.02515411767191213 1.216629257855582 85 74 70 0.33
17 0.001194908605290257 -0.3270511725724985 1.241984706517185 198 213 224 0.28
18 -0.05516600980779185 -0.3088015653469127 1.208001980800317 92 84 81 0.72
19 -0.04596473975836757 -0.07200940469833311 1.099192099710253 61 46 39 0.48
20 -0.0130086263065271 -0.3567075627049865 1.248076530605507 80 68 65 0.46
21 -0.01617793759299302 -0.3340902030106875 1.234507030617876 220 225 225 1.0
22 -0.04917937174572429 -0.3141235458627486 1.208859585503418 215 220 224 0.49
23 -0.01406769828666421 -0.3425244088669128 1.245753150102338 85 68 56 0.64
24 0.01480912460650352 -0.2716311689605607 1.269472568544254 178 193 203 0.71
25 -0.06020260741020467 -0.3020754507372932 1.206080880368759 172 176 175 0.74
26 -0.01409956629179243 -0.09129220176827746 1.134128148443533 54 43 37 0.46
27 0.01588994267319876 -0.08000910743968709 1.152568489886203 111 97 82 0.44
28 0.07186606891435743 -0.07562754860022843 1.223082451366267 100 93 94 0.46
29 0.07186606891435743 -0.07562754860022843 1.223082451366267 100 93 94 0.46
30 0.02312980560803835 -0.04273123155325838 1.138324223765743 129 106 84 0.5
31 0.02065682521037737 -0.2950507891557486 1.264992534476326 133 121 128 0.34
32 0.0221441327333427 -0.2927694017370683 1.267938426383702 210 222 228 0.37
33 0.05735656507624398 0.0455737313480172 0.6123586492099469 77 73 62 1.03
