# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 59
32 RADIAL 1140 760 1224.0473314613507 570.0 380.0 -0.016807049766230847 -0.004848768876220163
322 RADIAL 1013 760 752.8398076424056 506.5 380.0 -0.07874373160163343 -0.008709772914148194
386 RADIAL 760 1013 2155.5901113086056 380.0 506.5 0.01808012100132905 -0.00048316081073703903
39 RADIAL 1013 767 1141.1780619613896 506.5 383.2972972972973 -0.06494384036690595 -0.0017273671590992087
523 RADIAL 1013 760 907.2402675931891 506.5 380.0 -0.1512886220558262 0.051012233530062914
506 RADIAL 1013 760 1415.2695156781035 506.5 380.0 -0.14432462893336875 0.49203722187682913
287 RADIAL 1351 760 1189.6332297828712 675.5 380.0 -0.12744795887393304 -0.02291644101649825
152 RADIAL 1352 755 1453.05319241069 676.0 377.30232558139534 -0.06662004244824521 0.02366735675149314
314 RADIAL 760 1140 2535.4643783347797 380.0 570.0 0.01645625276419885 0.0002514024310291205
382 RADIAL 760 1140 1580.081692498405 380.0 570.0 0.10658909527798768 0.01041197522330151
342 RADIAL 1147 760 1288.699380225045 573.5 380.0 -0.058426466835385965 -0.02865802767665491
37 RADIAL 1147 760 1701.6868615930227 573.5 380.0 0.2110524458327009 0.03148641594701707
189 RADIAL 1013 767 1329.836740759626 506.5 383.2972972972973 -0.1319717919485645 -0.0075026803264284245
123 RADIAL 1013 760 1797.9079326091828 506.5 380.0 0.044964562977909066 0.0036780221479607656
61 RADIAL 1838 777 1556.6411418194061 918.9999838935007 388.4444387114576 -0.06637388096842504 -0.04442337694191855
343 RADIAL 760 1013 1433.2824613727034 380.0 506.5 0.1002155467571389 0.027592942840398895
423 RADIAL 1486 760 1635.0160677898994 743.0000000000001 380.0 -0.09886792732794768 -0.003804110136079019
90 RADIAL 760 1013 2257.012578847105 380.0 506.5 -0.2943269995812216 2.7185184072092734
53 RADIAL 1142 760 1169.9013456750547 571.0 380.0 -0.05915001797382925 0.0006509547290658818
258 RADIAL 1140 760 1062.1146876085797 570.0 380.0 -0.0033878806435055546 0.03672933108111605
457 RADIAL 1140 760 1069.9021947075535 570.0 380.0 -0.14457456871570892 0.009329178869756606
208 RADIAL 1143 760 1667.7298120955197 571.5 380.0 -0.024359487429196587 -0.00523174474529559
115 RADIAL 1441 753 1323.5316174290845 720.5 376.625 0.32433755387406576 -0.7831704413410232
514 RADIAL 1013 760 1291.181600026065 506.50000000000006 380.0 -0.019788255600323525 -0.000749438100570969
487 RADIAL 1144 760 1479.5786364486341 572.0 380.0 -0.04822745407969814 -0.011847224371682067
329 RADIAL 1140 760 1241.6166238649323 570.0 380.0 -0.03538484576527561 -0.002605404862873744
330 RADIAL 1013 767 792.8034102520373 506.5 383.2972972972973 -0.016110140224868393 0.020748274429084584
461 RADIAL 1013 767 1506.7609084332917 506.5 383.2972972972973 0.07370909253591186 -0.01298166647123043
479 RADIAL 760 1013 1148.1516171589508 380.0 506.5 -0.013577619713382864 -1.0125327950532221
46 RADIAL 1386 774 1157.2016251917107 692.9999999999999 386.79069767441854 0.053618114811642054 -0.2966692557880507
94 RADIAL 1013 760 1563.4468850665896 506.5 380.0 0.2787913218135782 0.01920899908955252
400 RADIAL 1013 767 1421.5027441816458 506.5 383.2972972972973 -0.09340561797471936 -0.01071957812951547
425 RADIAL 760 1057 2353.1058491353565 380.0 528.5 -0.23209885657454585 1.6024650303377173
143 RADIAL 1580 777 1885.40013144754 789.9999698003146 388.4444294388961 -0.17827570030626866 -0.062051564555547965
89 RADIAL 996 754 1557.9885805381805 498.0 376.8648648648649 0.021599656332720332 0.00031056627033473324
