# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1584, mean track length: 5.45
0 0.07046166960926376 -0.3178279019635615 1.104287985777948 88 81 93 0.29
1 0.07041915881921731 -0.3178348979642728 1.104353396224885 94 86 90 0.3
2 0.09821031370637986 -0.2650688832360752 1.113398111939545 114 95 83 0.45
3 0.01797033367257361 -0.2645336842944376 1.075258171913446 181 169 144 0.46
4 0.01533609003121905 -0.2563026915675283 1.075433968938494 180 179 173 0.43
5 0.07437013845118987 -0.2353308932640453 1.053386120397478 111 80 56 0.24
6 0.05251039270894514 -0.2153966324606189 1.021705874188399 102 72 52 0.24
7 0.0649941004839259 -0.2122696246671868 1.03201792907333 105 69 49 0.2
8 0.07830289038871108 -0.2148016775026901 1.039876934385102 131 101 76 0.17
9 0.07986253215734065 -0.216754942485542 1.042344804834059 75 44 33 0.15
10 0.08225458886095052 -0.2161079746044312 1.044397958555521 78 42 29 0.16
11 0.07254852509318907 -0.2020957909652864 1.027662088002557 128 96 68 0.31
12 0.07875283731020666 -0.1957521320458191 1.030803452986098 126 99 76 0.2
13 0.08458908132281923 -0.215542769246315 1.046690166214502 75 47 38 0.16
14 0.08455518830082079 -0.2155587181921615 1.046815334690317 70 47 39 0.14
15 0.09829131009407328 -0.2013453124076645 1.053550809709625 77 48 37 0.28
16 0.1058246503335687 -0.2200684635034511 1.082397215579264 188 189 190 0.55
17 0.1040034312051931 -0.2071659363342103 1.058861171911235 108 90 76 0.31
18 0.1163821926402163 -0.2076016884579592 1.070151536283201 95 79 75 0.32
19 0.1187603370583009 -0.1973681980127974 1.073042851476772 217 196 173 0.51
20 0.04171442892339838 -0.1616829758705987 0.9868322339268552 68 46 37 0.15
21 0.1132185158891661 -0.1894565737583589 1.059473551280598 86 56 42 0.21
22 0.1290647541662477 -0.1658129785925949 1.061828053197529 209 212 213 0.44
23 0.1307491125999959 -0.1617720786124063 1.059662967333324 152 128 98 0.28
24 0.06834923397956977 -0.1551659419628559 1.003430143398265 83 48 33 0.21
25 0.09231702559015101 -0.1418181710568554 1.009004846481891 111 70 59 0.32
26 0.08779346420269261 -0.1385904167304611 1.006264755940939 104 64 41 0.24
27 0.1358335353959089 -0.1412121385886588 1.054014724171134 150 128 109 0.29
28 0.03686407095525063 -0.1285592267194749 0.9627919889447908 121 88 64 0.23
29 0.1005094165523612 -0.1135650581288185 1.006464070757038 122 77 49 0.21
30 0.1185321813257112 -0.1307742107812057 1.033492251414826 78 52 41 0.22
31 0.1194770338300763 -0.1280152656283373 1.031886821819169 122 93 72 0.22
32 0.1233826936636537 -0.1123944396946862 1.027589886989973 121 92 70 0.25
33 0.1384743422348398 -0.1264996357471638 1.050875141761614 138 118 105 1.01
34 0.08435441145172237 -0.09784417971156906 0.9816619540063145 129 94 65 0.32
35 0.09367076444064279 -0.0938781946374119 0.9871240168484969 114 71 44 0.27
36 0.1043554707933146 -0.09314656321052384 0.9953303084573443 125 90 72 0.29
37 0.1239507929501227 -0.08766621497098276 1.01440263971409 151 123 95 0.23
38 0.03019417024798396 -0.09020876156515567 0.9385489516761217 139 104 76 0.31
39 0.02723974379094177 -0.07145872309305012 0.9252897257309822 140 112 88 0.32
40 0.05330438669410609 -0.08462063086292052 0.9526077353449079 154 113 86 0.17
41 0.04324073707060599 -0.07249364062237798 0.9392638909101224 142 106 78 0.34
42 0.07263251086891931 -0.07626858194469871 0.9642876061092865 107 69 54 0.25
43 0.08470458567861819 -0.07781963995335869 0.9722625922555709 135 105 83 0.48
44 0.1079248843361363 -0.07150711224282588 0.9858015638798855 128 102 78 0.34
45 0.1185164596494304 -0.08226769215393881 1.012896235643796 103 72 53 0.37
