# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 3033, mean track length: 4.73
0 0.04841373375221225 -0.3140892783236052 1.105478867683133 99 104 111 1.24
1 0.05758019105651768 -0.2466328824923044 1.056047676959825 76 53 49 0.58
2 0.007684725748608012 -0.1948167460322293 1.038624237307333 101 91 77 0.23
3 0.0582450716414713 -0.1851513359614734 1.0309827747278 73 44 25 0.34
4 -0.03516713920826708 -0.1844066833861775 1.104459782639536 156 157 159 1.6
5 0.1041438347675511 -0.1369537382784442 1.043756897147452 85 52 30 0.41
6 -0.05044173256564599 -0.1446834979829617 1.085579236255674 91 76 71 0.34
7 -0.04756383450148594 -0.1362277665814206 1.054816470499239 188 191 188 1.24
8 0.06587557764835195 -0.1286006599317441 1.008033804090062 48 38 33 0.16
9 -0.1112595389333537 -0.03005744825812275 1.070388555818317 174 185 194 0.29
10 0.01089890827749496 -0.08035959397138098 0.9409351953775201 131 68 43 1.75
11 0.07126282501920211 -0.09179525527862206 0.9874750916662117 72 51 38 0.22
12 0.01536302872007766 -0.08143998596957742 0.9424851983591976 118 80 53 0.36
13 0.02983793718311123 -0.08789283599022717 0.9456589159013377 70 45 24 1.0
14 0.1155619387950978 -0.1501995151654912 1.060651889956408 190 186 191 0.51
15 0.02963009857161192 -0.03594220944233024 0.9230432680890265 77 51 36 0.26
16 0.02938024394474159 -0.03584191532797124 0.922878870144744 120 82 59 0.23
17 0.1301067715369071 -0.1038063050501185 1.047619135790665 208 194 165 0.23
18 -0.05070191969306348 -0.0337817605404382 0.9683962310511732 115 91 68 0.47
19 0.01011515423247189 -0.03843652270352262 0.9174601210055454 115 93 78 0.2
20 0.08225942270791886 0.007088152590398508 0.8261074830353824 105 63 37 0.39
21 0.206946342832352 0.03863013771192125 0.9113106997524937 140 112 82 0.67
22 -0.01447103201855504 0.06741033405996252 0.8494722901009325 123 79 47 1.4
23 -0.07968490349390989 0.1201295038285303 0.9066072117647467 102 72 50 0.49
24 -0.1803449086164127 0.1686860217867768 1.0178232692969 198 181 163 0.84
25 -0.1876295286174057 0.1708666533864939 1.027927487303866 124 93 85 1.15
26 -0.1863067959664788 0.170547170679988 1.025182461647653 99 87 101 1.21
27 -0.08630734878347601 0.189595820827017 0.891103381696103 96 73 56 0.38
28 0.0476346573869475 -0.2438060282757956 1.055165238470553 103 81 59 0.55
29 0.05922506265217553 -0.2314667701382004 1.059792126192267 106 90 75 0.55
30 0.04531947524417013 -0.1991517950898077 1.028425620702149 85 58 41 0.36
31 0.07239179876232049 -0.2107660671633708 1.053402079718066 96 78 56 0.36
32 0.03516796626549656 -0.2102894856663038 1.026949731987181 77 51 35 0.33
33 0.06479315780306194 -0.2047593395807635 1.043254246403322 91 69 55 0.37
34 0.09427426652767334 -0.1780010272004746 1.055804684083696 95 64 47 0.29
35 0.09808756813336617 -0.1768603799059992 1.059186294136776 82 53 38 0.27
36 0.09339565529597638 -0.1689385735280365 1.047432738482865 115 83 56 0.49
37 0.04157463890630952 -0.1589454753688015 1.00206677293871 140 129 115 0.31
38 0.03607749144308003 -0.1558275616779914 0.9993791065787231 67 36 22 0.36
39 0.04915315140948606 -0.1524808215874646 1.007341587939938 61 44 34 0.28
40 0.0767453100226293 -0.1462634438641474 1.018941342012081 84 54 36 0.29
41 0.06719852985166974 -0.1179205359946585 1.002124730870926 175 130 91 0.16
42 0.05670738072597781 -0.1128673206150977 0.9908036998910866 166 127 89 0.24
43 0.0951509266190258 -0.100670230697428 1.015894099096114 76 55 47 0.42
44 0.03993692437350604 -0.09528265130814782 0.9706475206838395 83 56 46 0.14
45 0.05963522028615753 -0.09086309617106944 0.9824690923416218 86 54 32 0.36
46 0.07897581747984117 -0.09414606850498665 0.9927877281680441 117 88 65 0.6
47 0.09945830099886388 -0.08066951498772185 1.010094203873884 74 49 37 0.74
48 -0.0804060194660835 -0.08295776420848895 1.061623267280539 88 69 60 0.09
49 0.05776714919903558 -0.04400080324128031 0.9451529670892312 109 63 41 0.61
50 0.06877201742572814 -0.04598662014359446 0.9554716249730503 66 48 37 0.58
51 0.04655449612863793 -0.03333283174060132 0.93528959395133 55 38 30 0.5
52 0.04796790658033057 -0.03283872444579255 0.9391662839160962 112 54 26 0.85
53 0.1016394344834401 -0.03101344926103009 0.9333109237532192 124 80 53 0.53
54 0.0220576222952843 -0.02915624532332938 0.9166595111287593 107 73 50 0.57
55 0.02987088907882174 -0.01569594467341802 0.9110707789905382 136 97 70 0.34
56 0.1054430490901852 0.02284842085597915 0.8401557443963389 145 91 44 0.75
57 0.004754186895803758 -0.00559823015696107 0.9041248977744371 127 100 79 0.62
58 0.01864624614564903 0.001516479388520826 0.9003036237134375 109 72 39 0.3
59 0.01706709027291142 0.002973110810699259 0.8985943708785263 172 139 97 0.4
60 0.09905542369224296 0.001482700476644894 0.8380828422983039 119 82 56 0.27
61 0.1319782372406298 0.01134219551023122 0.8613218691184027 124 86 51 0.35
62 0.1841715747948252 0.0327432980256924 0.8931908515199215 84 50 35 0.45
63 0.1481672595689809 0.05345786932448889 0.8494193328861323 65 40 25 0.86
64 0.1579002600068589 0.06007288031961985 0.8554850266581678 69 42 27 0.59
65 0.1186796456240916 0.05666595722060186 0.8385057414030143 81 53 38 0.82
66 0.1261063653453789 0.05909562866835483 0.8417409587865182 125 92 62 0.55
67 0.1271479117304973 0.06309051784690857 0.8412755485771338 109 75 48 0.52
68 0.1334973916322159 0.05963104583128892 0.8403751619988519 93 51 26 0.45
69 0.1307661840006978 0.06395852851860732 0.8411667611544843 73 47 29 0.33
70 0.1330947434067915 0.06640468615020931 0.8398882250634391 111 72 49 0.49
71 0.1542012961304274 0.06459537230961911 0.8546846807547822 148 112 74 0.58
72 0.1569527032135398 0.06574849856044743 0.8561753538885858 62 44 33 0.43
73 0.1182707031636969 0.06935000346037841 0.8333393373318155 175 95 59 1.49
74 0.1068337211027154 0.08077466466813141 0.8257262797196071 111 83 65 0.58
75 0.1082310326336416 0.09937109079959361 0.8162584379998229 123 82 52 0.32
76 -0.002065068069178499 0.1043418256471284 0.79663997238837 41 27 24 0.49
77 -0.1737495756609984 0.1262346130895907 1.033217935370981 48 37 33 0.46
78 -0.1636915282753435 0.1335608544171891 1.020575122385294 79 54 41 0.6
79 -0.05354313082417006 0.1263656122381601 0.8858312183914357 128 104 85 1.22
80 -0.1776183358764114 0.1582491011035917 1.027287272266225 170 156 136 0.45
81 0.1964778729499002 0.1121048192123956 0.550255919481582 52 36 26 0.84
82 -0.02461208336130838 0.1702701477292429 0.8173148169647776 58 42 31 0.38
83 -0.1362304372610091 0.1950560104483244 0.9424094424938628 99 52 24 0.6
84 0.0633048791671964 0.1661822864112461 0.7072948349208595 96 71 56 0.51
85 0.07047776617967305 -0.279957506773227 1.069783022918273 165 183 199 1.04
86 0.06901666075801516 -0.273059824413873 1.067204287121939 80 63 50 0.27
87 0.04237022163562298 -0.233233124463566 1.04706544489976 80 60 47 0.91
88 -0.0009104068623864148 -0.2293722942673901 1.091691690265022 83 76 75 0.49
89 -0.00963899257060874 -0.2250224568373804 1.100031428984189 226 236 237 1.37
90 0.0425424457005823 -0.2105159838430383 1.030489050067282 95 68 49 0.34
91 0.03840251686147367 -0.2030124530512691 1.024559635386684 129 97 67 0.58
92 0.05756658758992672 -0.1954591832995826 1.031805884815148 91 64 48 0.57
93 0.1093877863417457 -0.1809801527337485 1.069073486078968 208 208 208 0.46
94 0.03312175712865817 -0.1748601476340302 1.006738762641335 121 79 60 0.37
95 0.03787073444154654 -0.1822858550746344 1.012671676456045 95 62 46 0.6
96 0.05710952203769359 -0.1771979104503168 1.023349404963078 101 69 46 0.44
97 0.02951770799897657 -0.1682792323986345 0.9990374625071071 115 98 82 0.56
98 0.03506386648439164 -0.1635617197572128 1.000786597239877 97 66 45 0.54
99 0.04028593146451054 -0.1624673551916546 1.004534052080826 96 62 43 0.47
100 0.04048317329827222 -0.1623380200252687 1.004546568238073 92 71 53 0.34
101 0.0603816767380555 -0.1593444197675626 1.016305965655957 107 86 68 0.21
102 0.08826988833171356 -0.1411889386825054 1.032615824544786 95 74 59 0.47
103 0.1046329843210612 -0.1440443503079327 1.04265203616474 85 57 35 0.73
104 0.03697618190369778 -0.1439844929648373 0.9909665784265266 102 65 39 0.38
105 0.08529114724701514 -0.1314874185081797 1.022779201762757 82 62 49 0.34
106 0.03570215653935116 -0.1246181744920469 0.9796734723232957 80 52 37 0.47
107 0.07500644285862679 -0.1169695603196532 1.005648622994126 117 92 71 0.73
108 0.1186964509989221 -0.1126313672746093 1.045236701954507 95 72 55 0.63
109 0.07494923612289173 -0.09012370999755288 0.9889073799344575 83 52 31 0.46
110 0.05897952238905169 -0.07882812116802211 0.9692066123633797 99 63 43 0.54
111 0.01150376119766827 -0.07141820308852537 0.9353334547366728 105 68 49 1.1
112 0.01147867932163016 -0.07120093720943396 0.930655223808566 98 71 52 0.79
113 0.02881121329190617 -0.06916346601079701 0.9452253256358564 155 116 78 0.55
114 0.03223262978479846 -0.0656504946171456 0.9451320922897471 87 47 29 0.28
115 0.04127136323351943 -0.06577598940511487 0.951848328169644 119 90 70 0.51
116 0.04199943053699939 -0.06070519308911136 0.9506305275067478 139 112 92 0.52
117 0.07053988728437299 -0.06855796509437101 0.9749709814939157 65 48 35 0.25
118 0.1226582131433049 -0.04478451597713716 1.005857581972933 132 105 79 0.4
119 0.03343900720808113 -0.05993709310191984 0.9427037120339105 109 76 52 0.52
120 0.08701917299604989 -0.05111272428636487 0.9656786441264719 100 65 40 0.2
121 0.1525361609192257 -0.02911477167576894 1.026279358600093 112 90 82 0.42
122 0.1035667270927717 -0.03559571295542689 0.9346283275959638 118 79 54 0.34
123 0.1069270543426151 -0.02944756497854741 0.9352362508919686 98 60 42 0.57
124 0.02782525102354838 -0.02758622179786833 0.9195747246676947 93 62 43 0.39
125 0.002329099802865664 -0.02472724541328863 0.905622339359513 97 64 45 0.4
126 0.004476195812540773 -0.008077631270654806 0.9039137002170669 86 54 33 0.44
127 0.003858332302289269 -0.003783747563164814 0.9042661017337504 83 57 40 0.38
128 0.1251204119488122 0.01036667599121456 0.8536790550847563 129 88 52 1.0
129 0.2053969043747759 0.02679265436692222 0.9147141146356136 108 91 81 0.15
130 0.207374112160192 0.0313635560926264 0.9126782975402744 143 129 112 0.85
131 0.187233044636839 0.03724413458066476 0.8939496215430244 115 72 36 0.44
132 0.2016073758872036 0.03816180551408182 0.90806682931187 95 63 41 0.45
133 0.129854561235663 0.03319470647124347 0.8496260698534864 174 128 86 0.97
134 0.2014582352760441 0.05001459814950635 0.9020836156205548 117 87 66 0.5
135 -0.13514307856935 0.02951909119172782 1.059487339599512 218 223 226 0.39
136 0.09334872737997391 0.06279769093008918 0.8190639639686029 118 77 48 0.52
137 0.08662089130891104 0.06963210121060408 0.8154239878548132 62 36 21 0.25
138 0.09005507519210387 0.07797228374351985 0.8132457822696416 99 58 33 0.32
139 0.09005791373559358 0.07799664386025877 0.8134480750817715 107 60 32 0.32
140 0.06629182308834602 0.07599326376683578 0.7365290168483646 96 65 41 0.46
141 0.06648950486899052 0.07612048003252857 0.7354046660311718 94 69 47 0.48
142 0.0670364609812617 0.0787666745715786 0.736617374859947 59 29 19 0.62
143 0.08578162673665635 0.09677698343664121 0.8084460407153818 116 79 45 0.53
144 0.1084191895956523 0.09421078106259741 0.816381972563382 120 90 64 0.2
145 -0.1803967962737428 0.1205393243999736 1.035665017646987 145 110 83 0.58
