# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 3000, mean track length: 5.29
0 -0.01509393091022082 -0.2831074975765707 1.11228560057838 179 179 167 0.45
1 0.02305525163927291 -0.2692742526583703 1.090598395430024 60 45 34 0.27
2 0.002379373149601904 -0.2188334958606262 1.061517218892633 137 113 85 0.38
3 -0.0261497489543735 -0.2435431725100234 1.124450798279861 161 174 176 0.59
4 0.09768101489448067 -0.1667659369762057 1.095265069898145 120 96 100 0.26
5 -0.09766952708954335 -0.03602145713653181 1.030850545463843 103 70 46 0.17
6 0.1235378509504342 -0.06806019461074009 1.067005565990593 109 80 65 1.04
7 0.1947918985150118 0.02554324525171462 0.938760316954192 210 218 219 0.55
8 0.05133124783991749 0.03720550396603275 0.9395315267711133 75 44 31 1.48
9 0.287839080447911 0.04738227768564925 0.4371712427981247 170 181 186 0.33
10 -0.2202981427410945 0.1916466556685771 1.084039525392364 157 165 161 0.79
11 0.1590232440918166 0.11458555284564 0.5977652986046029 52 36 27 0.3
12 0.242994630975598 0.1043761906787712 0.4863227591990422 55 40 31 0.74
13 0.09312977509817422 0.1603953375323356 0.6666888857855171 57 35 21 0.27
14 0.003332030563769295 0.1907805389521706 0.7811922352066027 56 33 26 0.33
15 -0.006835926155432381 -0.2627849337205477 1.099861646967636 72 51 37 1.05
16 0.05377196380002702 -0.224135328260516 1.084295658001675 89 65 47 0.54
17 0.07547084278320848 -0.2161702997556988 1.103795336495569 128 88 56 0.41
18 0.07610093358944292 -0.1917294619770305 1.089202100822985 93 68 51 0.34
19 0.04251308561045208 -0.1007288154095026 1.008940655234072 72 55 44 0.41
20 0.0827057480414547 -0.09082817176119494 1.037757963749404 71 45 34 0.75
21 0.1307239842915265 -0.05707967858051104 1.062893098528158 134 120 122 1.0
22 0.1212905945514628 -0.0466112236207472 1.048438909245109 95 63 46 0.41
23 0.09857227640399158 0.07849416156173042 0.8380810606700169 113 85 58 0.8
24 0.05295390412101952 0.05650821743946725 0.754955990385979 131 74 53 0.2
25 0.09621941700319636 0.09442300223870551 0.8349425503888417 131 88 56 0.58
26 0.01178283668158731 0.1149755172649586 0.7952204425375498 105 86 71 0.59
27 0.2128758909684446 0.1036033321893207 0.5287315150323399 62 41 26 0.33
28 0.2138606008213795 0.1225708707334826 0.5202721729948441 110 83 59 0.42
29 0.03347983656149356 0.1507511974024817 0.7522170925037199 104 73 53 0.66
30 0.2694898469359687 0.1372084448707298 0.440850170917942 101 76 52 0.34
31 -0.009894499696173176 -0.2888806112824872 1.108964639668431 98 78 70 0.28
32 0.02156905702270751 -0.2500115154413121 1.080202890606489 149 134 113 0.44
33 -0.009889305199730858 -0.1895900990158038 1.122611895983499 100 62 40 1.72
34 0.02221835334505917 -0.1739593682066961 1.032806422057668 70 49 43 0.26
35 0.02258477547923732 -0.1736095645423406 1.031778708819663 67 55 50 0.27
36 0.03006195988442451 -0.1288636321074889 1.012371599193212 128 98 72 0.22
37 0.09730602151941126 -0.09238022785934569 1.051186152958766 114 82 59 0.28
38 0.005943841685659867 -0.0929657654062533 0.9719313972581838 108 76 52 0.52
39 0.1047028176810009 -0.07205595609913575 1.043928076192901 77 52 43 0.87
40 0.1086138573038454 -0.1319465412596929 1.086860996548812 211 217 219 0.43
41 0.1426431360604949 -0.007700579293672704 1.047593039387538 185 185 195 1.15
42 0.1916102460011145 0.04102216894233965 0.9333014675278439 102 78 67 1.06
43 -0.178243239597461 0.06271846191330845 1.082715251033939 219 224 213 0.36
44 -0.1179654597994728 0.06805330201551678 0.9797148970156926 65 37 31 1.03
45 0.05514012651613931 0.07158760319400148 0.7498577474424211 103 66 39 0.56
46 0.0556610605790625 0.07437216314564619 0.7515134090507567 70 40 24 0.38
47 -0.2060589011246282 0.166571639687096 1.064016664392925 59 49 46 0.6
48 0.04962480914964496 0.1285799459517573 0.7349843015261084 66 36 23 0.21
49 0.1598435503415198 0.1124273832062831 0.5945625339677352 62 46 35 0.46
50 0.1867738270125419 0.1073317125286578 0.5618033479860294 50 31 25 0.24
51 0.1873445824760241 0.1094173789256717 0.5601903895662848 112 86 62 1.37
52 -0.20526771064951 0.1862993157221336 1.05491110761501 73 61 55 0.29
53 -0.03111254675652531 0.1644360100818358 0.8454176879518656 64 46 31 0.41
54 0.02774841791375082 0.1744345479986341 0.7515760832978715 110 82 59 0.57
55 0.01402106757551846 -0.2973410508768192 1.119442792020208 107 93 80 1.51
56 0.06382005347716935 -0.2729834005081181 1.135505835341867 192 198 206 0.41
57 0.04280248625339311 -0.2564446103605272 1.086274807380216 117 90 69 0.68
58 -0.01680197262300898 -0.2558455702951694 1.111714026186798 84 65 73 0.73
59 -0.01703620387502047 -0.2557136811407473 1.110594403264657 88 66 74 0.63
