# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 52
354 RADIAL 1013 760 1039.1450614129674 506.5 380.0 -0.0592342784765781 0.01917025313520024
325 RADIAL 1352 760 1191.120833560546 676.0 380.0 -0.07479433276570481 0.06432358813799459
264 RADIAL 760 1013 1082.0694394845304 380.00000000000006 506.49999999999994 -0.13211918441496845 -0.038955096965719874
329 RADIAL 1140 760 1283.0798227203063 570.0 380.0 -0.06109888899617517 -0.01322883356830778
266 RADIAL 760 1013 1071.9313893700867 380.00000000000006 506.49999999999994 -0.10191848131719193 -0.0429761571356993
303 RADIAL 1157 771 929.8084940327208 578.5 385.6666666666667 -0.005021169814266075 -0.014634477469979909
404 RADIAL 1140 760 1616.6454140625024 570.0 380.0 -0.05966780256998511 0.2405586090374823
342 RADIAL 1147 760 1286.5056790212802 573.5 380.0 -0.01349858153195327 -0.0027316478077467855
32 RADIAL 1140 760 1214.2883204079706 570.0 380.0 -0.06036427413162684 0.03402704217625558
37 RADIAL 1147 760 1702.1821043331997 573.5 380.0 0.015554028116811792 0.0004558393012276655
132 RADIAL 1140 760 903.9204777876973 570.0 380.0 -0.08389957419593348 0.06280306693219923
348 RADIAL 1013 760 847.085403231951 506.5 380.0 -0.0550858031624071 0.004093489245762665
293 RADIAL 1013 760 1071.734226671475 506.5 380.0 -0.16476614914795482 -0.01404705902667906
71 RADIAL 1013 767 1149.167423031373 506.5 383.2972972972973 -0.06354137891596853 -0.13505650194208554
314 RADIAL 760 1140 2532.7356958301075 380.0 570.0 -0.023776729511112885 -0.0006627076656950739
179 RADIAL 1013 767 929.3095018401532 506.5 383.2972972972973 0.04368946096131586 -0.20726120508950055
154 RADIAL 1351 754 1077.885638530075 675.5 377.0232558139535 0.06910818022557981 -0.1029771177868146
258 RADIAL 1140 760 1073.9106933833534 570.0 380.0 -0.025450119712342976 -0.001173402214443712
295 RADIAL 1139 760 1247.6976710527915 569.5 380.0 -0.011338042022992142 0.0038861980801398097
382 RADIAL 760 1140 1592.6263202048094 380.0 570.0 0.06668153604475856 0.006908751913081751
287 RADIAL 1351 760 1178.461924615575 675.5 380.0 -0.08517594812167271 -0.013659401799840811
375 RADIAL 1351 760 1045.6596866082948 675.5 380.0 0.03580257381426493 -0.05890630745454941
106 RADIAL 1013 760 840.2530526934751 506.5 380.0 0.030361967742986273 0.00589404808537868
460 RADIAL 1353 755 1751.3923273886533 676.5 377.5813953488372 -0.036508240934599645 -0.0008707420017733579
47 RADIAL 1013 760 841.4767272115197 506.5 380.0 0.08057694671556764 0.015192349153380424
473 RADIAL 1600 777 1282.402608124695 800.0000241597501 388.44445596954 0.11844412140027843 -0.2660754431840858
483 RADIAL 1353 755 1198.4459128232847 676.5 377.5813953488372 0.04810012343376077 -0.22068945776464136
511 RADIAL 1140 760 907.3554920087964 570.0 380.0 -0.14231359350627065 -0.05534882723375245
372 RADIAL 1140 760 950.2615252696702 570.0 380.00000000000006 -0.15857890349640996 0.10926866639001717
341 RADIAL 1013 760 1029.0220237732215 506.5 380.0 -0.08739153659937841 -0.022583389710117346
510 RADIAL 1140 760 906.9341869018663 570.0 380.0 -0.11509195320616558 -0.014867849024091735
330 RADIAL 1013 767 805.4275336167664 506.5 383.2972972972973 0.0015543960803300026 -0.0037084898850805285
25 RADIAL 1013 767 968.261475534234 506.5 383.2972972972973 -0.1120457971630549 0.09785011397548274
361 RADIAL 1013 767 968.4161408509887 506.5 383.2972972972973 -0.11045998577586813 0.10280944635998597
309 RADIAL 1009 760 814.9267698359218 504.5 380.0 0.0173168189220999 -0.0067115806168851775
4 RADIAL 1140 760 971.426003813378 570.0 380.0 -0.1280382464655008 0.0018677757760629744
400 RADIAL 1013 767 1447.137426324863 506.5 383.2972972972973 -0.10598429681854123 -0.006579290624291783
152 RADIAL 1352 755 1476.8853657831248 676.0 377.30232558139534 -0.07549736199580696 -0.013442720569349111
46 RADIAL 1386 774 1160.2179633616504 692.9999999999999 386.79069767441854 -0.08765946307473872 0.0054534482188143656
72 RADIAL 760 1013 2196.061815071586 380.0 506.50000000000006 -0.050128780291897955 -0.0020173629714355765
520 RADIAL 760 1011 1218.3905672499511 380.0 505.5 -0.019436365794347422 -0.002112612308597383
336 RADIAL 1013 760 905.365770192245 506.5 380.0 0.03356052246261238 -0.09537715047561152
323 RADIAL 760 1013 790.0608063312002 380.0 506.5 0.10844098352630188 0.02150883533259839
317 RADIAL 1013 760 791.7496806552751 506.5 380.0 0.1431617222298586 -0.31891148339924263
322 RADIAL 1013 760 752.5142857142857 506.5 380.0 0.0 0.0
340 RADIAL 1013 760 1146.972073207846 506.5 380.0 0.07404797581288315 -0.2196503716285884
452 RADIAL 1351 754 1092.5681576891998 675.5 377.0232558139535 -0.017739914793489804 0.09527854950953381
522 RADIAL 1013 760 904.8716286375858 506.5 380.0 -0.12020012845884541 -0.007015285604227364
285 RADIAL 760 814 570.0943763886379 380.0 406.99999999999994 0.019093046944516943 0.0007849089717383343
319 RADIAL 1013 767 1054.2208532936158 506.5 383.2972972972973 -0.011514365548752466 0.01801921714674538
116 RADIAL 1140 760 976.8414588747647 570.0 380.0 -0.010791006469742733 -0.0003826658215649078
362 RADIAL 1351 760 810.0408011522443 675.5 380.0 -0.0006568356162176503 -2.1471113842094915e-05
