# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 47
483 RADIAL 1353 755 1194.5320403161552 676.5 377.5813953488372 0.08435121079541642 -0.25511744108184736
361 RADIAL 1013 767 954.5426577436696 506.5 383.2972972972973 -0.10585632372736385 0.09182817527682256
523 RADIAL 1013 760 902.905699273276 506.5 380.0 -0.15957283345866075 0.07197515676141537
400 RADIAL 1013 767 1440.8646829969289 506.5 383.2972972972973 -0.15553667422898884 -0.0077162655152244915
372 RADIAL 1140 760 925.8893993724139 570.0 380.00000000000006 -0.1472003910618623 0.11205510642368616
309 RADIAL 1009 760 808.0101116266316 504.5 380.0 -0.016713376701539943 0.02309544313360822
342 RADIAL 1147 760 1283.3575643563393 573.5 380.0 -0.01159400516430773 -0.006594616495404582
404 RADIAL 1140 760 1605.156796102204 570.0 380.0 -0.20608566147675988 1.4980741359496725
382 RADIAL 760 1140 1583.229344439354 380.0 570.0 0.050273837546102866 -0.0019255406000086182
506 RADIAL 1013 760 1393.388589073627 506.5 380.0 -0.08910401219026955 -0.0060756559925039715
329 RADIAL 1140 760 1278.9982049016453 570.0 380.0 -0.11612174000741882 0.191624557508727
348 RADIAL 1013 760 825.993438258798 506.5 380.0 -0.02622596461365989 -0.04529414480442094
341 RADIAL 1013 760 1030.9271161535205 506.5 380.0 -0.07819952200837059 -0.0334787853745237
386 RADIAL 760 1013 2152.799741973722 380.0 506.5 0.04650463752264087 0.0013149736509953955
457 RADIAL 1140 760 1072.3491158687686 570.0 380.0 -0.18113634849241342 -0.016261355720619795
521 RADIAL 1013 760 900.7933290887763 506.5 380.0 -0.13283306554882068 -0.01247320060982825
461 RADIAL 1013 767 1526.085673534538 506.5 383.2972972972973 0.15817906013221325 3.6648284418377832
314 RADIAL 760 1140 2534.635522354145 380.0 570.0 0.027939335241930662 0.0008243012659686091
479 RADIAL 760 1013 1137.6224224850957 380.0 506.5 0.1994746527167243 -5.656565860635512
322 RADIAL 1013 760 806.301065128919 506.5 380.0 0.2054104304980809 -0.5633898267853268
487 RADIAL 1144 760 1471.6704646117425 572.0 380.0 -0.0583948408225834 -0.006543428523112481
330 RADIAL 1013 767 793.5179194106685 506.5 383.2972972972973 -0.003069598788714202 -0.018156675712772147
425 RADIAL 760 1057 2384.415379449103 380.0 528.5 -0.8846725848081664 17.309442908485586
409 RADIAL 1140 760 1071.713652729386 570.0 380.0 -0.15730339560747883 -0.030007642216087368
343 RADIAL 760 1013 1447.8486097282887 380.0 506.5 0.0025935803842487347 0.0003520805580926461
317 RADIAL 1013 760 748.2659874923013 506.5 380.0 -0.03318508883266757 -0.13616515767419574
340 RADIAL 1013 760 1109.8207835435444 506.5 380.0 -0.1961702360926499 0.4058896283828758
323 RADIAL 760 1013 789.8935088088369 380.0 506.5 0.13016355868788676 -0.0682372412759438
311 RADIAL 955 760 815.4909874064729 477.5 380.0 0.021824951185100465 -0.0006040505292506312
354 RADIAL 1013 760 1036.4166173747715 506.5 380.0 -0.048872078548528486 0.002972887525678059
520 RADIAL 760 1011 1224.2137578221252 380.0 505.5 0.558189903698936 -11.203077402113818
319 RADIAL 1013 767 1039.7272819173845 506.5 383.2972972972973 -0.7004634784745827 3.14859403055536
362 RADIAL 1351 760 811.3248489629505 675.5 380.0 0.042862428591505734 0.004216978791088855
510 RADIAL 1140 760 941.517435885123 570.0 380.0 -0.06288066685397438 -0.10972415810752018
434 RADIAL 1013 760 1129.5608744570793 506.50000000000006 380.0 0.0627264083985281 0.009162595224616956
452 RADIAL 1351 754 1107.1942988278531 675.5 377.0232558139535 0.0409344093487839 0.007212027735630851
522 RADIAL 1013 760 905.7216565409592 506.5 380.0 -0.07638543467027975 -0.07421837086560601
336 RADIAL 1013 760 898.1508533767653 506.5 380.0 0.0626997337597501 0.019558595272492547
497 RADIAL 1140 760 1807.3244200179674 570.0 380.0 0.0 0.0
471 RADIAL 760 1351 1621.3333333333333 380.0 675.5 0.0 0.0
516 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
359 RADIAL 1013 760 144.7142857142857 506.5 380.0 0.0 0.0
424 RADIAL 1180 760 1296.589310829817 590.0 380.0 0.0 0.0
394 RADIAL 1013 760 810.4 506.5 380.0 0.0 0.0
428 RADIAL 760 906 625.297344899839 380.0 453.0 0.0 0.0
501 RADIAL 760 1351 1621.3333333333333 380.0 675.5 0.0 0.0
383 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
