# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 7432, mean track length: 6.62
0 0.03903604575430786 -0.3277825223189587 1.139730934223766 193 166 118 0.5
1 0.07234679591139437 -0.2161504999039379 1.088584118173597 86 64 53 0.3
2 0.02925016961730731 -0.1926250697171369 1.037138939204731 157 122 98 0.12
3 0.09459550264374383 -0.1318349182759767 1.064415318573526 79 55 41 0.28
4 0.09123522345350754 -0.0938858999377204 1.035367078782699 136 97 69 0.36
5 0.004206850865934642 -0.09241709650544647 0.9664724585475843 101 73 52 0.3
6 0.01791690609554841 -0.09945474397560318 0.9757661535306339 94 65 43 0.46
7 0.04542537535929636 -0.08255861764870867 0.9894835281629719 93 65 47 0.43
8 0.07957826785014521 -0.06713367892723689 0.9936569087780089 181 133 96 0.75
9 0.03960861357338752 -0.04908725544970689 0.9605732897982382 131 85 56 0.6
10 0.1850457849865486 0.07179710016686963 0.9073308480989326 72 39 22 0.32
11 0.3325772660261234 0.06808110475059485 0.3719529343288506 127 99 75 0.35
12 0.3348389006451509 0.06841958426184801 0.3728829031179175 89 65 50 0.66
13 0.446444009261641 0.07742768409115974 0.3630703581173287 103 70 40 0.32
14 0.4412372978510559 0.1322768061603794 0.3491770844632662 80 71 60 0.15
15 0.4453604170635428 0.1313818258747373 0.3526178806329867 148 120 83 0.94
16 0.44521806960201 0.1324312118733395 0.3555111321334159 63 47 34 0.78
17 0.445033697722928 0.133241583605135 0.3524741648781831 94 84 66 0.23
18 0.344587720750315 0.145285047246807 0.3755400146595036 62 48 37 0.3
19 0.06078570424492147 -0.2623147287427157 1.094593894536704 126 88 67 0.49
20 0.06164656016775105 -0.2539739953253979 1.095490318336352 58 39 33 0.91
21 0.03566838054544563 -0.2301069805656135 1.063742261404119 133 105 82 0.37
22 0.03914306712153515 -0.2319783962565634 1.067408848655885 80 58 46 0.34
23 0.05377389155170309 -0.2286014811572549 1.076890167227861 81 57 46 0.22
24 0.06124830386931635 -0.2268287777496356 1.083445249510294 102 79 63 0.25
25 0.03490689973453154 -0.2250942010034175 1.061722904444516 83 58 45 0.35
26 0.06513928528447399 -0.2014547976592453 1.064470686555554 126 95 69 0.36
27 0.05918518441085363 -0.1928987461076252 1.055042982309393 136 109 84 0.41
28 0.06811119567866364 -0.1904994454311102 1.06192446970575 131 102 81 0.54
29 0.08359752124274422 -0.19385364483718 1.086722784820673 101 71 54 0.29
30 0.08753296867356253 -0.1925488002436745 1.090110536996635 104 68 49 0.24
31 0.07046063380287959 -0.1745945246538414 1.06333936942785 77 55 46 0.28
32 0.08775227676915121 -0.1808186658885289 1.081371330052441 89 62 54 0.46
33 0.09983271090825041 -0.1805805742307117 1.092611120299197 156 124 98 0.42
34 0.01769692759578856 -0.1954176475775685 1.03231351437665 146 113 85 0.56
35 0.06676751366629052 -0.1722132709514916 1.058728427051073 129 90 69 0.37
36 0.06625152304935567 -0.1600813657481173 1.046167107773916 99 68 51 0.2
37 0.06855284197912259 -0.1141505317428848 1.025671189880893 116 87 64 0.27
38 0.02096394170026439 -0.1108020685674038 0.9884563183251052 134 95 64 0.51
39 0.06880880058988048 -0.106328890451952 1.01951024692836 135 100 71 0.4
40 0.07264039572064673 -0.1050372647695137 1.020873045103579 119 84 58 0.21
41 0.08009023244328173 -0.101092860590172 1.026451841197043 127 92 68 0.27
42 0.06934906902011229 -0.1017586329816849 1.017335600321403 129 83 54 0.25
43 0.1035603791461368 -0.09985238001402408 1.053815963000757 124 94 70 0.18
44 0.01959073520001009 -0.09040342526910262 0.977809193338133 106 79 59 1.01
45 0.1213006518482161 -0.07464395932367465 1.04750876160332 156 100 72 0.28
46 0.1293945968374511 -0.07485195149618218 1.085201886876457 112 108 109 0.49
47 -0.06243373868976176 -0.09627861638671255 1.029154961204777 126 111 105 0.41
48 0.04747355900213213 -0.05440481442067344 0.9691477602014158 108 74 52 0.32
49 0.05501206918336421 -0.05803261926744641 0.9744336418509891 149 107 76 0.27
50 0.05894867105864932 -0.05614897100436839 0.9776722905016619 84 59 44 0.25
51 0.1128488897049147 -0.04854891583564541 1.027998317953603 131 104 82 0.3
52 0.1285044710311524 -0.0479541373262325 1.045279276998943 112 75 55 0.27
53 0.03661373279990177 -0.04302631413992759 0.9563647639625794 88 53 34 0.25
54 0.09885013135608567 -0.04595415113626145 0.9596086677618558 138 82 48 0.14
55 0.09612028290983843 -0.04097381659032619 0.9999897837149752 103 68 50 0.24
56 0.104970971737021 -0.03421460073936363 0.9643958873557186 176 131 99 0.27
57 0.1080750842944157 -0.03768707109153893 1.010092368120301 123 83 57 0.47
58 0.1317287412200516 -0.02869439621372001 1.034915351885807 142 109 80 0.5
59 -0.008012047559148083 -0.02840875317072285 0.9264644912613766 107 69 47 0.36
60 0.1789982844734762 0.01839942490759661 0.9176403899573613 121 73 40 0.5
61 0.09751598374135295 0.004753494980276704 0.8568871003168028 114 61 33 0.32
62 0.1503085116695667 0.05902866665490129 0.8764503219071593 77 52 33 0.33
63 0.3381929018089654 0.06884169326869885 0.3758416354322762 116 86 61 0.21
64 -0.1527304996471993 0.1177538538529106 0.9938870373051034 104 117 116 0.21
65 0.3369010793997599 0.07191307770114951 0.3746901953271942 60 47 36 0.26
66 0.3378625031456239 0.07446963768541652 0.3739016833121676 108 82 61 0.23
67 0.3528818566152044 0.07898456927860556 0.3931864491619146 76 50 33 0.37
68 0.4464236110690674 0.0880150083375924 0.3481992132810372 178 138 78 0.31
69 0.3534857680743621 0.09925275157180904 0.394683947200875 116 72 41 0.39
70 0.4432873722027472 0.1306672964102666 0.3521513930069957 84 72 60 0.41
