# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 117
258 RADIAL 1140 760 1066.2010623142269 570.0 380.0 -0.006425056942145363 -0.008937635373797312
322 RADIAL 1013 760 811.6419339670657 506.5 380.0 0.1640343788711697 -0.24606952432623322
132 RADIAL 1140 760 906.8262052385018 570.0 380.0 -0.08814749316355133 0.09029767578294093
354 RADIAL 1013 760 1034.1365237940431 506.5 380.0 -0.0479164346208221 0.012651176001679107
303 RADIAL 1157 771 929.9065409970333 578.5 385.6666666666667 -0.010543444521799433 -0.06908234490043169
179 RADIAL 1013 767 925.8858707124297 506.5 383.2972972972973 0.05861858313096813 -0.24301069172964038
154 RADIAL 1351 754 1067.6745221846102 675.5 377.0232558139535 0.09089990069805357 -0.13773801035914301
382 RADIAL 760 1140 1598.0026541766908 380.0 570.0 0.09169667211752786 0.03708883980247475
287 RADIAL 1351 760 1214.5136398893071 675.5 380.0 -0.19266975887713322 0.14551116776051826
32 RADIAL 1140 760 1214.4253181270058 570.0 380.0 -0.09736995025938834 0.27314541703656803
293 RADIAL 1013 760 1065.3002381088247 506.5 380.0 -0.15174544429325823 -0.03767061142106075
71 RADIAL 1013 767 1155.7545242176348 506.5 383.2972972972973 -0.07969939448690176 -0.07326519711075459
72 RADIAL 760 1013 2186.8598306800013 380.0 506.50000000000006 -0.14678644781911876 -0.006788381178734295
123 RADIAL 1013 760 1796.4395090494131 506.5 380.0 -0.033689530817911414 0.004203216869834655
95 RADIAL 760 972 1469.9238877152588 380.0 485.99999999999994 -0.12607410687578902 -0.00847783604793935
514 RADIAL 1013 760 1288.2035110909608 506.50000000000006 380.0 -0.01766284891737508 -0.0020131335499804044
264 RADIAL 760 1013 1087.4378127864034 380.00000000000006 506.49999999999994 -0.15589019412220542 0.051961567936754785
314 RADIAL 760 1140 2572.0243059642494 380.0 570.0 -0.25872368582277205 -0.023946580149996496
460 RADIAL 1353 755 1710.2428931663187 676.5 377.5813953488372 0.1094754436148469 -0.34371355417584
400 RADIAL 1013 767 1386.43379647896 506.5 383.2972972972973 -0.15492229444421116 0.2585186004826358
90 RADIAL 760 1013 2245.477105437694 380.0 506.5 -0.35484733729420087 4.644448216974573
37 RADIAL 1147 760 1709.3893624592065 573.5 380.0 0.18068303337798042 0.05162358512094731
319 RADIAL 1013 767 1048.6763581281414 506.5 383.2972972972973 -0.06288179880449428 0.027668410792725567
46 RADIAL 1386 774 1150.6076458237599 692.9999999999999 386.79069767441854 -0.07482102325480601 -0.016321725062359724
189 RADIAL 1013 767 1335.0876177578673 506.5 383.2972972972973 -0.25237143223450603 1.5399608422095359
386 RADIAL 760 1013 2136.5224098976887 380.0 506.5 0.07799899342670763 0.0031964544389357858
506 RADIAL 1013 760 1412.9022922067163 506.5 380.0 -0.14088874526535222 -0.0063960100401391955
375 RADIAL 1351 760 1054.2576899227881 675.5 380.0 0.02529689080947635 -0.05144069925292464
25 RADIAL 1013 767 969.2092056938212 506.5 383.2972972972973 -0.120493409360298 0.11884287441075046
329 RADIAL 1140 760 1298.1185098131518 570.0 380.0 -0.21890015518101613 0.9662492571776496
372 RADIAL 1140 760 946.8639927049976 570.0 380.00000000000006 -0.16905634571524628 0.1525265820436006
340 RADIAL 1013 760 1127.6140126995545 506.5 380.0 -0.16870836322079613 0.34917087896303645
523 RADIAL 1013 760 918.5206323989435 506.5 380.0 -0.18475744000082986 0.11989081266575873
409 RADIAL 1140 760 1073.3513004120448 570.0 380.0 -0.1296152409990965 0.04436799934826214
176 RADIAL 1141 760 1523.521719690157 570.5 380.0 -0.14085253088638044 0.0015579946354137419
323 RADIAL 760 1013 799.494221948505 380.0 506.5 0.11314020097453356 -0.09497136963302971
342 RADIAL 1147 760 1301.6410527825203 573.5 380.0 -0.06696444862363751 0.1822254364054189
479 RADIAL 760 1013 1157.1428216447323 380.0 506.5 -0.11447379110449536 -0.04525639049778269
361 RADIAL 1013 767 968.9258726446549 506.5 383.2972972972973 -0.1190564940625987 0.11782830464796933
341 RADIAL 1013 760 1058.7164349145032 506.5 380.0 -0.13253305510594038 0.02881360713905124
434 RADIAL 1013 760 1158.1128326575626 506.50000000000006 380.0 -0.0322134513248982 -0.023283319275529905
449 RADIAL 1132 760 1088.1935668355177 566.0 380.0 0.09475993044296084 -0.15375471446934444
330 RADIAL 1013 767 798.6236760638906 506.5 383.2972972972973 0.03226656291984839 -0.04528170915067526
461 RADIAL 1013 767 1493.6456681272225 506.5 383.2972972972973 0.24104038652947327 -1.3765734150953375
309 RADIAL 1009 760 832.2863884554068 504.5 380.0 -0.0348837186379583 0.1039813993963047
152 RADIAL 1352 755 1468.605789809771 676.0 377.30232558139534 -0.07364102032196759 -0.018876099440515937
317 RADIAL 1013 760 804.2532350347428 506.5 380.0 0.15927264593172602 -0.3197876472139769
4 RADIAL 1140 760 960.446390265555 570.0 380.0 -0.1477054797975532 0.02961798121270463
325 RADIAL 1352 760 1195.1669780341783 676.0 380.0 -0.07731064457526694 0.07430854776305854
404 RADIAL 1140 760 1620.6872608670358 570.0 380.0 -0.05127351877430741 0.004253294949120337
216 RADIAL 1140 760 863.5182005074415 570.0 380.0 0.06366337336690338 -0.10945454079938667
425 RADIAL 760 1057 2338.8052733521067 380.0 528.5 -0.2550017775217399 1.6040288838423282
94 RADIAL 1013 760 1607.1842858185003 506.5 380.0 0.20293336064938924 -0.023622371016460884
190 RADIAL 1684 760 1242.8641640430185 842.0 380.0 0.10452206235026033 -0.15418684545501743
191 RADIAL 1684 760 1240.3780767164426 842.0 380.0 0.10518723297903114 -0.14653789744329265
311 RADIAL 955 760 863.8808642447578 477.5 380.0 0.10869282816164523 -0.6577435372212459
80 RADIAL 760 1351 1619.9455794995054 380.0 675.5 0.028564636875291302 0.000674254800406424
106 RADIAL 1013 760 809.5520717217261 506.5 380.0 0.2056674409877664 -0.3795133555021912
47 RADIAL 1013 760 860.1801282104274 506.5 380.0 0.05548447365871544 -0.03910504321382484
343 RADIAL 760 1013 1425.11911025752 380.0 506.5 0.07377925166022582 0.019420514765358377
249 RADIAL 1140 760 816.4951973969297 570.0 380.0 -0.04606502063239796 -0.006162353460485754
39 RADIAL 1013 767 1155.6904813421272 506.5 383.2972972972973 -0.08517031470593955 -0.06477785721598145
89 RADIAL 996 754 1567.4080831537358 498.0 376.8648648648649 -0.058503595390138045 -0.007237288683809572
520 RADIAL 760 1011 1254.3891263067785 380.0 505.5 0.22772239313156567 0.006561138934712805
77 RADIAL 1013 760 956.198644597201 506.5 380.0 -0.32009442433291707 4.580572086831903
126 RADIAL 797 760 621.0170012501949 398.5 380.0 -0.19967415479678344 -0.1609578925665515
521 RADIAL 1013 760 913.7559064126788 506.5 380.0 -0.15113721954087658 0.01306192812507974
61 RADIAL 1838 777 1594.8258364323606 918.9999838935007 388.4444387114576 -0.11608425961305437 0.008346793803118233
143 RADIAL 1580 777 2056.858621123649 789.9999698003146 388.4444294388961 -0.052308492701711826 -0.0006101228772988914
53 RADIAL 1142 760 1164.1179606091803 571.0 380.0 -0.045440529802752545 -0.06732042992486122
115 RADIAL 1441 753 1316.0255253754572 720.5 376.625 0.2865737834515402 -0.6386103543864361
302 RADIAL 760 1013 1216.8047038147486 380.0 506.5 0.01249968707458004 0.0005448566261140829
20 RADIAL 1140 760 1645.51908972089 570.0 380.0 -0.004762514891909245 -0.0015482549701299297
268 RADIAL 1013 760 1047.0488254525437 506.49999999999994 380.00000000000006 0.005975733805439796 -0.015988486817295245
17 RADIAL 1140 760 1502.3948436196104 570.0 380.0 -0.0210670370464646 -0.011662208036961946
473 RADIAL 1600 777 1276.6938216093502 800.0000241597501 388.44445596954 0.14530552611748282 -0.2981465984696779
487 RADIAL 1144 760 1493.8982415046362 572.0 380.0 0.0861287678817929 -1.9069320861627863
362 RADIAL 1351 760 814.7469339281367 675.5 380.0 0.08433343701846065 0.005800954894775951
383 RADIAL 760 1013 1583.7107522542583 380.0 506.5 -0.7606886219960824 6.318134781279305
52 RADIAL 1142 760 1700.7210365220399 571.0 380.0 0.05101374661817224 9.302605011940254e-05
483 RADIAL 1353 755 1199.072956692539 676.5 377.5813953488372 0.049374114197755385 -0.20213929756274213
457 RADIAL 1140 760 1073.5500272810366 570.0 380.0 -0.12988667208306656 0.03828898018076868
266 RADIAL 760 1013 1080.84902980873 380.00000000000006 506.49999999999994 0.017580172738463736 -0.5912589250075178
497 RADIAL 1140 760 1826.0334723054798 570.0 380.0 -0.054237680498209186 0.0003318104196427894
320 RADIAL 760 1620 1293.4754016411155 380.0 810.0 0.48901115594955186 -2.472459515475714
87 RADIAL 760 1684 1240.2221696118977 380.0 842.0 0.18442869696491526 -0.38876968543028806
423 RADIAL 1486 760 1623.8841091589688 743.0000000000001 380.0 -0.1055188972672988 -0.030359769632151465
510 RADIAL 1140 760 956.1537934660277 570.0 380.0 -0.08315867369329584 -0.06575076327060735
214 RADIAL 1140 760 830.2993975914084 570.0 380.0 0.03471256482302952 0.02342562688431747
348 RADIAL 1013 760 824.7582792403775 506.5 380.0 -0.030972321909950393 0.03481945251565756
208 RADIAL 1143 760 1662.7568077797557 571.5 380.0 -0.010556339347088354 -0.00019059810321920767
513 RADIAL 1013 760 712.5809364120144 506.50000000000006 380.0 0.041592569533380676 -0.03944538486647877
215 RADIAL 1140 760 827.7740603413413 570.0 380.0 -0.033940889600782405 0.01685853508906109
336 RADIAL 1013 760 916.3019545415649 506.5 380.0 0.06876284949686086 -0.10163030055357873
522 RADIAL 1013 760 919.462080868769 506.5 380.0 -0.15438616556176282 0.07803155963596563
511 RADIAL 1140 760 931.2695332104101 570.0 380.0 -0.15525703051752632 -0.058383923972941315
19 RADIAL 1140 760 991.9908819475883 570.0 380.0 -0.010265160348046202 -0.0025856030666008543
295 RADIAL 1139 760 1257.9020040719276 569.5 380.0 0.06335818462513297 -0.01197853847843268
122 RADIAL 1153 769 1231.415864698452 576.5 384.33333333333337 0.0787070438389339 -1.2262940724658205
485 RADIAL 1140 760 2727.577952963847 570.0 380.0 -0.0022096936285803223 -3.556477261785405e-05
421 RADIAL 760 1011 2306.899051206072 380.0 505.5 -0.03490403689406413 -0.00035525339853799317
8 RADIAL 1140 760 2727.9527368527333 570.0 380.0 -0.011833669955588814 -0.00024366113782115054
225 RADIAL 760 1140 1465.959431147507 380.0 570.0 -0.0004035051894548705 -8.794422598268922e-07
