# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 4240, mean track length: 4.71
0 0.09422639043333142 -0.1922845847593209 1.067887759600844 132 91 57 0.19
1 0.09630402515346631 -0.2002242998203057 1.074801062647338 206 150 99 0.38
2 0.08688723175595664 -0.1619004672862395 1.029729091729293 147 125 99 0.58
3 0.08489258399606542 -0.1584949171166264 1.042641891697 108 71 51 0.45
4 0.06563792122377377 -0.142913024561253 1.013132377412301 139 97 58 0.09
5 0.1322273459516485 -0.1319150410241367 1.068700872607687 203 205 213 0.4
6 0.08578220273999049 -0.1331070226013377 1.033844752088075 113 87 61 0.92
7 0.08572427708430058 -0.1294404205948222 1.026278557842694 91 67 50 0.13
8 0.08726466199687322 -0.1266974956129266 1.024881716704428 155 118 81 0.29
9 0.1114663086591335 -0.157458313158768 1.064861640835656 75 48 25 0.07
10 0.07798141978823886 -0.1081511527231939 1.007712544488631 92 72 54 0.54
11 0.0810014509276929 -0.1029376048678079 1.002513485110901 156 112 71 0.33
12 0.0839228982931427 -0.1183919003082023 1.019680194947956 144 108 72 0.24
13 0.1397002333070514 -0.106173595437075 1.062455855249495 136 114 100 0.46
14 0.01467823132231455 -0.0982464904645689 0.9528815169267688 166 125 83 0.23
15 0.04482128314495737 -0.1053880290379232 0.983431173017822 92 51 30 0.33
16 0.06048089436179804 -0.1041964385223605 0.9883432454049108 172 122 80 0.46
17 0.07267384217719314 -0.09616426843909942 0.9993938301082699 82 44 24 0.12
18 0.08287820566732107 -0.1003411980630107 1.003181321229878 77 54 39 0.09
19 0.08449335986855389 -0.09247466716547452 0.9956705249762987 168 130 90 0.41
20 0.07206806975761026 -0.08646668877054042 0.9824479206372676 167 137 108 0.21
21 0.1055902606624532 -0.08143798310730888 1.016367356906867 154 114 79 0.32
22 0.1442479643768307 -0.08868495769421823 1.058752797208985 199 200 204 0.39
23 0.07112990631875926 -0.08151778100401451 0.9821238265669519 179 122 73 0.29
24 0.08128982838855414 -0.07013671479634759 0.9768556555544865 79 51 31 0.38
25 0.09506861731317384 -0.08233177493209698 1.001949477039308 68 46 31 0.22
26 0.08684189745464377 -0.06817994889613707 0.978619001038469 132 101 65 0.36
27 0.09132565887138028 -0.07032236680430247 0.9829084167081765 138 104 69 0.52
28 0.09827925602989834 -0.07809195190254771 1.005865897710432 157 130 94 0.17
29 0.1018200031863447 -0.06812828633168413 0.9913616445883462 133 99 67 0.8
30 0.1186927386847368 -0.06595693865267095 1.025350117021488 122 86 52 0.29
31 0.1192227324343706 -0.06315870534683136 1.023506330084939 95 53 27 0.48
32 0.1264861266748178 -0.07299241693770342 1.030023233134651 89 54 36 0.24
33 0.1317507079063913 -0.06209791536890993 1.027226945735375 150 89 50 0.62
34 0.1333886583924364 -0.06361097710182731 1.032133193467698 96 59 36 0.21
35 0.1372637649834652 -0.06320235733071033 1.032892989907952 88 53 32 0.22
36 0.1466182606732562 -0.07331659659466189 1.066284738460904 114 110 114 0.37
37 0.1456334017283294 -0.07375917183011495 1.069256028251129 106 100 102 0.43
38 0.1456600270120557 -0.07066844022974068 1.052369678687571 140 113 91 0.49
39 0.1479228068371817 -0.05893091828966746 1.046323544478574 84 66 55 0.55
40 0.1479014384323733 -0.0671434313150968 1.067053992316062 187 193 206 0.76
41 0.08017025405721612 -0.05489156290118814 0.9684537472428405 170 120 67 0.08
42 0.08739186090742673 -0.06510867687434276 0.9760520957423433 85 58 37 0.38
43 0.1052671593648735 -0.06255521775684794 0.9887321207667243 153 110 68 0.24
44 0.1074853421375575 -0.05120433247343402 0.9848278730194715 102 64 44 0.4
45 0.1278995156737469 -0.050118633263697 1.014619518440707 158 127 95 0.4
46 0.1427679408222543 -0.05779901139084098 1.038958611071213 104 70 49 0.32
47 0.1577980068276421 -0.04391701703929982 1.049671656535308 205 216 231 0.42
48 -0.07861789425208199 -0.075258893616275 1.059550590936464 198 202 202 0.56
49 -0.0668568995968275 -0.06895535998103233 1.038772247487756 104 91 85 0.15
50 0.0153562942514921 -0.05327780299946626 0.9364397413025323 118 85 59 0.11
51 0.05739863558663416 -0.05431269058751324 0.9523643998399323 119 79 49 0.15
52 0.05754227193885297 -0.05423212202214653 0.9517670593797813 150 86 43 0.07
53 0.04895024980951618 -0.04252923277934637 0.9488753325505168 70 44 27 0.86
54 0.05826323836734804 -0.03959542872043151 0.9496697407176449 100 76 58 0.19
55 0.0729839405370713 -0.04629930797967424 0.9633360214255375 123 83 44 0.27
56 0.1091123539068757 -0.04438554970252111 0.9462186163584145 121 85 55 0.23
57 0.1224962084575317 -0.03922227657782634 1.000781463859199 154 117 73 0.25
58 0.1231169208378829 -0.0367236085966712 0.9981281501733708 180 124 71 0.37
59 -0.04490275592872706 -0.05385700515234883 0.9889905046573615 170 129 82 0.79
60 -0.0135825681491476 -0.03852508256392673 0.9419692822634276 96 73 54 0.11
61 0.014635005933541 -0.04078476727851925 0.9248525962704697 88 54 30 0.38
62 0.05753766327068349 -0.0357695790474135 0.9448551877615354 170 120 70 0.09
63 0.1363079733326457 -0.014773028656699 0.9662174551905518 184 128 88 0.32
64 0.1588808534813206 -0.01392679271902842 1.034018107121199 103 81 65 0.26
65 0.158674010642903 -0.01039569243915366 1.030695528013035 175 116 67 0.23
66 0.1588921580434304 -0.008625928221132593 1.031629965967747 97 69 51 0.21
67 0.1661891589477517 -0.01043744377299919 1.041180239522042 209 222 232 0.42
68 0.005565816867012296 -0.02929824074355827 0.9128648190408652 161 118 79 0.33
69 0.02962936635554025 -0.02283495474425709 0.9166078833893967 108 64 31 0.25
70 0.03550434829250376 -0.01979393780314855 0.9194405742201113 181 130 76 0.21
71 0.09467600245710539 -0.01195116775135525 0.8273721150016733 180 108 63 0.99
72 0.08761042709458783 -0.00788470820624176 0.8319499148473637 94 62 29 0.38
73 0.1053066168916949 -0.005617050567541627 0.8437115325042142 133 102 70 0.51
74 0.1347382999413091 -0.0002114089019642461 0.863369519187293 136 83 40 0.39
75 0.169305002299166 0.007963942860734454 0.8776042727217062 160 116 72 0.98
