# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 17108, mean track length: 7.55
0 0.03850472052243092 -0.2165030011516794 1.067283065680533 122 100 74 0.18
1 0.04204906926824703 -0.1627888024869468 1.044134491585847 112 67 37 0.17
2 0.03787660520491354 -0.06398669386949725 0.9764755823723446 133 93 64 0.26
3 0.1026114680365535 -0.02942998779216533 1.011847650876309 76 55 48 0.05
4 -0.03818322560516496 -0.0147268556365331 0.9512645043622379 98 58 37 0.51
5 0.1760457317298462 0.02019130529582875 0.9218344834571344 138 105 66 0.18
6 0.08613647308872863 0.02420052188143722 0.8519497630528472 136 78 32 0.21
7 0.01804317029650204 -0.02995555528547039 0.9428301128107539 164 129 91 0.4
8 0.06391440063744824 0.04061583842043938 0.8275124336706736 145 102 70 0.3
9 -0.07326198606920875 0.0553317853089967 0.9287321124386299 140 94 63 0.47
10 0.3423109611750416 0.08382949752402954 0.3887696468640458 83 58 33 0.18
11 0.1541535650904787 0.1201753559171689 0.5982713262675945 123 95 61 0.64
12 0.1527339822939007 0.1221847310358444 0.6016812676032064 46 30 20 0.37
13 0.1395382290415338 0.1324376245897363 0.6170490809982414 75 47 27 0.33
14 0.3312090210851035 0.1006200906118173 0.3792333184810321 60 33 18 0.16
15 0.09295269645509674 -0.1892951857403978 1.104806046326736 92 69 57 0.6
16 0.0572673764176711 -0.1471342888722773 1.044993907171554 80 71 57 0.07
17 0.0537646859935339 -0.05797761975834174 0.9808692865104194 162 120 82 0.33
18 0.04617274411660299 -0.04766522902950379 0.9687315055430081 103 71 44 0.09
19 0.09366126456558033 -0.04309908486223861 1.002802819558323 92 65 45 0.59
20 0.01807197449842779 -0.02449877797816013 0.9397202838293797 149 113 78 0.31
21 0.5196135563321512 0.07330490591376522 0.01471161462082815 89 59 48 0.42
22 0.5252880751999838 0.08482775131540131 0.01436306024518497 143 113 81 0.59
23 0.09893259739462379 -0.1572773850163113 0.9935554931342272 78 64 57 0.49
24 0.04530377062042501 -0.1355255567900502 1.029737465477969 137 111 89 0.51
25 0.06424968621096383 -0.05594329558292498 0.9875936047891283 155 108 68 0.52
26 0.01996275475650344 -0.04763083362264649 0.9534701084222386 141 108 73 0.16
27 0.03050882363408935 -0.04736511545767451 0.9594398796927011 162 124 88 0.36
28 0.2684321054946613 0.1216593321552779 0.9078511330453425 120 95 83 0.27
29 0.5216185475387174 0.06663638330720766 0.01961346838643074 78 51 39 0.26
30 0.3952846573747331 0.133742406541671 0.3775545276165628 62 53 39 0.1
31 0.5177547522811758 0.07338538986506216 0.01502874611443772 98 69 51 0.61
32 0.5149774126973234 0.07786925702421413 0.01471100060051456 119 95 78 0.26
33 0.2985006155130348 0.1573306511269444 0.3663504827421173 116 79 58 0.53
34 0.04200250990408738 -0.2092066846501463 1.065225107319906 143 119 89 0.47
35 0.5146116159279222 0.07334291648796491 0.01988877991295745 176 143 118 0.43
36 -0.5732960538202638 0.3267224846819732 1.4853199351357 78 65 49 0.71
37 0.5248877661878957 0.08275416242185027 0.02061132533339427 125 103 87 0.32
38 -0.614210693732939 0.3292816014184719 1.53646342899181 74 62 47 0.55
39 -0.03285828797207646 -0.1817219674742341 1.08299068268187 94 76 71 1.42
40 0.3425088353277309 0.1092066238587086 0.3826125292715055 109 72 50 1.14
41 0.4542987550728768 0.13964476496711 0.3694176115102379 41 31 28 0.76
42 0.09585520833536842 -0.04367699558880479 0.9651858963877449 67 47 35 0.19
43 0.06087647504943372 -0.2609299465007058 1.102034015318094 66 54 42 0.96
44 0.08954066956511453 -0.1901032234818102 1.099599524029282 61 50 44 0.18
45 0.04605994231504607 -0.154747491970098 1.036901198620724 149 116 85 0.38
46 0.08853775153956045 -0.1060266086331423 1.057013742086744 147 124 93 0.74
47 0.08071273472152618 -0.1495353091011551 1.072809969458087 153 112 76 0.75
48 0.8346437891451783 0.0329037962108527 -0.04704816453947624 67 52 36 0.5
49 0.8171403650906661 0.03342528902010129 -0.05865727471436566 94 40 30 0.44
50 0.7836775930268158 0.04130799411776208 -0.08805317257942236 130 109 80 0.44
51 0.8001879650729276 0.02287467115775623 -0.07139236214728562 27 22 22 0.72
52 0.8343919176458388 0.0368820405384172 -0.04430100913427459 56 43 31 1.08
53 0.7941052818634998 0.02409188344521514 -0.07817777311352347 113 94 72 0.89
54 0.8395541361328671 0.03911878784106378 -0.04393557148162364 90 71 50 0.73
55 0.841661428916859 0.04348994357935831 -0.04225196691953514 172 147 104 0.96
56 0.07145057812393774 -0.1507717823100885 1.051873451689312 137 113 88 0.29
57 0.760906649949129 0.018345793521892 -0.1032280262395887 85 61 38 0.63
58 0.7877133347843709 0.03303544002442901 -0.08304587436403932 56 46 38 0.02
59 0.7476543935180908 0.06233327221634308 -0.122493275899988 78 79 82 0.48
60 0.3786080628559864 0.1443929475775624 0.3577616538791948 91 69 56 0.27
61 0.655070348572077 0.1937883676604347 0.4087485461005134 113 98 84 1.09
62 0.06369917705827877 -0.09394437315721155 1.020794042738934 122 93 69 0.3
65 0.8060763685085817 0.0299740753336647 -0.06624077105972748 146 135 117 0.72
66 0.8186985592818532 0.03314714108308194 -0.05817964525056363 169 153 133 0.41
67 0.8231988264685518 0.03304557115329276 -0.05497548705952204 75 37 35 0.28
68 0.8350196634314975 0.03541090652475397 -0.04648703182798042 142 117 77 0.46
70 0.5229680680615267 0.06936359861176544 0.01987449991626511 81 52 36 0.54
71 0.7783518307358662 0.07898771234161789 -0.09711454596506042 135 112 76 0.78
72 0.740731392999382 0.07618067440762862 -0.1083875033158679 68 49 38 0.04
