# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 135
258 RADIAL 1140 760 1062.3732322653127 570.0 380.0 -0.012941545651558101 0.03208398773131805
382 RADIAL 760 1140 1591.060996038406 380.0 570.0 0.08697310219486394 0.2119279908055423
132 RADIAL 1140 760 899.4813514908634 570.0 380.0 -0.08909243879196102 0.09400806377180936
514 RADIAL 1013 760 1286.1041530350967 506.50000000000006 380.0 -0.006587376687504553 0.01746010144970993
521 RADIAL 1013 760 920.4938259383921 506.5 380.0 -0.1842538720039961 0.12484520425357397
523 RADIAL 1013 760 919.3433159305607 506.5 380.0 -0.19841466180037678 0.15722829328597518
404 RADIAL 1140 760 1605.8893312512826 570.0 380.0 -0.051332967816709825 0.1466034652585489
152 RADIAL 1352 755 1458.1222514633735 676.0 377.30232558139534 -0.06874367498736947 0.012653861264351928
32 RADIAL 1140 760 1209.018194924332 570.0 380.0 -0.16111726577278435 0.6282370749905533
293 RADIAL 1013 760 1056.2178375695348 506.5 380.0 -0.15702498496129927 0.00933933189697642
421 RADIAL 760 1011 2366.309905089081 380.0 505.5 -0.16611710070566824 -0.020203085188403178
303 RADIAL 1157 771 923.8458810887346 578.5 385.6666666666667 -0.016567183232888995 -0.05941060797936803
47 RADIAL 1013 760 850.6709656581412 506.5 380.0 0.068555972468155 -0.059297098745275695
176 RADIAL 1141 760 1517.7785005607511 570.5 380.0 -0.14463615261920174 0.05145304676686073
179 RADIAL 1013 767 911.6813738455143 506.5 383.2972972972973 0.0723488566099422 -0.2606918066999992
309 RADIAL 1009 760 819.608029869818 504.5 380.0 -0.018689149163351817 0.06299908959122588
322 RADIAL 1013 760 769.2620696589895 506.5 380.0 -0.12057730319423698 -0.04570215918086676
329 RADIAL 1140 760 1285.1618346821056 570.0 380.0 -0.08947320681000519 -0.051412156446488444
330 RADIAL 1013 767 792.6163359345097 506.5 383.2972972972973 0.04434976415295316 -0.09004626452105961
461 RADIAL 1013 767 1497.6069136780607 506.5 383.2972972972973 0.09979921389853884 -0.05539964086975439
77 RADIAL 1013 760 946.1495757053704 506.5 380.0 0.14186961131415549 -0.38198102784334326
340 RADIAL 1013 760 1148.1886990696357 506.5 380.0 -0.07183540103407451 -0.007290204097959251
341 RADIAL 1013 760 1049.43209793188 506.5 380.0 -0.14216233506368373 0.13395888453671578
342 RADIAL 1147 760 1296.5128410233642 573.5 380.0 -0.03503655381097706 -0.008595428168773622
343 RADIAL 760 1013 1420.7039114014149 380.0 506.5 0.030031383776425093 0.32366380010833856
