# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 599, mean track length: 3.63
0 0.202661359706711 -0.2660247124554672 1.044877559970787 59 52 45 0.42
1 0.1446922452082206 -0.1525630778067436 0.9717873774402606 60 49 41 0.23
2 0.1697049380988834 -0.1491619582285992 0.9816495966763716 85 77 65 0.22
3 0.1926537816394635 -0.265038577540659 1.03768883834486 65 40 29 0.21
4 0.1181518447726165 -0.3442844268373578 1.048782843685465 92 81 70 1.02
5 0.0920215294577138 -0.2692881397918875 1.034178635128684 118 106 99 0.64
6 0.1310768926439616 -0.3868781387767091 1.178248857772933 194 219 228 0.44
7 0.1318416210465136 -0.1648390623583625 0.9698188496687694 143 117 85 0.28
8 0.1318691375772268 -0.164790459302976 0.9697228329334187 146 122 91 0.36
9 0.146411875558806 -0.1749040149457785 0.9807501964108343 214 181 128 0.35
10 0.1636577848893143 -0.182705833701942 0.9948017391517765 194 162 113 0.32
11 0.1606837018900473 -0.1530137248731971 0.9780068469828955 128 108 73 0.12
12 0.1645100264985256 -0.1514134137184269 0.9793685554722429 91 69 52 0.41
13 0.2115592795123643 -0.196587575293513 1.068061556926665 95 72 45 0.9
14 0.2399928606097126 -0.20761217206472 1.093021332707989 174 149 117 1.09
15 0.107825390853149 -0.1250297889579786 0.9395626597204907 150 121 89 0.27
16 0.1136828797637145 -0.1235025948841775 0.9424432587466998 125 95 58 0.29
17 0.1413343366222224 -0.1091610928261329 0.9577244000087364 135 108 76 0.75
18 0.1398326940673037 -0.1017655058544352 0.9438692136901998 119 94 73 0.92
19 0.1196050764708952 -0.0892567728361994 0.9300478377431818 141 118 99 0.84
20 0.1116642327663619 -0.009229798706652623 0.74933459077936 62 41 30 1.32
21 0.09410730481662266 -0.002989857900912496 0.7742828356466931 110 74 50 0.64
22 0.1980248929649436 0.01201386403767457 0.8284516531688362 92 66 38 0.51
23 0.2089081799054694 0.01309120272000003 0.8303785951039595 111 78 55 0.33
24 0.1899703072324159 0.01568179929661358 0.8312152150762127 91 69 41 0.23
25 0.2219362886406114 0.02295814495737159 0.8407384701760634 152 124 93 0.5
26 0.05640015507665852 0.02652058466769901 0.8554085560244791 108 91 81 0.47
