# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 43
319 RADIAL 1013 767 1006.4948119699304 506.5 383.2972972972973 0.024316253742986776 -0.027465744457601984
382 RADIAL 760 1140 1579.1222716383336 380.0 570.0 0.1045567666328778 0.13504629819639347
87 RADIAL 760 1684 1214.3559135997582 380.0 842.0 0.07706806408557937 -0.09051484465222168
336 RADIAL 1013 760 901.9049857440024 506.5 380.0 0.056655201258921324 -0.0696561191767656
483 RADIAL 1353 755 1183.443197487469 676.5 377.5813953488372 0.09294192203538534 -0.2700229100855038
264 RADIAL 760 1013 1069.4499338642502 380.00000000000006 506.49999999999994 -0.13605671037852912 0.10226827909003894
520 RADIAL 760 1011 1269.4901818571511 380.0 505.5 0.20022059916031953 -0.5454958356836643
510 RADIAL 1140 760 939.7279273975283 570.0 380.0 -0.17214104564410015 0.1770994770264217
323 RADIAL 760 1013 783.4701145562992 380.0 506.5 0.10623372534077115 -0.12774951374287763
342 RADIAL 1147 760 1283.394963105809 573.5 380.0 0.005968591925872293 0.055403572603252224
317 RADIAL 1013 760 792.7934777676123 506.5 380.0 -5.2214552658050744e-05 -0.03366932382918241
452 RADIAL 1351 754 1067.1282796580049 675.5 377.0232558139535 0.06324141408834454 -0.03317248877564757
428 RADIAL 760 906 626.4440998622749 380.0 453.0 0.000683398782433041 -0.0002434653730686751
361 RADIAL 1013 767 944.935142829551 506.5 383.2972972972973 -0.11652104561155883 0.11155004991374612
404 RADIAL 1140 760 1611.3220260895682 570.0 380.0 -0.0878590288718965 0.5220636947510138
329 RADIAL 1140 760 1278.3945209948324 570.0 380.0 -0.10314936393967239 0.14429115365363943
460 RADIAL 1353 755 1700.6552126000443 676.5 377.5813953488372 0.10364672724455502 -0.030927135782473778
258 RADIAL 1140 760 1063.6387688156333 570.0 380.0 0.033814783486352175 0.013594635558783713
303 RADIAL 1157 771 915.1719927892391 578.5 385.6666666666667 -0.006895091318280468 -0.03565005576064732
487 RADIAL 1144 760 1500.7770870509098 572.0 380.0 -0.053150205169195976 0.21855479792652494
354 RADIAL 1013 760 1015.9144842132254 506.5 380.0 -0.05427992407656091 0.03419002407241059
340 RADIAL 1013 760 1109.9317268173368 506.5 380.0 -0.23985983231764074 1.0120626719452326
266 RADIAL 760 1013 1066.5583627849592 380.00000000000006 506.49999999999994 -0.13050734734269967 0.14458211401606563
343 RADIAL 760 1013 1411.4289254867463 380.0 506.5 0.12742409234128932 -0.17659344743055475
420 RADIAL 760 1102 3628.6482971217215 380.0 551.0 0.01623568497371364 0.00030060242281669346
350 RADIAL 760 1013 3326.7508600414594 380.0 506.5 0.00014324826122483352 -3.924752299004671e-06
318 RADIAL 1018 760 897.4356675235128 509.00000000000006 380.0 0.1570360371013093 -1.0551815430857494
293 RADIAL 1013 760 1042.7639706588768 506.5 380.0 -0.09637377374833551 -0.2265762456188318
309 RADIAL 1009 760 808.8240230875259 504.5 380.0 -0.030140934419765186 0.07854103827395091
359 RADIAL 1013 760 144.7142857142857 506.5 380.0 0.0 0.0
295 RADIAL 1139 760 1242.3308144765542 569.5 380.0 0.03833756757342631 -0.026524143065758038
311 RADIAL 955 760 864.2034332199902 477.5 380.0 0.17900047587504664 -2.527876173582601
322 RADIAL 1013 760 793.3586430950085 506.5 380.0 -0.011695510231900165 -0.20733798465180464
522 RADIAL 1013 760 896.8204451099091 506.5 380.0 -0.12909264082481917 0.018300493689705728
362 RADIAL 1351 760 810.1631471298998 675.5 380.0 -0.002311747777119425 -0.0022273059535863576
459 RADIAL 1147 760 884.8285714285715 573.5 380.0 0.0 0.0
402 RADIAL 760 1351 1621.3333333333335 380.00000000000006 675.5000000000001 0.0 0.0
471 RADIAL 760 1351 1621.3333333333333 380.0 675.5 0.0 0.0
321 RADIAL 760 1013 1216.0 380.0 506.50000000000006 0.0 0.0
394 RADIAL 1013 760 810.4 506.5 380.0 0.0 0.0
334 RADIAL 1016 760 2000.2499999999995 508.0 380.0 0.0 0.0
499 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
502 RADIAL 1013 767 798.1483626236787 506.5 383.2972972972973 0.0 0.0
