# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 41
281 RADIAL 1013 760 2489.1281113847895 506.49999999999994 380.00000000000006 0.04057462088765055 0.0008867900869328199
420 RADIAL 760 1102 3629.647324361732 380.0 551.0 -0.007543290131753678 2.7429649303304135e-05
37 RADIAL 1147 760 1695.4127002132147 573.5 380.0 0.19164077101488253 0.07269875880709144
350 RADIAL 760 1013 3326.4608997970086 380.0 506.5 -0.021882873043568656 -0.00021676720068968634
343 RADIAL 760 1013 1414.8407885615911 380.0 506.5 0.011746013027703402 0.39198612610419875
487 RADIAL 1144 760 1480.0293541295737 572.0 380.0 -0.0920996865266913 -0.019013848858829518
295 RADIAL 1139 760 1242.649826420345 569.5 380.0 0.03475648002476826 -0.023145022421503063
522 RADIAL 1013 760 903.3094399924482 506.5 380.0 -0.061134977524192655 -0.06328025995309415
154 RADIAL 1351 754 1056.628686562485 675.5 377.0232558139535 0.08435598929068784 -0.14382386940978148
32 RADIAL 1140 760 1206.0125549835616 570.0 380.0 -0.25692995454418843 1.2993350959626748
293 RADIAL 1013 760 1050.3744695633393 506.5 380.0 -0.16653941436257572 0.005242259903242397
71 RADIAL 1013 767 1139.353870799198 506.5 383.2972972972973 -0.08868120764210945 0.017474016431418972
8 RADIAL 1140 760 2727.562449734607 570.0 380.0 0.03356225581801531 0.0005349663130563968
404 RADIAL 1140 760 1608.9880779026398 570.0 380.0 -0.17608649724924985 1.5417392464086639
317 RADIAL 1013 760 798.0651853752428 506.5 380.0 0.052187036896366105 -0.24273374354749963
323 RADIAL 760 1013 790.4591954158743 380.0 506.5 0.09657634308654546 -0.09477371283305056
208 RADIAL 1143 760 1664.6399668663385 571.5 380.0 0.004739414094636472 0.004557201019695112
7 RADIAL 760 1140 4091.4561399218846 380.0 570.0 0.00035251490490333825 8.510643330596414e-07
318 RADIAL 1018 760 865.6764607294349 509.00000000000006 380.0 0.12152064004307811 0.003939355870905974
179 RADIAL 1013 767 908.7333879878536 506.5 383.2972972972973 0.0342646854290559 -0.12810871260669413
132 RADIAL 1140 760 894.0220043594169 570.0 380.0 -0.06832716132540573 0.04301300652665932
268 RADIAL 1013 760 1037.4568983130162 506.49999999999994 380.00000000000006 0.001241095533940087 -0.001926066503809874
17 RADIAL 1140 760 1489.1724731794359 570.0 380.0 -0.0543142183636847 -0.01769478028173447
20 RADIAL 1140 760 1639.053321812497 570.0 380.0 -0.029701168783266136 -0.007227546001901973
3 RADIAL 760 1140 4091.3938201198557 380.0 570.0 0.005575091682293021 6.593246764195194e-05
60 RADIAL 760 1013 2225.1890740298045 380.0 506.50000000000006 0.0017723982757977149 3.7474361323327006e-05
212 RADIAL 760 1141 5083.477738082899 380.0 570.5 0.00022100431218448482 8.062490418074284e-07
4 RADIAL 1140 760 945.0391200428975 570.0 380.0 -0.18365884542127978 0.2540372065508806
336 RADIAL 1013 760 906.7621404698453 506.5 380.0 0.06298327218154094 -0.07881851404170546
190 RADIAL 1684 760 1212.7151688817685 842.0 380.0 0.20043758659674454 -0.4603157911899624
520 RADIAL 760 1011 1252.2945434557048 380.0 505.5 0.46308719119663533 -2.2903332958928617
285 RADIAL 760 814 568.8898491415767 380.0 406.99999999999994 -0.008406452177521855 -0.0014226127990321765
362 RADIAL 1351 760 812.6421090698727 675.5 380.0 0.1274242540166638 0.01546069707341599
499 RADIAL 760 1013 1216.002703235032 380.0 506.5 -0.0013442258420936447 -1.088087659854218e-05
219 RADIAL 760 1140 1107.527341945385 380.0 570.0 -0.002223327013143922 -0.00017905247790387833
321 RADIAL 760 1013 1216.0 380.0 506.50000000000006 0.0 0.0
78 RADIAL 1520 760 173.7142857142857 760.0 380.0 0.0 0.0
402 RADIAL 760 1351 1621.3333333333335 380.00000000000006 675.5000000000001 0.0 0.0
116 RADIAL 1140 760 977.142857142857 570.0 380.0 0.0 0.0
279 RADIAL 760 1013 752.7619047619048 380.00000000000006 506.49999999999994 0.0 0.0
24 RADIAL 1013 760 860.0633116883118 506.50000000000006 380.0 0.0 0.0
