# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 138
8 RADIAL 1140 760 2740.5461294642973 570.0 380.0 -0.016908726559002097 -0.0014596285528353055
264 RADIAL 760 1013 1072.5262420346678 380.00000000000006 506.49999999999994 0.007821489212030432 -1.1940491273955407
266 RADIAL 760 1013 1080.6873188001857 380.00000000000006 506.49999999999994 -0.10409245701342074 0.05918074915596043
404 RADIAL 1140 760 1605.280086329585 570.0 380.0 -0.09027613269820409 0.4494771320967932
281 RADIAL 1013 760 2459.774366655576 506.49999999999994 380.00000000000006 0.3063097918036735 0.009818254364064775
32 RADIAL 1140 760 1202.2111267881878 570.0 380.0 -0.12366586127919157 0.45063268145861946
420 RADIAL 760 1102 3636.6300547987976 380.0 551.0 -0.11038610377260358 -0.003424594124754222
37 RADIAL 1147 760 1698.8988953386627 573.5 380.0 0.16429114274885454 0.2399269811842233
421 RADIAL 760 1011 2362.598796911586 380.0 505.5 -0.16288751769747975 -0.011353888914960919
39 RADIAL 1013 767 1140.9112060501432 506.5 383.2972972972973 -0.05532104055402523 -0.1451925058289953
295 RADIAL 1139 760 1259.6395248410236 569.5 380.0 0.03706326978538031 0.029613464943136696
425 RADIAL 760 1057 2321.430077419099 380.0 528.5 -0.140236915262364 0.021470459834739226
325 RADIAL 1352 760 1177.9921338529616 676.0 380.0 -0.07449083890674159 0.058526409560194885
72 RADIAL 760 1013 2168.9187513669117 380.0 506.50000000000006 -0.07253438904230324 0.02125671961090908
329 RADIAL 1140 760 1284.1378411378896 570.0 380.0 -0.09881023951014745 0.06652679528637867
340 RADIAL 1013 760 1110.2507542950218 506.5 380.0 -0.14729171818673958 0.11243958687717397
90 RADIAL 760 1013 2225.2254640396573 380.0 506.5 -0.13771061853668254 0.030639507167159217
350 RADIAL 760 1013 3322.807131017963 380.0 506.5 -0.014154508111360695 0.0002498193897025382
354 RADIAL 1013 760 1025.6249832730314 506.5 380.0 -0.05339780476500483 0.01801649898842619
487 RADIAL 1144 760 1500.789551413207 572.0 380.0 -0.058169128705863216 -0.021981501961606524
506 RADIAL 1013 760 1405.4254566777038 506.5 380.0 -0.09363223487796486 -0.4589545699686364
483 RADIAL 1353 755 1189.8663364058207 676.5 377.5813953488372 0.08598902867235249 -0.2778766149102009
71 RADIAL 1013 767 1143.6174338371668 506.5 383.2972972972973 -0.0720534060783905 -0.09532786644517656
