# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 42
32 RADIAL 1140 760 1188.689526602028 570.0 380.0 -0.11969075191275128 0.4893159377437473
420 RADIAL 760 1102 3628.883543142571 380.0 551.0 -0.0171232804065996 -0.00041765219912699204
350 RADIAL 760 1013 3326.256208567264 380.0 506.5 0.026377764931264605 0.0005738947132018754
404 RADIAL 1140 760 1607.7488707165169 570.0 380.0 -0.061946649006993176 0.4807319508766323
295 RADIAL 1139 760 1247.145158785407 569.5 380.0 0.03930877284466962 0.005532299657778711
71 RADIAL 1013 767 1137.3692502478907 506.5 383.2972972972973 -0.07882970549498738 -0.01331244371180647
17 RADIAL 1140 760 1494.8762923747793 570.0 380.0 -0.05523458551095457 -0.007234412909905708
487 RADIAL 1144 760 1474.400579752347 572.0 380.0 -0.05608834040190512 -0.0023617090774800103
293 RADIAL 1013 760 1045.211008802609 506.5 380.0 -0.17017009481004403 0.02151059216546763
343 RADIAL 760 1013 1429.0227261013065 380.0 506.5 0.13461005044767257 0.507659116457884
132 RADIAL 1140 760 891.4618919841406 570.0 380.0 -0.062057520160593356 0.04296827714302518
8 RADIAL 1140 760 2727.6276129759312 570.0 380.0 -0.0003744990163477486 -1.310668069301137e-06
20 RADIAL 1140 760 1636.405079823127 570.0 380.0 -0.05235309457537013 -0.008242705577914735
318 RADIAL 1018 760 868.0204367544876 509.00000000000006 380.0 1.9840799360764962 -11.865174145370144
208 RADIAL 1143 760 1664.4633837397039 571.5 380.0 0.04458549424949797 0.00736024330466596
323 RADIAL 760 1013 791.0737896433296 380.0 506.5 0.12561464759734411 -0.1637151970650647
179 RADIAL 1013 767 899.3518972335248 506.5 383.2972972972973 0.05275624612053288 -0.18761610463699496
317 RADIAL 1013 760 799.5861970232563 506.5 380.0 0.02944511670033918 -0.04850928791005557
522 RADIAL 1013 760 901.7194359924852 506.5 380.0 -0.1266689248436558 0.02038376859097445
7 RADIAL 760 1140 4091.440815505405 380.0 570.0 -0.0007379200314013323 -2.2384666607197667e-06
268 RADIAL 1013 760 1037.0846861687817 506.49999999999994 380.00000000000006 -0.06426094801256367 -0.010384008587010933
336 RADIAL 1013 760 903.9623362190681 506.5 380.0 0.051218915319174975 -0.09685688643074049
452 RADIAL 1351 754 1084.7201212437553 675.5 377.0232558139535 0.0568408297736841 -0.05602341306554302
3 RADIAL 760 1140 4091.441424553857 380.0 570.0 -5.6948484402708135e-05 -2.135454613840951e-07
4 RADIAL 1140 760 958.2350626046718 570.0 380.0 -0.12149283154213368 0.08148641236314173
520 RADIAL 760 1011 1250.2087407332294 380.0 505.5 0.3357198224950175 -1.112354199833843
285 RADIAL 760 814 568.5145191794596 380.0 406.99999999999994 0.004190305971635338 0.00011901169844240981
362 RADIAL 1351 760 812.3741819426749 675.5 380.0 0.0791450157152045 0.020250696253272263
499 RADIAL 760 1013 1216.00012172084 380.0 506.5 -0.0002768235002140863 -2.828214562830754e-06
12 RADIAL 1140 760 1239.5557566322434 570.0 380.0 -1.0700559545474577 0.240925688132755
212 RADIAL 760 1141 5083.476722309662 380.0 570.5 -6.17805841259791e-05 -1.0217750594981508e-07
402 RADIAL 760 1351 1621.3333333333335 380.00000000000006 675.5000000000001 0.0 0.0
321 RADIAL 760 1013 1216.0 380.0 506.50000000000006 0.0 0.0
516 RADIAL 760 1013 1216.0 380.0 506.5 0.0 0.0
101 RADIAL 1013 760 984.0571428571428 506.5 380.0 0.0 0.0
10 RADIAL 760 1140 1339.0177056597208 380.0 570.0 0.0 0.0
459 RADIAL 1147 760 884.8285714285715 573.5 380.0 0.0 0.0
334 RADIAL 1016 760 2000.2499999999995 508.0 380.0 0.0 0.0
78 RADIAL 1520 760 173.7142857142857 760.0 380.0 0.0 0.0
116 RADIAL 1140 760 977.142857142857 570.0 380.0 0.0 0.0
502 RADIAL 1013 767 854.8967422536901 506.5 383.2972972972973 0.0 0.0
24 RADIAL 1013 760 860.0633116883118 506.50000000000006 380.0 0.0 0.0
