# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2948, mean track length: 5.12
0 0.2667729116584044 0.206635737633636 0.9018715305971893 64 39 22 0.68
1 0.1057256827165897 -0.2411483043803103 1.139910311103203 77 69 58 0.51
2 0.2823767431796999 0.1780563891612838 0.8831452476726591 140 91 52 0.77
3 0.2102965990099136 0.1406203707507406 0.993087923932282 112 84 54 0.46
4 0.1649311700122865 0.1120160357439574 0.8484856457243229 33 14 10 0.5
5 0.1228426091612776 -0.04333288993465922 0.9876148150045041 151 105 65 0.31
6 0.1622428793304855 -0.03771632355094734 1.039907091197163 80 60 48 0.21
7 0.09696425488224336 -0.2248265004610162 1.13420363107982 69 61 54 1.13
8 0.1292789074536069 -0.1246309330988245 1.052871765283071 98 74 57 0.25
9 0.134779452782548 -0.08451213983717371 1.035096600720126 122 90 55 0.24
10 0.1139732532073207 -0.1660113421219486 1.056506476406757 126 95 67 0.2
11 0.1617862172855266 -0.01464175407903723 1.018584531694357 208 154 104 0.89
12 0.09467512855443194 -0.2082063244082763 1.059776408978121 84 63 51 0.3
13 0.07878883966363803 -0.210697636645527 1.044640501617511 172 135 98 0.36
14 0.1267467458622598 -0.0254047989460508 0.9800269829154533 210 148 90 0.21
15 0.07930180944843845 -0.1556545282757392 1.020591834206687 120 87 55 0.18
16 0.07744993918292453 -0.1395994032127606 1.00975582134058 113 79 51 0.95
17 0.1901195670598912 0.2332263993840281 0.9738681867866779 50 33 26 0.21
18 0.1029437671247788 -0.2195617361287376 1.136431854637945 166 176 182 0.53
19 0.115725100303009 -0.2028750319484119 1.081296515820896 99 82 66 0.47
20 0.1242735146954409 -0.1464555206454927 1.055804502545024 110 85 65 0.49
21 0.1382271432233122 -0.08331839890736481 1.037587291896569 95 68 46 0.23
22 0.1168601879123274 -0.1652640015071831 1.059192465437799 115 86 62 0.28
23 0.1263583261065994 -0.08027174517644475 1.022922080387568 107 64 37 0.31
24 0.1021331669781388 -0.1841033327230966 1.049208476731828 136 108 79 0.19
25 0.1051607216204538 -0.1546452343613661 1.042794737846166 150 108 80 0.22
26 0.08900830327516929 -0.2093264129639744 1.056860506712544 139 111 85 0.38
27 0.08720287057057219 -0.2049076682419927 1.054865921343942 109 80 58 0.42
28 0.06018469532046666 -0.1682973733678185 1.011820800199837 190 132 69 0.16
29 0.08295467289976122 -0.1736540812055927 1.032066027877419 121 91 66 0.47
30 0.08721840759023225 -0.146770511309315 1.02702184463416 96 63 29 0.18
31 0.07694581658666644 -0.1853311799904756 1.033170934604467 132 100 72 0.22
32 0.07478655587467031 -0.1838151268851584 1.03178480422573 146 111 77 0.31
33 0.07733460299750405 -0.1477196151182651 1.011688625676313 91 56 35 0.2
34 0.07715935065804391 -0.1268925859908165 1.007900411041218 102 72 49 0.34
35 0.06927827053982982 -0.1577235681382139 1.012693694390869 122 88 58 0.23
36 0.07133006123260877 -0.14946442136458 1.01112282846738 130 92 60 0.31
37 0.08727393029418695 -0.06915200845255065 0.9774884022712971 98 58 32 0.49
38 0.06363818820265255 -0.07246789379300661 0.964852420296179 137 93 62 0.82
39 0.1911510629065821 0.238627233163595 0.9719359122448457 54 45 38 0.26
40 0.1046734449940854 -0.2400930146616795 1.143238935923846 197 214 220 0.8
41 0.1693676448026262 -0.0160570601356036 1.028719183229333 138 87 44 0.42
42 0.09729797275098573 -0.2197900472617872 1.136648760311888 106 107 112 0.55
43 0.1460693860429314 -0.05531561272718249 1.03287252849632 110 67 42 0.4
44 0.1432996635376608 -0.04497349750796703 1.024947911320131 135 92 51 0.38
45 0.1198982088719537 -0.1913577103661936 1.078014185951774 166 132 86 0.22
46 0.1235522471864647 -0.1718050429570133 1.071586424951334 145 113 67 0.21
47 0.1216826169038107 -0.1752605709772627 1.07062854509531 119 84 56 0.34
48 0.1297012864634661 -0.1432466265533275 1.062147861073093 118 87 64 0.25
49 0.1259077108901695 -0.1364608684333153 1.055457223325392 164 110 68 0.44
50 0.10761428471658 -0.1985032306892319 1.075252196302436 100 72 36 1.17
51 0.1145682176251785 -0.09241522015822218 1.020547243196365 84 52 37 0.33
52 0.117122644003142 -0.07999564754618055 1.01718042688668 104 70 42 0.28
53 0.2157455918023698 0.03913279898943034 0.9221372182844652 76 48 31 0.1
54 0.1031988504241593 -0.1055592714831091 1.014560745946562 151 98 56 0.25
55 0.08582230434390092 -0.1949017877925727 1.045571866954882 148 120 93 0.49
56 0.08234563618491642 -0.189306085382445 1.040739376781693 142 108 72 0.48
57 0.2056361291312419 0.03258473237828804 0.9099375539572412 152 105 66 0.63
58 0.07403797677667889 -0.2044761137313348 1.040664527847915 106 73 51 0.27
59 0.07329612991270618 -0.1862210440684794 1.030087505895324 120 86 61 0.26
60 0.07290874304885619 -0.1671830495397132 1.018517122249956 124 86 61 0.43
61 0.08928801740011794 -0.1125098214734093 1.005862018289667 148 108 72 0.33
62 0.08875847925234381 -0.1084990754996721 1.003608682044784 160 108 61 0.5
63 0.1933741174237162 0.02052321799808954 0.9030886068207042 164 117 68 0.4
64 0.05554941082820053 -0.1173186339419345 0.9810737196555148 123 79 49 0.47
65 0.1108760071843132 0.005427968636432384 0.8369678792156972 175 131 83 0.62
66 0.171503873203908 0.2413593295541221 1.022583499842123 83 55 35 0.33
67 0.1580823831576179 -0.04615709738379159 1.04206629167214 88 56 39 0.42
68 0.1558891997739777 -0.05827352239477762 1.035541871237008 80 48 31 0.75
69 0.1176786585717866 -0.1987071696288288 1.076952827503504 139 112 70 0.34
70 0.1219169698245346 -0.1786407032675352 1.068978818317291 144 110 75 0.44
71 0.1213329554015496 -0.162149039967662 1.066004963233046 174 142 99 0.4
72 0.124503525886415 -0.1556296205661833 1.064787284080581 110 73 45 0.41
73 0.1338651204286689 -0.1038054923804782 1.044987948344171 84 55 35 0.45
74 0.1056605626695725 -0.2048396240436335 1.069588869961857 86 64 43 0.51
75 0.1282988619897819 -0.08939040081073157 1.03135903013715 112 82 46 0.47
76 0.09250299544775542 -0.2264998903612693 1.075730630814612 143 85 46 0.36
77 0.1086144477627515 -0.1486079454960322 1.043413297496514 108 75 49 0.17
78 0.1121235158478088 -0.1282851101635878 1.037164568732733 83 58 43 0.32
79 0.09232546181007717 -0.2366713061356757 1.066580119358883 144 105 65 0.71
80 0.1099282514606469 -0.1094498794759978 1.022410049530346 106 69 43 0.25
81 0.2130168660123287 0.06664786027006145 0.9101564448753776 135 89 44 0.46
82 0.210865529637747 0.103020843052029 0.9007881438849278 191 125 69 0.33
83 0.2085877410172208 0.1269092741738836 0.8967648810091139 101 58 30 0.3
84 0.08637644208944772 -0.1877815957611016 1.042610801954221 140 110 79 0.29
85 0.2049420592772395 0.1035896854926192 0.8948735473851737 126 78 39 0.3
86 0.07566341040567282 -0.1715282581851483 1.024579386849005 136 98 70 0.23
87 0.07581783521641361 -0.1557154306385919 1.018414322552955 81 57 44 0.31
88 0.07102059447743703 -0.154370143531659 1.013851324181892 167 110 59 0.29
89 0.1946515360804743 0.07061475003850037 0.8900030240315464 125 80 55 0.55
90 0.352766278450181 0.2006116272607752 0.7779067034224759 81 59 34 0.45
91 0.1797573770751619 0.04130365798077212 0.8867534632351025 149 87 47 0.85
92 0.1293614226430397 0.008373494387350494 0.848682969074388 134 90 52 0.4
93 0.387984759509564 0.1951837125828702 0.7232275251201912 109 84 54 0.46
94 0.4039184317211447 0.1745387275220987 0.708380804245522 63 52 38 1.6
95 0.1242957240728615 0.1786818751930351 1.120129009809603 95 71 57 0.55
96 0.1924082992048796 0.2379989424343287 0.9740183264763991 31 22 15 0.31
97 0.1317290824384343 -0.1200708545261179 1.048060478676457 140 95 47 0.31
98 0.1167915359791115 -0.1826453922765567 1.067833123654704 75 55 39 0.28
99 0.1195204561880816 -0.163479870910371 1.06101191925523 85 62 43 0.35
100 0.1123393211776329 -0.1112876764916945 1.026119195670573 137 97 61 0.26
101 0.1192406122257633 -0.08745288183564165 1.019218578424907 97 64 46 0.56
102 0.1171805849781953 -0.08764380435942593 1.019519804768761 77 51 35 0.49
103 0.1269811466474398 -0.06518010528757223 1.011943716830774 70 39 24 0.25
104 0.2136930056966939 0.08966239239396853 0.903585132953058 152 97 55 0.47
105 0.2022235337697051 0.09584478936075597 0.8942724073586183 128 72 34 0.41
106 0.2015591577450592 0.06334387440687067 0.8996588166498041 151 95 54 0.69
107 0.194482284075605 0.08333991396679324 0.8848815577563551 146 101 61 0.28
108 0.06004768877994793 -0.07940511627044544 0.9606998085573428 148 103 66 0.74
109 0.06479425235227509 -0.06054172139046715 0.9592090605649185 80 55 40 0.57
110 0.1820309394350161 0.02590646032545485 0.8777170937731886 155 110 76 0.48
111 0.1330842023537884 0.09525686508807066 0.830712036145707 137 80 35 0.68
112 0.3532536255335912 0.1692328725447821 0.7881664649155861 72 61 50 0.44
113 0.08271788939317326 -0.1631914212688658 1.157398213408565 175 184 188 0.48
114 0.144444969728691 -0.09145724425747748 1.054098503928016 102 68 51 0.51
115 0.1466195718739642 -0.04045149788105684 1.022789164561934 119 83 54 0.37
116 0.1374312545134659 -0.07996365285564611 1.034427229232846 159 127 83 0.22
117 0.1122406297577678 -0.1004475444599117 1.023704093257748 111 72 47 0.5
118 0.2120289391140893 0.09865074956290837 0.9041955082749726 103 56 27 0.68
119 0.0888770656874418 -0.1054439593012141 1.005059866084999 105 65 34 0.52
120 0.0657715878382894 -0.1460657109365802 1.009356156215816 166 116 77 0.54
121 0.06899845844093355 -0.1298750009961556 0.9979306942063746 114 71 43 0.72
122 0.06138130302584344 -0.08086665376396668 0.9662529091218299 108 70 43 0.61
123 0.1851618669400381 0.05627285028331494 0.873512987877591 132 91 58 0.64
124 0.3556173399135638 0.223496455972698 0.7582924591494294 80 70 51 0.2
125 0.1638888076564022 0.05027806255472242 0.8564441231262157 144 103 63 0.57
126 0.2363690584400284 0.2666144802280655 0.9203123287253929 46 33 22 0.85
