# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 58
161 RADIAL 1013 767 982.3054609257232 506.5 383.2972972972973 0.04018033566795068 0.01582581394806453
100 RADIAL 1025 776 867.8169197342585 512.5 387.8378378378378 0.02336517564788782 0.05469688990272503
351 RADIAL 1013 760 945.5984774310717 506.5 380.0 -0.03849718159661134 0.03345562311737179
327 RADIAL 1013 760 839.0832340567716 506.5 380.0 -0.17246736040222702 0.10162393873867717
345 RADIAL 1013 760 1370.4568956682253 506.5 380.0 -0.152985733916956 0.18764414550288327
141 RADIAL 1348 752 1124.8587464506165 674.0 376.18604651162786 0.10411829699367563 -0.24812168603921783
494 RADIAL 1013 760 916.7466485110633 506.49999999999994 380.00000000000006 -0.11607261819863364 -0.09825963628835613
175 RADIAL 1185 770 930.5258911342212 592.5 385.125 -0.031916563967980593 -0.0559957462639956
205 RADIAL 1140 760 909.0967661022164 570.0 380.0 -0.07698806843414611 -0.05265798230149875
401 RADIAL 1351 760 1095.2217150420947 675.5 380.0 0.39459224007089366 -1.3692879207735351
146 RADIAL 1013 760 907.6873220424791 506.5 380.0 -0.16848347977285708 0.11969400909086876
339 RADIAL 1267 773 1221.6534729750038 633.5 386.280487804878 -0.2854685526177846 1.6130963115772827
83 RADIAL 1013 767 966.0862054669457 506.5 383.2972972972973 0.10200149021132529 -0.21902318579185118
498 RADIAL 1013 760 915.904197594782 506.49999999999994 380.00000000000006 -0.20872133867054196 0.22085998447586272
278 RADIAL 1013 767 1166.8012667823525 506.5 383.2972972972973 -0.06748313679626095 -0.0021520312382777647
313 RADIAL 1013 767 1010.6167064054652 506.5 383.2972972972973 0.03291281669243939 -0.037170076478953304
159 RADIAL 1013 760 923.4780872361376 506.5 380.0 0.08468544525206873 -0.12405953255026068
142 RADIAL 1576 777 1325.5102100310678 788.0000100665624 388.44444945898925 0.07855899654337688 -0.3918458193268045
145 RADIAL 1013 760 761.8687281494115 506.5 380.0 0.01963336772704085 -0.04045922712694539
439 RADIAL 1013 767 984.6797630404419 506.5 383.2972972972973 0.03682907545086989 0.014789959783988888
62 RADIAL 1013 760 1134.2583185630679 506.5 380.0 -0.10017487307859493 0.03093028409892031
447 RADIAL 1351 754 1077.5913712583658 675.5 377.0232558139535 0.23856674041919007 -0.5635919613067079
63 RADIAL 1140 760 958.2854438016467 570.0 380.00000000000006 -0.15960227586146633 0.14998940739478506
493 RADIAL 1351 754 1129.0391441863892 675.5 377.0232558139535 0.14825655762160578 -0.18605065774628132
112 RADIAL 1013 760 1063.2563733505003 506.5 380.0 -0.18705785689272936 0.22839083629530246
384 RADIAL 1013 760 761.989261531346 506.5 380.0 -0.007891590914314024 -0.030707512954666963
274 RADIAL 1249 762 1138.895443219815 624.5 380.7926829268293 -0.005530255339501741 -0.08142152393427182
288 RADIAL 1013 760 782.8344064553894 506.49999999999994 380.00000000000006 0.37692357032983975 -1.4390604307999109
55 RADIAL 1013 760 839.6323359589809 506.5 380.0 0.1110123449331693 -0.1619718018208316
443 RADIAL 1013 760 840.3794174384768 506.5 380.0 -0.010696487379642688 -0.03834869201055685
448 RADIAL 1013 767 1080.9459599632057 506.5 383.2972972972973 -0.007136234237131388 0.061613823186055544
84 RADIAL 1614 777 1174.8758615464424 807.0000019073486 388.44444444444446 -0.11237397619037004 0.4325768154173285
114 RADIAL 1140 760 961.9107020601297 570.0 380.0 -0.17121136705545942 0.11934231596150825
456 RADIAL 1140 760 955.9984891450604 570.0 380.0 0.6682602805499901 -2.7860126880529448
96 RADIAL 768 768 819.2165687148195 384.0 384.0 0.07563065243764107 -0.016728294648685617
113 RADIAL 1140 760 897.072729628539 570.0 380.0 -0.09705106481279663 0.020720090197929017
151 RADIAL 1144 760 907.6860222610818 572.0 380.0 -0.1402040080834468 0.0969556049762971
396 RADIAL 760 1013 660.5131202456888 380.00000000000006 506.49999999999994 0.12719546187427466 -0.0020498965596869477
22 RADIAL 760 1140 1336.079954411479 380.0 570.0 0.010864834571263898 0.0009207927712240864
268 RADIAL 1013 760 1054.3923434104518 506.49999999999994 380.00000000000006 0.07480787508891791 -0.014645420403473915
163 RADIAL 1038 757 1161.3737530799046 519.0 378.7297297297297 -0.5023208976015716 1.9655996565633334
45 RADIAL 1013 760 897.8959017163115 506.5 380.0 0.010010503832009278 0.0005220581710574865
147 RADIAL 1013 760 902.9731675336136 506.5 380.0 -0.20860493547541317 0.2222157820449259
333 RADIAL 760 1013 785.6938249640842 380.00000000000006 506.49999999999994 0.31014623341262476 -1.3394664619441232
110 RADIAL 1013 760 865.5338327036427 506.5 380.0 0.23427002372670486 -0.6461788214743887
474 RADIAL 1140 760 902.5150137043593 570.0 380.0 -0.09650496557370523 -0.05401268120897546
74 RADIAL 1926 777 1177.8806993405237 962.9999898362724 388.44443760918904 0.13339375030213552 0.008217648329089862
363 RADIAL 1013 760 1049.627847043995 506.5 380.0 -0.21483113503845308 0.05077998488633466
173 RADIAL 1265 760 1015.0691863535576 632.5 380.0 -0.11698431567678873 0.03675088553573731
67 RADIAL 1091 760 905.2155767057366 545.5 380.0 -0.07443097205700058 -1.368959099557588
221 RADIAL 1140 760 819.5170400497568 570.0 380.0 -1.1939159161160646 3.719206462408386
318 RADIAL 1018 760 863.4427746987458 509.00000000000006 380.0 0.03495404526942925 0.002402243759323556
397 RADIAL 760 1140 1365.7673302746598 380.0 570.0 0.05613912957573495 0.002184502993258468
