# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 8294, mean track length: 6.15
0 0.07424460325549243 -0.2195186721263944 1.077138210172243 103 78 56 0.5
1 0.06795227840379481 -0.2157342980278518 1.071474579145733 94 70 52 0.47
2 0.06239323400127095 -0.1839479891835911 1.048461893892495 105 77 57 0.5
3 0.1006273473551786 -0.1939891326314086 1.091350492579649 99 74 49 0.73
4 0.05586670245994385 -0.1962372815936507 1.050139754420615 121 84 56 0.35
5 0.08384656683236236 -0.1939784231942132 1.065038813231267 129 105 80 0.45
6 0.09591181254546421 -0.1868305558291289 1.080928526739502 102 76 48 0.4
7 0.09797147167416809 -0.1858941154821951 1.084412852926985 107 76 58 0.59
8 0.4474904577877735 0.1421042765258264 0.6463658392710928 192 164 136 0.56
9 0.452077739343342 0.1405222042067472 0.6496284091434597 189 150 120 0.34
10 0.0648454063738505 -0.163355523471693 1.037616487271899 115 85 59 0.45
11 0.1097530842395667 -0.1453185088847588 1.074009486645869 62 45 38 0.31
12 0.05435061450336098 -0.1464758464032566 1.02096073916596 103 69 46 0.61
13 0.05663382772028613 -0.153597214131329 1.027583375621545 104 74 58 0.62
14 0.06666115768510394 -0.1561584141399051 1.043477168896274 96 63 29 0.24
15 0.1326352101414397 -0.1098110670090766 1.077136510156019 130 93 60 0.39
16 0.04775409581940138 -0.1275178669402679 1.00254333667083 150 100 63 0.5
17 0.08677362422304713 -0.1070607352050268 1.027012793206365 120 97 67 0.98
18 0.1174207520640749 -0.09129092689669313 1.050423864936643 122 90 55 0.2
19 0.09468805353076337 -0.08205968048660597 1.017801089196665 123 95 73 0.48
20 0.04323261711817139 -0.1018045161531007 0.9873432236382542 141 100 67 0.48
21 0.1383369371633604 -0.04465241912983423 1.04452655269562 112 84 57 0.35
22 0.1089821076801052 -0.04181920741837672 1.000469899329447 119 78 48 0.44
23 0.2006210887053354 0.07704290720284804 0.9103659129062385 138 96 52 0.94
24 0.2748938216893295 0.2109782302285855 0.8749507113762283 123 94 62 1.15
25 0.068812029554431 -0.2207551690236529 1.073931119528218 126 100 75 0.49
26 0.05317320461041342 -0.2157553441840474 1.057662200518362 106 73 51 0.31
27 0.05846447533585575 -0.2050172390023548 1.055061735778565 147 114 78 0.3
28 0.06346570062866919 -0.2022837518210877 1.058313981017863 100 74 55 0.38
29 0.08556295815283566 -0.1930616418451195 1.072080782250093 167 118 76 0.27
30 0.04874942195831333 -0.1867159346340713 1.038481032025403 108 76 55 0.39
31 0.07110212859586951 -0.1580549876904689 1.078101382685827 114 80 42 0.71
32 0.1127218127562599 -0.1438068296820515 1.07601157283782 100 68 43 0.49
33 0.1181637265628487 -0.1471597822649567 1.08162209411007 81 63 48 0.62
34 0.1032222642693817 -0.1321252306898263 1.057994675331405 131 91 52 0.23
