# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 46
494 RADIAL 1013 760 893.8985125190842 506.49999999999994 380.00000000000006 -0.09039111681240684 -0.4277134899731366
175 RADIAL 1185 770 946.2583596741101 592.5 385.125 0.02207211942271744 -0.10554830893285073
401 RADIAL 1351 760 1093.876245389336 675.5 380.0 0.43430001737669227 -1.5682065839250796
339 RADIAL 1267 773 1241.7918237111428 633.5 386.280487804878 -0.31634378052739 1.6578340545988965
313 RADIAL 1013 767 1035.0839064555457 506.5 383.2972972972973 0.07485447648781465 0.008064790743142265
161 RADIAL 1013 767 1008.907448532519 506.5 383.2972972972973 0.04585247692854287 0.04827469424975647
100 RADIAL 1025 776 897.2848444322684 512.5 387.8378378378378 0.02213004489502079 0.01791475116302986
447 RADIAL 1351 754 1086.7202128367337 675.5 377.0232558139535 0.30628142979347744 -0.9122314257898079
142 RADIAL 1576 777 1346.4958121064108 788.0000100665624 388.44444945898925 0.024434607645023313 -0.08279392531353799
112 RADIAL 1013 760 1042.0117341137284 506.5 380.0 -0.10015174578749912 0.011423173570657323
278 RADIAL 1013 767 1183.9808625858695 506.5 383.2972972972973 -0.012644318163457645 0.030153457165616473
439 RADIAL 1013 767 1018.0580348311922 506.5 383.2972972972973 0.027171848097198477 0.08937892879568027
351 RADIAL 1013 760 951.9919894897149 506.5 380.0 0.03144711258277025 0.013693982537749666
448 RADIAL 1013 767 1103.5795483435338 506.5 383.2972972972973 -0.009805102953554514 0.03550829749880553
141 RADIAL 1348 752 1149.465495993279 674.0 376.18604651162786 0.0748377972353165 -0.05309648751017437
114 RADIAL 1140 760 962.2511144614454 570.0 380.0 -0.15236906452643773 0.20806186701871934
274 RADIAL 1249 762 1155.2160494221807 624.5 380.7926829268293 -0.009707502982728365 0.08302661272981007
84 RADIAL 1614 777 1194.3853513445583 807.0000019073486 388.44444444444446 -0.031854934297111226 0.45538962705909725
456 RADIAL 1140 760 908.0504629122191 570.0 380.0 1.0180419430939096 -2.7491472059873643
96 RADIAL 768 768 836.6470166247747 384.0 384.0 0.156182368092673 0.028562000800683267
493 RADIAL 1351 754 1151.286646789731 675.5 377.0232558139535 0.1039984442222987 -0.014527893461077284
384 RADIAL 1013 760 729.3833554922161 506.5 380.0 0.12782276989123392 -0.09496497310982309
113 RADIAL 1140 760 893.9547735956006 570.0 380.0 -0.04785665766830814 -0.01071809300481901
151 RADIAL 1144 760 891.9063544433216 572.0 380.0 -0.03877455285471915 -0.056373802912285616
288 RADIAL 1013 760 774.2366720851016 506.49999999999994 380.00000000000006 0.35577006492345986 -1.6489714383301008
396 RADIAL 760 1013 636.8977812228936 380.00000000000006 506.49999999999994 0.027003763117747055 -0.000898193113864932
22 RADIAL 760 1140 1338.002126300997 380.0 570.0 0.011904083081334829 0.0009102293312398221
318 RADIAL 1018 760 863.3860776544304 509.00000000000006 380.0 0.024502866899463887 0.001515706017157081
62 RADIAL 1013 760 1113.7910620786872 506.5 380.0 -0.04656844681338209 -0.003247171387786553
163 RADIAL 1038 757 1190.6266461765315 519.0 378.7297297297297 -0.5646106015238644 1.988660032475179
45 RADIAL 1013 760 897.2616641390615 506.5 380.0 -0.002030649170777847 -5.917359500549146e-05
333 RADIAL 760 1013 760.7188652777962 380.00000000000006 506.49999999999994 0.24528302174516317 -1.3447238522588956
110 RADIAL 1013 760 842.5017381658497 506.5 380.0 0.22955542276389068 -0.7588261656308638
474 RADIAL 1140 760 890.9732729173635 570.0 380.0 -0.0025349419402425455 -0.3888667407066929
74 RADIAL 1926 777 1179.109748738213 962.9999898362724 388.44443760918904 0.1406583395440005 0.008780772934000616
146 RADIAL 1013 760 880.0988849618319 506.5 380.0 -0.08479379032327129 0.07808581537841801
221 RADIAL 1140 760 814.2956149889751 570.0 380.0 -1.208012613560523 3.7193764953044677
67 RADIAL 1091 760 856.7660385243375 545.5 380.0 -0.06297854229256546 -1.3721532655489377
55 RADIAL 1013 760 811.7034873097672 506.5 380.0 0.06562633610616052 -0.03722747768564781
173 RADIAL 1265 760 977.6448011351703 632.5 380.0 -0.027253940479951683 -0.037396354191790306
363 RADIAL 1013 760 1021.7280942163786 506.5 380.0 -0.23035140002461868 -0.0089523651299443
443 RADIAL 1013 760 822.1626306300606 506.5 380.0 -0.0373315747576479 -0.017313478932929987
75 RADIAL 760 985 843.9637359491529 380.0 492.5 -0.013166786299863953 -0.00048220419978109447
397 RADIAL 760 1140 1367.8927162309133 380.0 570.0 0.05234851933972291 0.00215046440082418
482 RADIAL 1596 760 1231.2000000000003 798.0 380.0 0.0 0.0
347 RADIAL 760 817 980.856 380.0 408.5 0.0 0.0
