# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 9344, mean track length: 6.33
0 0.08052516866623505 -0.2158040186697709 1.073697958061311 92 68 51 0.45
1 0.1105850801232671 -0.1890939885032238 1.089523015707378 99 75 54 0.54
2 0.06292611007831184 -0.192545690634821 1.046701914137609 115 79 52 0.4
3 0.1082069299301853 -0.1714801352625744 1.082885847462801 151 114 74 0.63
4 0.08398728572775238 -0.1667744160419747 1.062416701978187 143 104 77 0.43
5 0.1155399999776081 -0.1423837770096669 1.070520384980701 62 45 38 0.45
6 0.06062072505723359 -0.1624958691128532 1.025784451552276 97 66 42 0.49
7 0.07403633670458176 -0.1404012683812653 1.021959503801046 140 101 55 0.54
8 0.07757050012472377 -0.1334446942046464 1.02569625525328 158 121 81 0.62
9 0.1194680968614142 -0.1119989067195123 1.053499358606992 160 125 83 0.31
10 0.1375951973096253 -0.1076657007348537 1.074191720745775 126 92 62 0.45
11 0.0550059822396235 -0.1248618955824591 0.9997998176118729 118 78 52 0.68
12 0.1092186022582824 -0.1052497816345381 1.04038065823185 148 119 76 0.37
13 0.1196101143095838 -0.1064627337390572 1.051531617606283 155 126 85 0.39
14 0.1204576232590253 -0.08834398919792258 1.046856400392562 133 114 82 0.61
15 0.1252714987361895 -0.08648274653885601 1.048593488259481 147 116 96 0.53
16 0.05535943772105845 -0.1167933529717611 0.9987298947192835 131 93 55 0.3
17 0.06210140251498797 -0.1001634696039682 0.9915013736972935 70 54 44 0.42
18 0.1028417595803742 -0.085112545658931 1.02695270712634 100 76 56 0.6
19 0.1471865700312569 -0.0362880863425552 1.042757578935228 151 117 75 1.0
20 0.3823900709053474 0.1587934811886939 0.7148783412287492 108 89 51 1.04
21 0.4353389293285911 0.1760813946135266 0.6644616465030532 119 93 59 0.84
22 0.3802780046189308 0.1637740184774715 0.7511119434683664 114 86 49 0.54
23 0.09149824822982755 -0.2094672180778786 1.077640688231196 140 113 81 0.53
24 0.08429058251847366 -0.2045821453582217 1.076092835237477 194 156 101 0.6
25 0.06804775821255804 -0.1828356078813745 1.042963968126723 115 75 44 0.16
26 0.1130007242887183 -0.1806336238912138 1.087105303693289 114 82 53 0.48
27 0.05630277859668897 -0.1828620719081386 1.034920849542934 106 75 56 0.44
28 0.06026894417783601 -0.1731737084702095 1.030768707518128 129 91 59 0.64
29 0.06295835764225699 -0.180974092172846 1.038089666685074 113 81 57 0.4
30 0.07338032875257294 -0.1622175167648222 1.03359388011304 106 80 59 0.59
31 0.1172445065449661 -0.1492859453783845 1.075393724470595 115 85 62 0.4
32 0.05669819772034101 -0.1636159029499719 1.024684145140904 114 82 56 0.77
33 0.09397379672768225 -0.1358269886044912 1.040719717991345 143 111 84 0.25
34 0.09033163877453321 -0.09190305440896951 1.008167473177232 88 60 37 0.38
35 0.1342067028193422 -0.05673998421796428 1.040956397427216 122 87 56 0.23
36 0.2095660673309228 0.03805969370916307 0.9293734947250858 101 66 39 0.81
37 0.1976243729509979 0.05580086630165029 0.9209904113078798 174 121 75 0.85
38 0.1621467327074546 0.07302278983028845 1.021938534150304 133 95 69 0.68
39 0.07838955180812113 -0.2448531087429237 1.080721532709521 138 98 61 0.8
40 0.08514773865915515 -0.23549544737657 1.092957811378602 113 88 66 0.78
41 0.1099041478103039 -0.2110683238844866 1.099660352262131 136 112 80 0.74
42 0.1088053485647098 -0.1855678272205283 1.082692082046225 145 112 77 0.56
43 0.07485899866205048 -0.1937322339046939 1.054567994844081 113 91 74 0.77
44 0.07219959461894288 -0.1856377242704545 1.053068200998363 164 124 89 0.62
45 0.09151816002087332 -0.1763626852592206 1.054611103845979 122 86 56 0.22
46 0.06089478088726941 -0.1587820477417486 1.025017592629054 150 104 65 0.72
47 0.06621980250571635 -0.1379114007243549 1.015983612641281 142 106 73 0.83
48 0.06714113504371744 -0.1413445572368585 1.020709557978519 84 57 39 0.5
49 0.08922279887090012 -0.1423306178241752 1.038041117186609 119 81 52 0.54
50 0.1036416079803666 -0.1173096933765058 1.043627081504256 141 104 64 0.75
51 0.0715063974113751 -0.1207491554810228 1.011224619583058 111 83 44 0.25
52 0.1239254360874767 -0.0991767410828327 1.055698968715841 95 58 34 0.88
53 0.05110408895320606 -0.1100622226057727 0.9916851423820692 159 107 66 0.16
54 0.07541411841842038 -0.09809339320599952 0.9964867045496706 118 94 54 0.67
55 0.4872674407719672 0.1856464398187459 0.5815930765429544 108 79 44 0.5
56 0.3896395265971043 0.1530485691258301 0.7358106140902448 177 133 82 1.15
57 0.1239012476539745 -0.1076749239475568 1.05946109897681 100 68 43 0.75
58 0.1034564777624304 -0.1125511355306774 1.040303210949581 88 61 42 0.43
59 0.2114628892038673 0.05375357624354823 0.9286892327304076 142 94 53 0.47
60 0.4239181146494467 0.1588653473996388 0.685568879466307 93 62 38 0.36
61 0.08869192482419386 -0.2002230761019547 1.075050750197395 166 139 101 0.65
62 0.1050731956603865 -0.1627134171905509 1.071382946150828 93 62 39 0.55
63 0.07791425987622325 -0.1249176038443855 1.021858667541875 171 120 78 0.65
64 0.2051530927301951 0.05217049385407826 0.9277141337736143 125 78 45 0.54
65 0.0853085273650741 -0.1005011657379614 1.013568890965902 180 138 88 0.81
66 0.1980783219122261 0.03405348451086254 0.9221892107631897 104 59 30 0.89
67 0.4518586369000527 0.2175647053062442 0.6326205343792975 83 63 40 0.55
68 0.4729269364064982 0.2143537691457017 0.6029756630457743 78 58 44 0.44
69 0.4734607111893293 0.1882871770486424 0.6022173148818505 131 103 50 0.35
70 0.4791117016978347 0.2129718642508521 0.5952144490193954 40 24 11 0.48
71 0.4615476135486606 0.2131353051084248 0.619423526734553 50 37 29 0.74
72 0.4758772196167895 0.2088505335775667 0.6019386604836128 102 80 54 0.58
73 0.1838900651312021 0.09069578977717979 1.008496852674078 79 55 39 0.55
74 0.4925899656043544 0.0983175289878564 0.493602794610915 168 124 85 0.73
75 0.1455701172514074 0.01177092580693506 1.096511677268794 85 59 47 0.6
76 0.1124057134214004 -0.06365089521383155 1.131447504394951 85 59 43 0.38
77 0.1280123709225991 0.01759195183898768 1.118936767285036 69 46 34 0.75
78 0.1420610209793244 0.08707861963860744 1.124889471445991 80 50 28 0.61
79 0.1616416819003705 0.004576890359014985 1.066040458090968 137 105 75 0.66
80 0.1269433809481152 0.0263225154492652 1.128319959086743 109 84 62 0.73
81 0.1725836153771093 0.07372136218190212 1.057539938760583 132 101 69 0.53
82 0.2988040748970614 0.182315697649753 0.8568292167272133 79 55 38 0.56
83 0.1777438790730354 0.09512411609962548 1.051245932228146 144 116 87 0.45
84 0.2493053758629546 0.2097675663033109 0.9164893963153703 119 78 40 0.42
85 0.2560357211936195 0.2318136732656106 0.898849840650733 110 62 44 0.79
86 0.2949125711521712 0.1959857627456154 0.8602660129819276 78 52 32 0.65
87 0.2934871738737096 0.1901748608337752 0.8644019879196689 68 48 34 0.27
88 0.05407037961988592 0.2173920652650651 1.198879371676842 98 84 77 1.33
89 0.3743149673046094 0.1807809487197614 0.7499793394208794 57 37 21 0.94
90 0.129938242877496 -0.1285990348637147 1.083640609678286 164 135 100 0.9
91 0.1536974119636221 -0.01842814216601413 1.036864810727971 136 88 45 0.27
92 0.2400688412372317 0.1981555554507246 0.9514333981272689 61 46 31 0.42
93 0.08029647798345507 -0.2817800302068452 1.143751292730318 109 97 88 0.57
94 0.1674112870464659 0.1229958759036486 1.065208454351524 79 50 30 0.55
95 0.3214194125927142 0.2743911570037361 1.096387500110389 80 46 23 0.36
96 0.1451096825797357 0.07609348019909806 0.8707156747501568 105 76 54 0.28
97 0.06150968556848924 -0.1792022926473965 1.037221882331786 132 104 75 0.78
98 0.09455201709503169 0.08721844377012175 0.822913705404249 176 123 65 0.46
99 0.09380047661682955 0.1151411928663214 1.182831264822763 182 181 168 0.44
100 0.3173409279893175 0.2120717477721598 1.136371584613056 164 185 195 0.67
101 0.4168992250914101 0.1787771764326029 0.6846523365234194 142 104 58 0.74
102 0.1654615044368412 0.1163307170011543 1.078366948912471 111 77 58 0.21
103 0.1616018612910983 0.03945937007748479 1.062262587701887 107 76 49 0.78
104 0.2591127452881918 0.07661157713150779 0.9409484732375326 93 57 33 0.6
105 0.0920488467173991 -0.2277977013699509 1.142806001969632 60 47 42 1.07
106 0.1057725440924088 -0.1910646734456274 1.088336582508437 89 63 41 0.63
107 0.09053361782389191 -0.1988557320018305 1.082375186766334 81 68 55 0.35
108 0.1138925664956767 -0.1334930683600983 1.059256334064156 88 54 26 0.28
109 0.1308903687620425 -0.03345610962078993 1.014864900445089 139 106 70 0.34
110 0.0861404316572123 -0.1980602129675135 1.071852035461866 197 165 111 0.13
111 0.08094612035360382 -0.2163331920837143 1.077488312876478 101 78 62 0.79
