# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1231, mean track length: 4.54
0 0.1202650688733894 0.04595553161988777 0.884194704593963 79 48 29 0.25
1 0.009035004493537779 -0.2174974366375859 1.080150153852692 79 64 44 0.4
2 0.1542019664081408 0.2559722777349533 1.055338835976165 102 78 71 2.52
3 0.513804732491145 0.1150443539551002 0.4769269968918087 112 84 58 0.35
4 0.04199624397533097 -0.1595497086892542 1.183399956074654 207 220 227 1.28
5 0.4232408067774634 0.1557868316285081 0.6694226028650178 90 71 54 0.79
6 0.09714401602738909 -0.04390345178927293 1.063086100892791 84 63 49 0.49
7 0.05965746120196647 -0.2074677384285579 1.125492700734127 56 43 37 0.15
8 0.07411095002743817 -0.1021612085006468 1.077056294055662 117 80 51 0.38
9 0.02594493515759866 -0.2358343447956026 1.110965438526174 95 71 53 0.3
10 0.0126489329230266 -0.2381637640505378 1.099638486911453 81 60 43 0.46
11 0.0804029578998704 -0.03622322682672605 0.9904065262646016 128 83 55 0.46
12 -0.02405627029073676 -0.07535312698916949 0.9704179048224459 136 112 102 0.85
13 0.09792879683017414 -0.05388390857787703 1.06984986260017 118 86 58 0.39
14 0.08703110789032698 -0.07462641852234445 1.070504172913695 104 75 46 0.4
15 0.04416484115060915 -0.2111402044960937 1.111177320496061 103 73 51 0.31
16 0.03782672893993122 -0.2218378624874715 1.116223003627246 80 62 51 0.18
17 0.01858071308127174 -0.2373904006937955 1.104828110308304 99 73 53 0.54
18 0.004940821264484363 -0.2409879908590176 1.101447911895542 87 65 53 0.48
19 0.01293532423135291 -0.2183069406705893 1.08812925911679 95 66 47 0.34
20 0.01249653919604143 -0.2184549836640568 1.088468353608099 92 65 48 0.34
21 0.01682587542076441 -0.1978912631430733 1.081045606812662 86 59 43 0.41
22 0.0169476372831846 -0.1978564578025389 1.081059990685064 72 48 33 0.35
23 -0.009990381347145805 -0.2242454166809712 1.073866886890168 113 90 79 0.32
24 -0.01398008923569238 -0.2143034796329158 1.067704304353324 138 127 124 0.45
25 -0.009025453227700653 -0.2002165145603384 1.054784246879987 164 163 171 0.81
26 -0.02796326228200796 -0.1062312970823298 0.9929852786474962 158 151 150 0.94
27 0.1734515930854993 0.1964803223921755 1.01300691338865 66 55 33 0.81
28 0.130231789493488 0.01547087555362617 1.062836941792348 103 71 50 0.52
29 0.09299356744166354 -0.1296276294205344 1.110688327613045 85 57 40 0.18
30 0.07300676678616258 -0.1653075255134665 1.122611074593513 101 65 42 0.45
31 0.06498512043987636 -0.1659415359731859 1.108200222700181 92 65 45 0.18
32 0.06825972135987546 -0.1240180100577878 1.084479606402717 95 64 45 0.21
33 0.08782031765626186 -0.05130242615526789 1.056147066391262 151 124 99 0.67
34 0.07251039690753347 -0.07187830191807074 1.054561955886792 107 68 42 0.4
35 0.05143125460586373 -0.1115129992920215 1.064021677379704 98 67 48 0.72
36 0.1716116875216786 0.03110507088358525 0.9500386304609333 99 59 34 0.45
37 0.02379401309925966 -0.2333143816387849 1.104245420529524 124 91 71 0.11
38 0.03152987594607171 -0.20085220286792 1.090107242273637 89 65 38 0.58
39 0.0262768409774885 -0.1953199422963562 1.086982151662542 64 45 37 0.31
40 0.02062330652469369 -0.197005301797862 1.084440258478892 94 62 44 0.32
41 0.006463177060794356 -0.2219393254473288 1.085838739410029 131 96 64 0.34
42 0.003938732220645336 -0.2003342252434294 1.071486920521948 105 73 51 0.38
43 0.1542300240509845 0.01272429550099452 0.9370416004905151 143 112 87 0.49
44 -0.01163119105592125 -0.2340351513884261 1.079876601780049 151 154 161 0.31
45 -0.01293690336474818 -0.2236374597132345 1.071758627011564 172 173 174 0.41
46 0.1470754292746334 0.01142118469068731 0.9317997007687875 131 105 81 0.21
47 -0.01777674946744989 -0.1747783137382905 1.041312542103022 171 163 163 0.47
48 0.005298278530784573 -0.1183049188181703 1.023392901002253 102 70 47 0.47
49 -0.02275897077224198 -0.1348017780898837 1.014465277618446 167 157 156 0.57
50 0.07491724745966299 0.003954233723942768 0.8779023469081798 118 73 44 0.54
51 0.08033944948094696 0.0803260604077688 1.17853287028408 131 103 81 0.35
52 0.2526776617607487 0.1263380870122869 0.9194584209490082 107 59 33 0.56
53 0.02662566933898092 -0.2936365088426592 1.186833830940629 111 102 94 1.34
54 0.05531772565511839 -0.2314168181970971 1.134706679577553 138 112 91 0.24
55 0.05385915456332158 -0.2050185975659079 1.117479419450894 125 97 67 0.38
56 0.02831094559753411 -0.2563063838417169 1.132865776431742 40 24 21 0.59
57 0.04484131143481174 -0.2296934083481059 1.123937801298673 66 47 32 0.37
58 0.03421586869347348 -0.2337391141873145 1.119637846520968 71 48 32 0.51
59 0.04986858739811029 -0.1688360405799255 1.094207242533538 68 38 23 0.32
60 0.03935423261491333 -0.189268798290625 1.096514534618794 103 88 55 0.24
61 0.04321589287937944 -0.1709260584885689 1.08805564561307 82 52 34 0.3
62 0.1649239335554915 0.08547302962520448 0.9305902443164825 108 55 25 0.36
63 0.167117823264773 0.1226632027233044 0.9220871107298019 110 66 38 0.93
64 0.008765707401275802 -0.198973120557758 1.075895615335402 69 41 26 0.29
65 0.1590290321781139 0.09784810791416851 0.9163242154781905 126 71 39 0.79
66 0.008251389791574359 -0.1386523726658211 1.03991678818946 52 34 28 0.17
67 0.1482864440160269 0.08247493460341637 0.9093679294189277 123 71 42 0.71
68 0.1343574979875023 0.06192408891586682 0.9074688010313651 124 95 71 0.6
69 0.12417916953126 0.04414570571389184 0.8859084958024903 122 81 55 0.66
70 0.1205702416768651 0.045529674803408 0.8867459952939004 148 112 76 0.45
71 0.1509894371235002 0.1549959634621927 1.054767994082318 47 32 27 0.43
72 0.07365888186668157 -0.1639565252113534 1.11916997631702 72 47 35 0.19
73 0.2455071343692775 0.122099104659272 0.9127826587087405 73 42 27 0.43
74 0.2441918550128343 0.1221015406506525 0.9146437663471727 64 28 18 0.37
75 0.2454240444141944 0.1428972010096243 0.9071349089655987 143 87 50 0.59
76 0.2811135842225508 0.1804483419354811 0.8628355808088557 96 76 52 0.29
77 0.06515079918955102 -0.077980192770115 1.057944064405814 120 65 30 0.45
78 0.1823842812775408 0.09371648139641536 0.939768379258992 94 60 37 1.07
79 0.03321052496425081 -0.1289195104864553 1.052263923527572 114 93 55 0.45
80 0.1577932868214122 0.08367710939104311 0.9238541438541185 93 54 34 0.7
81 0.1474236947152943 0.0841344242604482 0.9162191040723431 114 63 28 0.62
82 0.1302808337242067 0.04614286682997162 0.8918732021199368 158 113 67 0.58
83 0.1102975835719385 0.05504649483518337 0.8832164512763784 116 77 45 0.85
