# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 62
384 RADIAL 1013 760 776.6405038773191 506.5 380.0 -0.046003156083233965 0.03279555919885642
161 RADIAL 1013 767 996.6962661425496 506.5 383.2972972972973 0.055795877758901734 -0.03354798586433252
67 RADIAL 1091 760 958.2919569214403 545.5 380.0 -0.17838455679192666 0.0537930250503912
141 RADIAL 1348 752 1150.3078590029975 674.0 376.18604651162786 0.12982018375473905 -0.3849130928213967
110 RADIAL 1013 760 893.2007096743313 506.5 380.0 0.1086998055149937 -0.15447131738780584
494 RADIAL 1013 760 937.0137466317713 506.49999999999994 380.00000000000006 -0.20300884520955587 0.1910193708697428
112 RADIAL 1013 760 1096.4341589120886 506.5 380.0 -0.24703011733331615 0.4005730852821512
145 RADIAL 1013 760 768.9141808640509 506.5 380.0 0.016234837942628692 -0.038390581362312395
83 RADIAL 1013 767 976.8615484953202 506.5 383.2972972972973 0.11109440642799126 -0.2413577984644753
147 RADIAL 1013 760 914.6668872606741 506.5 380.0 -0.224177899410688 0.257142925866619
278 RADIAL 1013 767 1182.6271734226473 506.5 383.2972972972973 -0.07832630905159935 -0.0698011486227627
439 RADIAL 1013 767 999.5243687982838 506.5 383.2972972972973 0.03669304950146125 0.0006735131141434865
474 RADIAL 1140 760 917.4868478206247 570.0 380.0 -0.1474412520736951 0.09995497581104616
447 RADIAL 1351 754 1089.8670806516182 675.5 377.0232558139535 0.12425484789807255 -0.19490804388005625
448 RADIAL 1013 767 1093.6632915121315 506.5 383.2972972972973 -0.01882375213207612 -0.0003336994836028828
75 RADIAL 760 985 857.6383742510067 380.0 492.5 0.0423304041185099 -0.0010622505198021282
345 RADIAL 1013 760 1385.55112392165 506.5 380.0 -0.19676703494771075 0.3633600179270849
63 RADIAL 1140 760 972.5999745668443 570.0 380.00000000000006 -0.17374112341840736 0.1810428254404447
163 RADIAL 1038 757 1157.2817575909928 519.0 378.7297297297297 -0.3669647959398349 1.5908496112420862
113 RADIAL 1140 760 913.0642600328931 570.0 380.0 -0.10619769825081243 0.03950226602518578
313 RADIAL 1013 767 1018.4606010814375 506.5 383.2972972972973 0.1020694719265952 -0.3943990049271262
62 RADIAL 1013 760 1150.2533128669465 506.5 380.0 -0.1389129988913305 0.1319504524924046
401 RADIAL 1351 760 1119.4726213826084 675.5 380.0 0.26307133956880435 -0.7028093887218092
100 RADIAL 1025 776 879.4459960890048 512.5 387.8378378378378 0.045795211308496335 -0.012677377249160576
363 RADIAL 1013 760 1063.7596619943947 506.5 380.0 -0.14460497695305227 -1.0131734810066193
142 RADIAL 1576 777 1317.4914835582085 788.0000100665624 388.44444945898925 0.09594215189191209 -0.4009104864853291
175 RADIAL 1185 770 929.6860905186174 592.5 385.125 -0.017195319648190814 -0.0737481964848481
351 RADIAL 1013 760 964.6551540827884 506.5 380.0 -0.0767468407740459 0.16247027947836232
288 RADIAL 1013 760 796.3131059202427 506.49999999999994 380.00000000000006 0.12616717280042697 -0.27253850460238355
114 RADIAL 1140 760 979.0781651553631 570.0 380.0 -0.16925146005110597 0.07366788529794503
274 RADIAL 1249 762 1152.0110520715039 624.5 380.7926829268293 0.01630930009163242 -0.15388256482012547
151 RADIAL 1144 760 925.7791073366025 572.0 380.0 -0.1601576210861953 0.14600951635845213
327 RADIAL 1013 760 852.7520819077745 506.5 380.0 -0.1886442388081816 0.1359719610661969
173 RADIAL 1265 760 1045.7554419810388 632.5 380.0 -0.16299781739546756 0.14686798616693506
159 RADIAL 1013 760 932.4369211853369 506.5 380.0 0.058804677198634504 -0.06007117003986869
60 RADIAL 760 1013 2226.5137375125664 380.0 506.50000000000006 0.006215191926452345 0.00045342273613248183
205 RADIAL 1140 760 917.3448864119675 570.0 380.0 -0.05211130731411122 -0.012897154060049798
456 RADIAL 1140 760 1027.3617640056225 570.0 380.0 -0.18812463598608528 0.27762287231255683
96 RADIAL 768 768 823.1638635159931 384.0 384.0 0.12311831710547987 -0.2385167512132164
443 RADIAL 1013 760 868.6649558785707 506.5 380.0 -0.0234395877994351 -0.035378127246271866
493 RADIAL 1351 754 1152.131399274424 675.5 377.0232558139535 0.16636961204700965 -0.2526394239120563
498 RADIAL 1013 760 929.0041590988183 506.49999999999994 380.00000000000006 -0.205139515237197 0.23166290922546204
211 RADIAL 760 1143 2157.03185786895 380.0 571.5 0.3909008207125589 11.425739860695279
84 RADIAL 1614 777 1193.5152441070136 807.0000019073486 388.44444444444446 -0.0804521275649657 -0.15918024669748357
146 RADIAL 1013 760 936.2191642824024 506.5 380.0 -0.2195006817066643 0.2356708282237993
343 RADIAL 760 1013 1445.8755245152838 380.0 506.5 -0.16476364193060067 -0.03162516350704935
55 RADIAL 1013 760 861.1431591556143 506.5 380.0 0.15814043138742867 -0.41048564972244594
481 RADIAL 1013 767 909.8549856476869 506.5 383.2972972972973 0.16123426671221047 -0.33565760373771575
74 RADIAL 1926 777 1229.601339912859 962.9999898362724 388.44443760918904 -0.5227245512888747 3.7231037429438687
221 RADIAL 1140 760 844.6589839718253 570.0 380.0 0.3080692610311089 -5.603796838106143
339 RADIAL 1267 773 1208.1972942939403 633.5 386.280487804878 -0.2549913336518465 1.9815292487702132
268 RADIAL 1013 760 1035.2699430133193 506.49999999999994 380.00000000000006 -0.08032313188597075 -0.011760207608279291
396 RADIAL 760 1013 714.3446496642033 380.00000000000006 506.49999999999994 0.31192599067566673 -1.0002051441684179
333 RADIAL 760 1013 809.4932140208416 380.00000000000006 506.49999999999994 0.14902538321199102 -0.35872012240645307
17 RADIAL 1140 760 1488.4748046132515 570.0 380.0 0.0036926710465145316 0.002508489700633528
281 RADIAL 1013 760 2488.591510245938 506.49999999999994 380.00000000000006 0.03374142451363471 0.0011913700969589736
397 RADIAL 760 1140 1351.2973207691593 380.0 570.0 5.2840380123072395 0.18598929970627975
219 RADIAL 760 1140 1107.7273859703937 380.0 570.0 -0.008302045143740375 -0.002548414694396651
22 RADIAL 760 1140 1339.0177056597208 380.0 570.0 0.0 0.0
45 RADIAL 1013 760 899.6571078440091 506.5 380.0 3.2810087758804305 0.43853418008981687
8 RADIAL 1140 760 2727.938969996554 570.0 380.0 0.004522327009502748 3.581452179023505e-05
346 RADIAL 1013 767 742.4038033770354 506.5 383.2972972972973 0.03020489751741601 -0.022419458240041202
