# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 30566, mean track length: 7.65
0 -0.07564880526451523 0.01410203944694097 0.8746913517499644 126 92 64 0.49
1 -0.1457312155364299 0.1182564032248438 0.8701045328344919 114 82 59 0.08
2 -0.1438868111662358 0.1193665471000904 0.8694133697984816 90 64 47 0.12
3 -0.1188187525089749 0.115730702046916 0.845484165045268 70 46 33 0.24
4 -0.2014513824496361 0.1342775619378094 0.9454589858617234 156 114 76 0.29
5 -0.0205394762928765 0.09126865890334207 0.7305344053657774 90 83 77 0.38
6 -0.01903186464432832 0.1023188278518834 0.730755593238859 87 78 69 0.23
7 -0.1474300069307716 0.1232423195798882 0.8740829405867967 116 77 51 0.28
8 -0.1404329470498086 0.1574364460133986 0.8504299095675072 71 46 28 0.27
9 -0.01462934186402381 0.08701840528931458 0.7356668104239852 163 134 89 0.57
10 -0.008147201407539773 0.06600664317921233 0.7373100855324168 144 106 72 0.5
11 -0.1454412014837095 0.1623405925079345 0.857600934734376 110 80 54 0.17
12 -0.1417940079892001 0.08992712449862426 0.884306846482195 33 20 15 0.78
13 -0.03361029734008542 0.1326496878845216 0.735393153974621 128 103 67 1.1
14 -0.0728753179385041 0.02934078495242304 0.8537944438002683 79 48 31 0.51
15 -0.1951873437936996 0.1751726571111831 0.9197675229500859 42 28 19 0.7
16 -0.1831128027876186 0.1275601357232814 0.9229237928532824 92 68 48 0.17
17 -0.1805563451305635 0.1661057449615561 0.9042230278354194 60 42 28 0.4
18 0.03647849174263501 -0.3335537923257147 1.15349013739907 212 193 142 1.12
19 0.06559140341550895 -0.2984117491780631 1.119191008723767 167 135 114 0.76
20 0.04302208380197925 -0.2738708074816165 1.086374883276541 95 78 68 0.84
21 0.04353142770071972 -0.269418240453012 1.099607914204022 83 59 45 0.51
22 0.03027220255846563 -0.2579966040000388 1.091410319960529 155 138 116 0.19
23 0.02217806403676348 -0.2585484839114172 1.092442913030901 99 79 72 0.48
24 0.05161911304212596 -0.254232159903229 1.105810452295768 122 100 77 0.61
25 0.04823611392837945 -0.2541363369387053 1.102756334372079 94 70 60 0.19
26 0.02356587333887344 -0.242770707021352 1.072435690029931 145 116 92 0.29
27 0.03224899819732907 -0.2381914525161649 1.077938849752221 85 63 53 0.38
28 0.03493772035033732 -0.2393730637363375 1.079554262070805 154 127 99 0.7
29 0.04025614095589208 -0.2385608825305751 1.083681818130442 116 105 92 0.2
30 0.04104423466005835 -0.2327767879255044 1.079913262800793 165 139 114 0.26
31 0.04956111119281892 -0.2433912466552729 1.092028754038066 143 105 71 0.94
32 0.05472567832495112 -0.2437847026168 1.105804449046165 103 76 63 0.57
33 0.08790520842172644 -0.2266030911163258 1.119347228880792 118 105 90 0.42
34 0.02220976743138259 -0.2231162147321007 1.058257119948787 127 103 81 0.71
35 0.0268006359668081 -0.2318246543974607 1.069241105998756 71 52 44 0.25
36 0.0295242059489696 -0.2192770668165396 1.065298199503438 73 54 46 0.21
37 0.03471358908582606 -0.229559530338035 1.075454161741386 65 43 34 0.21
38 0.0395936831233627 -0.2285098131103034 1.079538333162077 99 70 54 0.59
39 0.03715015686219414 -0.2197917582725935 1.072132352902231 109 86 60 0.66
40 0.03769980157234792 -0.2213777111477953 1.072989605986286 108 84 69 0.33
41 0.0557014595146379 -0.2243245221892684 1.089613239488276 108 78 56 0.81
42 0.06209995941353086 -0.2232926385932189 1.094829162086911 87 62 46 0.26
43 0.06203144193468491 -0.2201965170635816 1.094816094408077 98 67 52 0.27
44 0.07101372108115445 -0.220498205960052 1.101578264642921 90 71 58 0.64
45 0.07400011960731245 -0.2167874980020077 1.106824428700551 103 70 53 0.26
46 0.0816752780997636 -0.2176527106816417 1.110049585633847 102 76 57 0.36
47 0.08909450054270862 -0.2208617679186453 1.117662975926805 154 140 120 0.6
48 0.0892582963973978 -0.2159183950131973 1.115597097905215 93 66 57 0.37
49 0.02055785825946699 -0.2120098528102918 1.054761253663526 99 85 79 0.46
50 0.02297665311330338 -0.2099786777603484 1.059203027024618 95 62 47 0.34
51 0.03129637882508129 -0.2105664235926191 1.063328553036792 101 70 51 0.31
52 0.03356800781482205 -0.2102818600890647 1.065906444412197 93 61 46 0.25
53 0.04295087236515605 -0.2113445781029135 1.069377350294358 112 90 70 0.23
54 0.0511087714559687 -0.2062550741983676 1.074687389840957 71 51 41 0.17
55 0.0647977362869101 -0.2027389362085791 1.086380190002188 78 54 42 0.26
56 0.0742958787997362 -0.2050828587862989 1.09444714973774 162 135 107 0.23
