# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 356
101 RADIAL 1013 760 1032.8537197739593 506.5 380.0 -0.14550411235490848 0.02483031478669544
133 RADIAL 1140 760 1635.4861262442591 570.0 380.0 0.06990813824848942 0.25116420854038235
134 RADIAL 1140 760 1634.9490217618115 570.0 380.0 0.06510700667751045 0.2662939586394508
136 RADIAL 1140 760 1635.1114486272888 570.0 380.0 0.06018110485176624 0.2904696000352672
169 RADIAL 1013 760 796.464602668056 506.50000000000006 380.0 0.010054538272293223 -0.011033831282313653
458 RADIAL 1140 760 949.8758254853618 570.0 380.0 -0.15870686353057423 0.10927213277326796
171 RADIAL 760 1013 792.7567839244609 380.0 506.50000000000006 -0.03479391909516578 0.055814076661035814
332 RADIAL 1144 760 899.2504842268847 572.0 380.0 -0.151560952412013 0.11736329718013905
238 RADIAL 1013 760 760.3257458671568 506.5 380.0 0.06835690795702157 -0.12175568300425514
239 RADIAL 1013 760 764.0201534932613 506.5 380.0 0.048060346493706566 -0.11449074792338955
495 RADIAL 1351 754 1071.010669899457 675.5 377.0232558139535 0.08624323258728155 -0.2786291111295295
209 RADIAL 1143 762 1348.6869461189538 571.5 381.0 -0.021000342005445847 -0.029175354151161945
180 RADIAL 1013 767 906.100426890742 506.5 383.2972972972973 0.09462568450075454 -0.3474790355229714
88 RADIAL 1013 760 1031.964234148858 506.5 380.0 -0.19761123170780662 0.15742133114064888
349 RADIAL 760 1351 1099.4036049054766 380.00000000000006 675.5 -0.001863086768573575 -0.036676494483382505
157 RADIAL 1144 760 885.8983051604373 572.0 380.0 -0.023723612060748453 0.014947906047006255
385 RADIAL 1013 760 903.9629725823779 506.5 380.0 -0.03492025921253465 0.03203455964827863
459 RADIAL 1147 760 899.4698531989447 573.5 380.0 -0.08528540080725731 0.010444657602087218
398 RADIAL 760 1013 1149.8478455709935 380.0 506.5 -0.16214886882221705 0.159760660458566
466 RADIAL 760 1013 1091.888626564345 380.00000000000006 506.49999999999994 -0.003789560170937171 -0.0012537668863614674
505 RADIAL 1013 760 745.2045930703651 506.5 380.0 5.663450699479424e-05 -0.002682133621537564
156 RADIAL 1144 760 886.1150080514789 572.0 380.0 -0.00955309481480842 -0.016653559035603734
64 RADIAL 1140 760 943.5715215166208 570.0 380.0 -0.16113341545135476 0.12939226987006772
162 RADIAL 824 774 789.9036564753746 412.0 387.030303030303 0.05354526213485613 -0.08710565916509175
344 RADIAL 1013 767 987.164953881856 506.5 383.2972972972973 0.0976236012360346 -0.2917815314616766
388 RADIAL 1013 760 1003.845784998011 506.50000000000006 380.0 -0.19295445893860497 0.24723038901165534
395 RADIAL 1013 760 814.8816483906846 506.5 380.0 0.22215613256065386 -0.6485750269321151
27 RADIAL 1375 767 633.3083096980168 687.5 383.72093023255815 -0.27677597082442584 0.47036288064342496
158 RADIAL 1275 760 915.0761664868293 637.5 380.0 -0.10323793352105888 0.10189699840770906
31 RADIAL 1149 760 886.0652063166416 574.5 380.0 -0.0702309944505279 0.02133630805575931
453 RADIAL 1140 760 948.4675193672748 570.0 380.0 -0.1649933665885876 0.14038012052249307
410 RADIAL 1013 767 788.6009618344054 506.5 383.2972972972973 0.05043656819424459 -0.15199201895433082
282 RADIAL 1013 760 1037.9253200379032 506.5 380.0 -0.16765525456276248 0.1181879714137929
82 RADIAL 1348 752 613.9547127165454 674.0 376.18604651162786 -0.009334221623556295 -0.007167780649045536
15 RADIAL 1140 760 963.5628323582818 570.0 380.0 -0.18745613257540997 0.19459735039674053
279 RADIAL 760 1013 780.3761468637106 380.00000000000006 506.49999999999994 0.1071798789350903 -0.26164163043363586
290 RADIAL 1140 760 954.7278075070955 570.0 380.0 -0.15750453085420846 0.1515504901765902
489 RADIAL 1144 760 885.8317382108926 572.0 380.0 -0.010090211266735007 -0.013760220400712557
452 RADIAL 1351 754 1045.6660027284527 675.5 377.0232558139535 0.1369867845310643 -0.22366574732929362
132 RADIAL 1140 760 881.7562330339368 570.0 380.0 -0.0219269893441676 0.01391954320808687
295 RADIAL 1139 760 1240.8917163767605 569.5 380.0 0.027410723755503824 -0.005032926382707271
412 RADIAL 760 915 1029.1641709014561 380.0 457.5 -0.06717898848047608 -0.011269439308493168
517 RADIAL 760 1013 693.850770411129 380.0 506.5 -0.015480678499258375 0.4375822223982543
206 RADIAL 760 1108 1267.1669231514772 380.0 554.0 0.013040997767471746 -0.6238488063065696
464 RADIAL 760 1013 1093.2621121003504 380.00000000000006 506.49999999999994 -0.01944630817366339 0.09741939029908099
116 RADIAL 1140 760 1031.4900713008408 570.0 380.0 -0.08401013246286987 0.20833133956837288
9 RADIAL 1140 760 934.0016234746967 570.0 380.0 -0.13578232668919143 -0.025212023039001344
