# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 67411, mean track length: 6.29
0 -0.028086288534181863 -0.21696827434304644 1.1509560451129404 103 79 60 0.69
1 -0.025482019248873545 -0.23106479897334894 1.1197500748088087 69 49 39 0.46
2 -0.053638796640032994 -0.19225609330393675 1.1269584780782906 151 129 101 0.69
3 -0.02077982534768833 -0.23278442852166098 1.1130654342438129 62 46 39 0.6
4 -0.020679596453638434 -0.16940170008654382 1.1643602520209966 75 57 46 0.65
5 0.015031676666473249 -0.16337071893996802 1.1908741293342076 158 136 113 0.47
6 -0.0705111161739078 -0.1434979704546376 1.1332124880551337 78 52 38 0.5
7 0.028870175339099153 -0.12370343019363307 1.206823179927704 149 167 188 0.59
8 0.06464724703230901 -0.10655485920309359 1.029564800740826 32 25 24 0.16
9 -0.08140225642678953 -0.050097557879542454 1.1428942408364693 75 54 42 0.19
10 -0.05409398197257006 -0.040476516601255896 1.172891092458136 93 62 44 0.45
11 -0.07552728712435004 -0.03649335029272117 1.149417775805227 69 48 38 0.9
12 -0.10633975976885005 -0.014603313620918405 1.130570794923061 71 50 37 0.32
13 -0.0917499415468796 -0.01091428376882325 1.1413599158932217 58 36 25 0.39
14 -0.09540305431200738 0.0026681924436799636 1.1429894753421133 151 124 94 0.32
15 -0.09844714419161987 0.004198457140561504 1.1394443489097703 85 52 34 0.41
16 -0.11691468830516931 0.04036361127465473 1.129240479666396 173 147 115 0.46
17 -0.08669693734774102 0.06401306829405111 1.1592556290074327 132 102 74 0.64
18 -0.006358724742320531 0.023816624951457303 0.9200495035996914 53 46 42 0.36
19 -0.08258694752614533 0.13360101429341903 1.1713826663215223 130 90 57 0.39
20 -0.12235632126070628 0.16044734970588573 1.1367873546668708 137 89 55 0.46
21 -0.185215449586007 0.14860379420441855 1.0826207315816048 87 48 31 0.27
22 -0.13069893274095257 0.17581272414694932 1.1179176051773938 162 123 93 0.45
23 -0.18342034006126812 0.19331656241906794 1.0794582201576652 87 43 22 0.64
24 -0.08129765032318381 -0.10244047383311031 1.0933262701557003 81 63 55 0.21
25 -0.001562575379169188 -0.04741638452137018 1.1992124552700782 156 127 94 0.32
26 0.04891585076349809 -0.05456396740471874 0.9818883402826106 122 109 94 0.22
27 -0.1263791007180511 0.01848134079619462 1.1171810649741243 179 143 103 0.97
28 -0.08412440482049588 0.1061977684062654 1.1779160113248823 79 55 35 0.37
29 -0.11829225917530775 0.11019038444601954 1.145951354198402 148 109 67 0.85
30 -0.08752348522289609 0.16025003887913855 1.165840853269392 51 31 23 0.7
31 -0.031546861551379424 -0.08442734823811213 1.1763357520201374 166 147 119 0.51
32 -0.051874539498823 -0.048089974014641 1.170683243074392 161 140 118 1.06
33 0.012657670349955638 -0.03385593703585566 1.2148068440974478 114 94 79 1.02
34 -0.10642503301780408 0.018582436086611705 1.1307693849448675 75 48 32 0.59
35 -0.09262801279256203 0.026215463103444952 1.1396083836030393 81 50 30 0.53
36 -0.09477850739410261 0.061597365628568705 1.1556480525419346 126 96 69 0.86
37 -0.1381804652612019 0.05448849312782838 1.113853737916702 75 48 30 0.43
38 -0.11349572098372714 0.0939604254353457 1.155616289732485 190 158 121 0.9
39 -0.1015128701500609 0.11359728785269825 1.1586047977574994 60 42 31 0.91
40 -0.15016895684643855 0.10016064710426323 1.1074874967403472 141 98 62 1.01
41 -0.14183365063356174 0.16425112887025217 1.1170105218139266 174 134 93 1.05
42 -0.17333876005094043 0.20309849293817442 1.0137452137443161 186 144 95 0.37
43 0.03863106607033286 -0.3433170094815565 1.1587206986568288 62 58 62 1.04
44 0.03969647301968745 -0.24467455841119204 1.18108135522968 149 172 199 0.7
45 0.028807381690771874 0.01411438360887987 1.2217907962588685 91 61 45 0.61
46 -0.05300806672471849 0.00631977036705201 1.1775381653295085 153 129 100 1.05
47 -0.07465101734933197 0.004441866699040453 1.1654417088743891 167 144 116 0.96
48 -0.08157385698418661 0.027484446686023633 1.1543188240417976 70 49 37 0.74
49 -0.09142220202368696 0.028516845456752805 1.1467180076450583 167 131 93 0.57
50 -0.1266342787460754 0.14079288265964288 1.1416376392746885 62 38 27 0.76
51 0.11530937569820948 0.1251740351143251 0.6552730384579778 142 113 76 0.69
52 0.06312896639417498 0.22131865602028925 0.7356820564411629 108 96 82 1.28
53 0.0602885073788786 -0.30201772414726785 1.1166662927493385 65 66 68 0.37
54 0.011352876046296301 -0.26807776047241183 1.1012500348378322 156 178 204 1.08
55 -0.08174019288520744 0.011679376793730004 1.156912858090466 62 42 30 0.78
56 -0.09097767313794486 0.015048936618749092 1.1491449624331809 164 135 100 0.84
57 -0.14581422421338605 0.15008968339110268 1.1148262839035836 150 108 77 0.97
58 0.11883432143624835 0.1792368289685297 0.6289387903050305 92 79 76 0.59
59 -0.11872445614027129 0.15245582380368297 1.1324132893535181 50 28 19 0.74
60 -0.15735386687124472 0.14132531768901593 1.1027970297553782 81 46 29 0.61
61 -0.01673654764646172 0.09949034006500632 0.86877595059277 92 84 80 0.53
62 0.08193905385874888 0.16643426121321359 0.6904838259966073 145 112 78 0.69
63 0.06525970089881791 0.14273687234877633 0.7191956943795046 133 97 66 0.85
64 0.038596705203913416 0.15960770199579238 0.7486431625588147 60 37 28 0.47
65 0.1452453446062898 0.1245449254343082 0.6183517467017474 138 109 77 0.61
66 -0.1550972335218656 0.1441117894562471 1.108594795535061 64 37 24 0.18
67 0.01736959379515432 -0.16007233946479116 1.1906913180956744 97 72 56 0.35
68 -0.10658084133583522 0.04045140347808658 1.1360829592883053 148 113 70 0.16
69 -0.14930988605046397 0.14295745158604128 1.1125368611090338 172 137 101 0.43
70 -0.15680791639010958 0.13484401311232458 1.1030865655157664 44 26 20 0.5
71 -0.08170182433837307 0.183470134053959 1.1644039287268169 123 65 35 0.44
72 -0.07541239086342583 0.17121982450286452 1.1738323409641669 78 45 30 0.3
73 -0.11272717658359865 0.17981177604332663 1.1411057413083041 88 48 33 0.47
74 -0.09029589568702244 0.06171841485489534 1.1522140898381474 104 75 51 0.61
75 -0.07838070378754013 0.02205971323127041 1.1600045508487102 163 130 98 0.39
76 -0.11324571101702914 0.1124642360359254 1.1359208597445232 102 75 53 0.12
77 -0.11534017455681593 0.10781408483460397 1.1434062827270537 65 39 25 0.49
78 -0.00851712712122666 -0.20897089900507715 1.1657803004242135 145 125 107 0.33
79 -0.13614899972954037 0.14499438196529144 1.126807694368556 166 141 121 0.11
80 -0.09225053817257556 -0.008906612044216736 1.1339238380850278 188 157 123 0.99
81 -0.15809640682858492 0.13153108500720137 1.1088911434015303 71 40 25 0.41
82 -0.16272681762782656 0.07651244497528019 1.1049122889623202 71 45 30 1.07
83 -0.18535607693860476 0.13214650741113282 1.0863401684772902 184 145 107 0.3
84 -0.15310535098935368 0.026361583384725277 1.0950182847531853 127 92 63 0.46
85 0.01961669267808727 0.03477992710173619 1.2231692548270174 108 79 62 0.9
86 -0.16848209632041286 0.1923774173250359 0.9782260143121079 152 112 77 0.47
87 -0.030119532947211255 0.19354495390546958 1.1964209207481704 122 77 54 0.55
88 -0.015223181650418032 0.06398012923117202 1.2034965370592534 64 44 35 0.33
89 -0.00046928365225753333 0.04439123629566941 1.2116775065625547 149 125 98 0.09
90 -0.08379755078070683 0.174498345044274 1.1645028351935582 168 125 90 0.33
91 -0.09828232479840882 0.13906908964524814 1.1620581333360824 196 174 150 0.43
92 -0.09404667602997087 0.02236969247607186 1.1489841789823605 89 65 40 0.6
93 -0.05945146130955692 -0.0990794378640723 1.144664087343542 101 71 44 0.97
94 -0.14541986709733035 0.09213679249981056 1.1248815324411705 186 135 83 0.26
95 -0.12410612990444696 0.041393660387884876 1.1250468735066737 89 61 39 0.33
96 0.013346966849600095 -0.1650972119963068 1.1878249104392964 174 148 120 0.36
97 0.011363425854346423 -0.18512389201289167 1.1864158386631396 135 122 106 0.8
98 -0.13650277636991265 0.05292406622648259 1.1178835634981084 160 126 90 0.24
99 -0.10335526909123592 -0.05361388210457544 1.125647165814268 160 143 128 0.62
100 -0.10267076656895402 -0.07074069226655058 1.1195046814648022 143 113 85 0.3
101 -0.0012807039713378105 0.23634857119670297 1.2245236740724417 114 104 96 0.25
102 -0.004076315147929253 -0.0009210579654290699 1.2059424567837946 72 50 37 0.42
103 -0.06975996050223297 0.11927490782544271 1.1853797397366757 134 107 82 1.25
104 -0.047513582048847064 0.07633096738650302 1.1879415415505226 157 132 106 0.49
105 -0.004766101414961302 0.045610835448064956 1.2063944207590636 89 66 53 0.29
106 -0.08529675964062126 0.17021385575826725 1.165493781124082 165 120 83 0.41
107 -0.07821262263461294 0.11737383450664074 1.1794284072168808 147 120 95 0.38
108 -0.03222714572755039 0.0062810748696669255 1.1916979256860836 180 154 126 0.62
109 -0.09053122628685022 0.18820077937197488 1.1510029340925167 178 136 108 0.24
110 -0.09098884855871124 0.17750749393472717 1.152837012461032 158 113 80 0.66
111 -0.11638107974716652 0.10862444286355676 1.1486803480269838 78 51 28 0.59
112 -0.09280821038308514 0.06715407439820262 1.1493502207223059 133 104 75 0.33
113 -0.03777185180871754 -0.19820133106238128 1.1457019844005842 94 70 59 0.41
114 -0.181939694269142 0.09187366158944199 1.0891865570854975 55 34 22 0.36
115 -0.0968716995699991 -0.019212708660100247 1.0298790507701379 64 38 25 0.97
116 -0.175880632504825 0.21462713890708124 1.0116155432945875 146 111 81 0.36
117 -0.16795415325971186 0.19454571573291193 0.9769467493188667 107 67 42 0.49
118 -0.19321307194463272 0.25529750984120964 0.9649493824523439 100 72 45 0.42
119 -0.012944611248117 0.27298814694224777 1.1977311902229182 108 89 78 0.19
120 -0.16251135233306682 0.17768574661405673 1.0057853439327669 87 49 28 0.43
121 -0.010129401012346335 0.06564187797655101 1.2073596469815078 83 53 34 0.22
122 -0.06887912083825051 0.09747701072825592 1.1862429133975743 84 58 39 0.83
123 -0.01894677293815399 0.0066390568762511185 1.1974881473881487 73 53 43 0.45
124 -0.08085076392419865 0.09671255474220246 1.1871060702807659 163 140 115 1.04
125 -0.08055146597688188 0.006090991870365971 1.1574293882873259 155 124 88 0.84
126 -0.09828334833476748 0.06656517022608072 1.1460712938037663 147 116 84 0.55
127 -0.10592800120566445 0.02294527912354637 1.1339831458985592 206 172 125 1.22
128 -0.034032291705334165 -0.1946855454051941 1.1452229157827447 133 119 107 0.89
129 -0.1313364588074021 0.03441095041144941 1.1181484353341837 86 54 35 0.74
130 -0.11970551820884748 -0.0012723815608774874 1.1219505214825425 70 45 31 0.38
131 -0.11237071928157252 -0.017406012703151962 1.1256106758277802 80 52 35 0.77
132 -0.146318299917722 0.04347673403277808 1.1025461922586224 184 152 116 0.25
133 -0.025613842892756016 0.08336201667676432 1.202553449433107 158 126 93 0.65
134 0.007122378311910864 0.0045800066389477916 1.2126135306693195 165 137 107 1.21
